id,part,problem,details,cylinders,engine
100150,ENGINE,OVERSPEED,UP TO 3400 RPM @ TERMINATION OF AN AUTO,,
100161,BAFFLE,CRACK,SMALL,,R
100162,ROCKER COVERS,LOOSE,,,
100163,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L
100164,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100165,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100166,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100167,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L
100168,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100169,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,L
100170,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100181,ENGINE,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100182,ENGINE,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100183,ENGINE,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,,R
100184,ENGINE,REMOVE,TO FACILITATE FIREWALL REPAIR,,
100185,ENGINE,REINSTALL,AFTER REPAIR TO FIREWALL,,
100186,ENGINE,REINSTALL,AFTER REPAIR TO FIREWALL,,
100187,INTAKE GASKET,LEAKING,,"[2, 4]",
100188,INTAKE,LEAKING,,[2],
100189,ROCKER COVER,LEAKING,,[3],
100190,BAFFLE SCREW,LOOSE,AFT,,
100201,LACING CORD,LOOSE,"ON SCAT TUBING + IGN LEAD TO FRAME, R/H SI",,
100202,ROCKER COVER SCREWS,LOOSE,,,L
100203,INTAKE,LEAKING,,[2],R
100204,INTAKES,LEAKING,,"[2, 4]",L
100205,ROCKER COVERS,LEAKING,,"[2, 4]",R
100206,ENGINE,ROUGH,"ON RIGHT ENG START, ENGINE RAN VERY",,R
100207,ENGINE,ROUGH,"ON RIGHT ENG START, ENGINE RAN VERY",,R
100208,INTAKE,LEAKING,,[2],
100209,INTAKE GASKET,LEAKING,,[2],
100210,ROCKER COVERS,LEAKING,,"[2, 3]",
100221,ROCKER COVER,LEAKING,,[4],
100222,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYL),,
100223,ROCKER BOX COVER SCREWS,LOOSE,,"[2, 4]",
100224,INTAKE,LEAKING,,[1],L
100225,INTAKE,LEAKING,,"[2, 1]",R
100226,FWD UPPER BAFFLE SEAL,LOOSE,,,R
100227,ROCKER COVER,LEAKING,,[4],
100228,ROCKER BOX COVER SCREWS,LOOSE,,,
100229,ROCKER GASKET,LEAKING,,[4],
100230,ROCKER COVER,LEAKING,,[2],
100241,ROCKER COVER GASKETS,LEAKING,,,R
100242,BAFFLE BRACKET RIVETS,SHEARED,,,
100243,AFT BAFFLE,WORN,THROUGH AT I/B CYLINDER WRAP,[3],
100244,BAFFLE SIDE,CRACK,BY SCREW,,R
100245,BAFFLE,WORN,THROUGH FROM MUFFLER SHROUD,,R
100246,BAFFLE,WORN,THROUGH FROM MUFFLER SHROUD,,R
100247,ROCKER GASKETS,LEAKING,,"[2, 3, 4]",
100248,AFT BAFFLE,CRACKED,IN SEVERAL PLACES,[3],
100249,AFT BAFFLE,CRACKED,IN SEVERAL PLACES,[3],
100250,SCREW,MISSING,IN ROCKER COVER,[4],
100261,ROCKER COVERS,LEAKING,,"[1, 3]",
100262,ROCKER BOX COVER SCREWS,LOOSE,(ALL CYL),,
100263,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYL),,
100264,INTAKE,LEAKING,AT CLAMP,[3],
100265,INTAKE GASKET,LEAKING,,[2],
100266,RIVET,PULLED,THROUGH BAFFLE SEAL,[1],
100267,ROCKER COVER,LEAKING,,[3],
100268,BAFFLE INTERCONNECT ROD,BROKEN,,,L
100269,INDUCTION TUBE HOSE CLAMP,BROKEN,,[2],
100270,INTAKE GASKETS,LEAKING,,"[1, 2, 3]",
100281,BAFFLE STIFFENER,CRACKED,,[4],L
100282,INTAKES,LEAKING,,"[2, 3]",
100283,BAFFLE SEAL,NEEDS,TO BE RESECURED,,R
100284,INTAKE,LEAKING,,[1],
100285,ROCKER COVERS,LEAKING,,"[2, 3]",
100286,INDUCTION TUBE GASKET,LEAKING,,[2],
100287,ROCKER BOX COVER GASKETS,LEAKING,,"[2, 3]",
100288,,,,,
100289,CAP SCREW,MISSING,BAFFLE,[4],L
100290,ROCKER COVER,LEAKING,,[4],
100301,BAFFLE MOUNTING SCREW,LOOSE,,,R
100302,BAFFLE PLUG,MISSING,,,L
100303,INTAKE,LEAKING,,[3],
100304,INSPECTION PANEL,MISSING,SCREW,,
100305,ROCKER COVER,LEAKING,,[1],
100306,INTAKES,LEAKING,,"[2, 3]",
100307,INTAKE GASKET,LEAKING,,[2],
100308,ROCKER BOX COVER SCREWS,LOOSE,,"[2, 3, 4]",
100309,STARTER RING GEAR,MISSING,TEETH,,
100310,INTAKE GASKETS,LEAKING,,"[2, 4]",
100321,ROCKER COVER,LEAKING,,[2],
100322,ENGINE BAFFLE BLAST TUBE,BLOCKED,,,L
100323,INTAKES,LEAKING,,"[2, 3]",R
100324,ROCKER COVER,LEAKING,,[3],R
100325,INTAKES,LEAKING,,"[1, 2, 4]",L
100326,INTAKE,LEAKING,,[2],
100327,BAFFLE PLUG,NEEDS,,,R
100328,INTAKE,LEAKING,,[3],
100329,BOTTOM BAFFLE WIRE HOLDER,BROKEN,,,L
100330,INTAKE GASKET,LEAKING,,[4],
100341,ROCKER COVERS,LEAKING,,"[2, 4]",
100342,ENGINE BAFFLE BUTTONS,WORN,,,
100343,INTAKE GASKET,LEAKING,,[4],
100344,LOWER RIGHT BAFFLE SPRING,BROKEN,,,R
100345,BACK BAFFLE BRACKET SCREWS,LOOSE,,,R
100346,BAFFLE PLUGS,BAD,,,
100347,ROCKER COVER,LEAKING,,[2],
100348,ROCKER COVER,LEAKING,,[3],
100349,BACK BAFFLE SCREW,MISSING,,[3],
100350,SPIRAL WRAP ON ROCKER OIL RETURN LINES,REQUIRES,REPLA,"[1, 3]",
100361,INTAKE,LEAKING,,[2],
100362,ROCKER COVER,LEAKING,,[2],
100363,INTAKES,LEAKING,,"[3, 2]",R
100364,ROCKER COVER,LEAKING,,[3],R
100365,INTAKES,LEAKING,,"[2, 3]",L
100366,INTAKE GASKET,LEAKING,,[2],
100367,INNER INTAKE PUSH ROD SEAL,LEAKING,,[2],
100368,ROCKER COVER GASKET,LEAKING,,[2],
100369,ROCKER COVER GASKET,LEAKING,,[3],
100370,PUSH ROD SEAL,LEAKING,FWD @ ENGINE,[3],
100381,INTAKES,LEAKING,,"[2, 3]",
100382,AFT BAFFLE,MISSING,SCREW,[3],
100383,ROCKER COVER,LEAKING,,[4],
100384,VALVE,STUCK,ENGINE ROUGH ON START,,
100385,VALVE,STUCK,ENGINE ROUGH ON START,,
100386,FWD PUSH ROD TUBE,LEAKING,@ ENGINE,[3],
100387,INTAKE TUBE,LEAKING,AT SUMP CONNECTOR HOSE,[3],
100388,AFT BAFFLE MOUNT RIVETS,SHEARED,,[3],
100389,BAFFLE SEAL,NEEDS,TO BE RESECURED,[2],
100390,INTAKE GASKET,LEAKS,,[3],
100401,INTAKE,LEAKING,,[2],
100402,INTAKES,LEAKING,,"[2, 4]",
100403,OIL RETURN LINE CLAMPS,LOOSE,,,
100404,CABLE SAFETY BAFFLE BOLTS,LOOSE,,[2],
100405,FUEL INJ LINES STANDOFF,LOOSE,BY OIL FILLER TUBE,"[1, 3]",
100406,INTAKE,LEAKING,,[4],R
100407,INTAKE,LEAKING,,[3],L
100408,ROCKER COVERS,LEAKING,,"[1, 2, 3, 4]",L
100409,ROCKER COVERS,LEAKING,,"[1, 2, 3, 4]",R
100410,ROCKER OIL RETURN LINES,LEAKING,,"[2, 4]",R
100421,INTAKE,LEAKING,,[3],
100422,ROCKER COVER,LEAKING,,[2],
100423,ENGINE,TIMED OUT,,,
100424,ENGINE,TIMED OUT,,,
100425,ENGINE,TIMED OUT,,,
100426,ENGINE,TIMED OUT,,,
100427,ROCKER COVER,LEAKING,,[3],
100428,UPPER BAFFLE,ENLARGED,PLUG HOLE,[4],L
100429,INNER CYL BAFFLE TIE ROD,INSTALLED,INCORRECTLY,,R
100430,ROCKER COVERS,LEAKING,,"[2, 4]",
100441,INTAKES,LEAKING,,"[2, 4]",L
100442,INTAKES,LEAKING,,"[2, 3, 4]",R
100443,INDUCTION TUBE GASKET,LEAKING,,[2],
100444,BAFFLE,MISSING,SCREW & NUT ON BAFFLE BY OIL FILL TUBE,,L
100445,BAFFLE,CRACKED,BY UPPER #1 BAFFLE ATTACHMENT,[3],R
100446,INTAKE GASKET,LEAKING,,[2],
100447,ROCKER COVER GASKET,LEAKING,,[1],
100448,INTAKE,LEAKING,,[3],
100449,BACK TOP BAFFLE,CRACKED,,,
100450,ENGINE IDLE,,@ 1700 RPM DURING SHUT DOWN. NO RISE IN RPM ON M,,
100461,INTAKE,LEAKING,,[4],
100462,BAFFLE PLUG,NEEDS,TO BE REPLACED,,L
100463,INTAKE GASKET,LEAKING,,[2],
100464,BOTTOM BAFFLE WIRE SPRING,BROKEN,,,R
100465,AFT BAFFLE BRACKET RIVETS,SHEARED,,,
100466,INTAKE GASKET,LEAKING,,[3],R
100467,INTAKE GASKET,LEAKING,,[2],L
100468,BAFFLE PLUG,WORN,,[3],
100469,ROCKER COVERS,LEAKING,,"[1, 4]",
100470,INTAKE,LEAKING,,[4],
100481,ROCKER COVERS,LEAKING,,"[1, 2, 3, 4]",
100482,INTAKE,LEAKING,,[3],
100483,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYLS),,
100484,ROCKER COVER,LEAKING,,[2],
100485,INTAKES,LEAKING,ALL,,L
100486,AFT BAFFLE TAB,BROKEN,"RIVETS, NEAR OIL FILLER TUBE",[3],
100487,AFT BAFFLE ATTACH PLATE,BROKEN,,[4],
100488,AFT BAFFLE TAB,BROKEN,"RIVETS, NEAR OIL FILLER TUBE",[3],
100489,ROCKER COVER,LEAKING,,[2],
100490,ROCKER COVER,LEAKING,,[3],
100501,ENGINE BAFFLE,CRACKED,,,L
100502,ROCKER COVER GASKETS,LEAKING,,"[1, 2, 3, 4]",
100503,INTAKE GASKET,LEAKING,,[2],
100504,INTAKE GASKET,LEAKING,,[4],
100505,INTAKE,LEAKING,,[3],
100506,ROCKER COVER GASKET,LEAKING,,[4],
100507,ROCKER COVER GASKET,LEAKING,,[3],
100508,INTAKE GASKET,LEAKS,,[2],L
100509,ROCKER GASKETS,LEAKING,,"[2, 3]",
100510,BAFFLE PLUGS,BROKEN,PRONGS,"[3, 4]",
100521,OIL COOLER BAFFLING,CRACKED,IN LWR I/B CORNER,,
100522,AFT BAFFLE,CRACKED,PAST STOP DRILLED HOLES,,R
100523,,,,,
100524,OIL RETURN LINE,LEAKING,ON RUBBER HOSE SECTION,[3],
100525,INTAKE GASKET,LEAKING,,"[2, 4]",
100526,COWL SHOCK MOUNTS,TORN,,"[1, 2, 3]",
100527,ROCKER COVER GASKETS,LEAKING,,"[1, 3]",
100528,ROCKER BOX COVER SCREWS,LOOSE,,,
100529,ROCKER BOX COVER SCREWS,LOOSE,,,
100530,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYL),,
100541,ROCKER COVER SCREWS,LOOSE,,,
100542,INTAKE GASKET,LEAKING,,[2],
100543,,MISSING,RUNS ROUGH,[2],
100544,,MISSING,RUNS ROUGH,[2],
100545,,MISSING,RUNS ROUGH,[2],
100546,,MISSING,RUNS ROUGH,[2],
100547,INTAKE GASKET,LEAKS,,[2],
100548,BAFFLE PLUG,MISSING,ON ENGINE,,
100549,INTAKE,LEAKING,,[3],R
100550,INTAKES,LEAKING,,"[1, 2]",L
100561,ROCKER COVERS,LEAKING,,"[2, 4]",R
100562,INTAKE,LEAKING,,[4],
100563,ROCKER COVER,LEAKING,,[2],
100564,INTAKE,LEAKING,,[3],
100565,INTAKE TUBE GASKET,LEAKING,,[3],
100566,OIL RETURN LINE,CHAFING,,[1],
100567,OIL FILL TUBE,LOOSE,,,R
100568,ENGINE BAFFLE PLUG TABS,BROKEN,,,
100569,INTAKE GASKET,LEAKING,,[4],
100570,ROCKER COVER GASKETS,LEAKING,,"[2, 4]",
100581,INTAKE GASKET,LEAKING,,[3],
100582,ROCKER COVER GASKET,LEAKING,,[4],
100583,INTAKE GASKET,LEAKING,,[4],
100584,ROCKER COVER GASKET,LEAKING,,[2],
100585,FRONT BAFFLE,CRACKED,,[1],
100586,ROCKER COVERS,LOOSE,SCREWS,,
100587,INTAKE TUBE GASKET,LEAKING,,[4],
100588,INTAKE,LEAKING,,[1],R
100589,INTAKES,LEAKING,,"[2, 3, 4]",L
100590,INTAKE,LEAKING,,[2],
100601,ROCKER COVER GASKET,LEAKING,,[3],
100602,ROCKER COVER GASKET,LEAKING,,[4],
100603,THROTTLE LINKAGE DOG BONE,LOOSE,BEARING,,
100604,INTAKE,LEAKING,,[1],
100605,INTAKE GASKET,LEAKING,,[3],L
100606,ROCKER GASKETS,LEAKING,ALL 4,,L
100607,INTAKE GASKETS,LEAKING,,"[1, 3, 4]",R
100608,BAFFLE CORNER,CRACK,,,L
100609,ROCKER COVER,LEAKING,,[2],
100610,INTAKES,LEAKING,,"[2, 3]",
100621,ENGINE BAFFLE MOUNTING BRACKET RIVETS,BROKEN,,,R
100622,INTAKE,LEAKING,,[3],
100623,ROCKER BOX COVER SCREWS,LOOSE,,,
100624,INDUCTION TUBE GASKET,LEAKING,,[4],
100625,INTAKE GASKET,LEAKING,,[2],
100626,INTAKE,LEAKING,,[1],
100627,ROCKER GASKET,LEAKING,,[1],
100628,BAFFLE PLUGS,BROKEN,SEVERAL PRONGS,"[2, 4]",
100629,INTAKE GASKET,LEAKS,,[2],
100630,ROCKER COVER GASKET,LEAKING,,[2],
100641,INDUCTION TUBE GASKETS,LEAKING,,"[2, 4]",R
100642,INDUCTION TUBE GASKETS,LEAKING,,"[2, 3, 4]",L
100643,ROCKER BOX COVER GASKETS,LEAKING,,[],L
100644,ENG BAFFLING,CRACKED,ABOVE #1 CYLINDER,[1],R
100645,FIREWALL,CRACKED,BY BATTERY BOX,,
100646,ENG BAFFLING,CRACKED,ABOVE #1 CYLINDER,[1],R
100647,INTAKE,LEAKING,,[2],
100648,INTAKE GASKETS,LEAKING,,"[2, 4]",
100649,ROCKER GASKETS,LEAKING,,"[2, 4]",
100650,EXHAUST I/B PUSH ROD SEAL,LEAKING,,[3],
100661,BAFFLE,WORN,,,
100662,GASKET,LEAKING,,[2],
100663,BAFFLE,MISSING,SCREW,,R
100664,GASKET,LEAKING,,[2],
100665,GASKETS,LEAKING,,"[1, 3]",
100666,INDUCTION,LEAKING,,"[2, 3]",R
100667,GASKETS,BROKEN,,"[3, 4]",
100668,GASKET,TORN,,[3],
100669,GASKETS,TORN,,"[1, 3, 4]",
100670,DIPSTICK,REMOVE,,,
100681,ROCKER COVER GASKET,LEAKING,,[4],
100682,ROCKER BOX COVER SCREWS,LOOSE,,,
100683,ROCKER BOX COVER GASKET,LEAKS,,[2],
100684,LOWER BAFFLE,CRACKED,,"[1, 3]",
100685,INTAKE TUBE,CANNED,,[1],
100686,INTAKE GASKET,LEAKING,,[2],L
100687,INTAKES,LEAKING,,"[2, 3]",R
100688,ROCKER COVER GASKET,LEAKING,,[3],R
100689,ROCKER COVER GASKET,SPLIT,,[2],R
100690,INDUCATION TUBE GASKET,LEAKING,,[4],R
100701,INTAKE GASKET,LEAKING,,[2],
100702,INTAKES,LEAKING,,"[2, 3, 4]",L
100703,BAFFLE SEALS,NEED,TO BE RESECURED ON BOTH ENGINES,,
100704,INTAKES,LEAKING,,"[2, 3, 4]",R
100705,INTAKE,LEAKING,,[2],
100706,ROCKER COVER,LEAKING,,[2],
100707,INTAKE,LEAKING,,[2],
100708,COWL SEAL,LOOSE,,,R
100709,HARDWARE,MISSING,ON R/H AFT BAFFLE,,R
100710,HARDWARE,MISSING,ON R/H AFT BAFFLE,,R
100721,BAFFLE BRACKET RIVETS,SHEARED,,,R
100722,INTAKE,LEAKING,,[2],
100723,BAFFLE BACK BRACKET RIVET HEAD,SHEARED,OFF,,R
100724,SCREW,MISSING,AFT BAFFLE BRACKET,,
100725,SCREW,MISSING,ON BAFFLE ABOVE #3 CYL,[3],
100726,BAFFLE,CRACKED,ABOVE #1 CYL,[1],
100727,BAFFLE PLUGS,WORN,OUT,,
100728,STAND OFF,NEEDED,FOR FUEL LINE ON TOP OF ENG,,
100729,BAFFLE,MISSING,RIVET ON AFT SUPPORT BRACKET,,R
100730,INTAKE GASKET,LEAKING,,[4],R
100741,,WON'T_START,,,
100742,INTAKE,LEAKING,,"[3, 4]",R
100743,INTAKES,LEAKING,,"[3, 4]",L
100744,ENGINE BAFFLE HARDWARE,MISSING,,,R
100745,FRONT BAFFLE,CRACK,,,L
100746,BACK BAFFLE BRACKET,MISSING,A RIVET & BAFFLE IS CRACK,,R
100747,INTAKE GASKET,LEAKING,,[4],
100748,INTAKE GASKET,LEAKING,,[2],
100749,AFT BAFFLE,CRACKED,,[4],L
100750,SIDE BAFFLE SEAL,TORN,,[2],L
100761,INTAKE,LEAKING,,[3],L
100762,,ROUGH,,,
100763,INTAKE,LEAKING,,"[2, 4]",
100764,ENGINE HOIST LOOP BOLT,LOOSE,,,
100765,INTAKE GASKET,LEAKING,,[2],
100766,ROCKER COVER GASKETS,LEAKING,,"[1, 2, 3, 4]",
100767,OIL COOLER,NEEDS,TO BE REPLACED,,
100768,#2 INDUCTION TUBE HOSE CLAMP,BROKEN,,,
100769,ROCKER COVER GASKETS,LEAKING,,"[2, 4]",
100770,INDUCTION TUBE GASKET,LEAKING,,[3],R
100781,ROCKER COVER GASKET,LEAKING,,['#3'],
100782,INTAKE,LEAKING,,['#2'],L
100783,INTAKE,LEAKING,,['#2'],R
100784,BAFFLE,CRACKED,,['#1'],
100785,ENGINE BAFFLE,CRACKED,,,R
100786,OVERBOARD BATTERY & ENGINE OVERBOARD VENT TUBES,CHAFED,,,
100787,ROCKER COVER SCREWS,LOOSE,,,
100788,ROCKER SHAFT PLUG,WORN,,['#3'],L
100789,INTAKE,LEAKING,,['#3'],R
100790,ROCKER COVER GASKET,LEAKING,,['#3'],L
100801,ROCKER COVER GASKETS,LEAKING,,"[2, 3]",
100802,ENGINE BAFFLE,CRACKED,,,L
100803,EGT WIRE PROBE STANDOFFS,BROKEN,,,
100804,INTAKE,LEAKING,,[4],
100805,INTAKE GASKET,LEAKING,,[3],
100806,ENGINE BAFFLE SCREWS,CHAFING,MUFFLER SHROUD,,
100807,OIL COOLER LINE,NEEDS,TO BE REPOSITIONED,,
100808,INTAKE GASKET,LEAKING,,[2],
100809,ROCKER COVER,LEAKING,,[3],
100810,ROCKER COVER GASKET,LEAKING,,[4],
100821,INTAKE,LEAKING,,[2],
100822,ROCKER COVER,LEAKING,,[1],
100823,RUDDER COVERS,CRACKED,,,
100824,INDUCTION TUBE GASKET,LEAKING,,[4],
100825,FRONT BAFFLE,CRACK,,,
100826,ROCKER COVER,LEAKING,,[2],
100827,FWD BAFFLE CENTER SECTION,WORN,,,
100828,INTAKE,LEAKING,,[2],L
100829,INTAKE GASKET,LEAKING,,[3],L
100830,ROCKER COVERS,LEAKING,,"[2, 3]",L
100841,BAFFLE,CRACKED,UNDER HEAT SHROUD AIR INTAKE,,
100842,BAFFLE,CRACKED,,,R
100843,ROCKER COVER,LEAKING,,[4],
100844,ROCKER COVER SCREWS,LOOSE,,,R
100845,INTAKE,LEAKING,,[3],R
100846,ROCKER COVER GASKETS,LEAKING,,"[2, 3]",
100847,INTAKE GASKET,LEAKING,,[2],
100848,OIL COOLER HOSE,REQUIRES,REPOSITIONING,,
100849,ROCKER COVERS,MISSING,2 SCREWS,"[1, 2]",
100850,ROCKER COVERS,LEAK,,"[2, 3, 4]",
100861,ROCKER COVERS,LEAKING,,"[2, 3, 4]",
100862,INTAKE GASKET,LEAKS,,[2],
100863,ROCKER COVER GASKETS,LEAKING,,"[1, 3, 4]",
100864,INTAKE TUBE,LEAKING,,[2],
100865,ENGINE BAFFLE BRACKET RIVETS,LOOSE,,,R
100866,INTAKE,LEAKING,EVIDENCE,[1],
100867,INTAKE GASKET,LEAKING,,[4],
100868,INTAKES,LEAKING,,"[2, 4]",
100869,INDUCTION TUBE GASKET,LEAKING,,[2],
100870,ROCKER COVERS,LEAKING,,"[1, 2]",
100881,BAFFLE BRACKET,MISSING,RIVETS,,
100882,INTAKE,LEAKING,,[2],L
100883,INTAKE,LEAKING,,[3],R
100884,INTAKE TUBE GASKET,LEAKING,,[4],L
100885,PRIMER LINE SLEEVE,TORN,,[1],R
100886,INTAKE,LEAKING,,[2],R
100887,INTAKE,LEAKING,,[2],L
100888,BAFFLE SEAL,LOOSE,UNDER PROP GOVERNOR,,R
100889,ROCKER COVER,LEAKING,,[2],L
100890,SCREW,MISSING,"L/H AFT BAFFLING, ON ENG (BEHIND DIPSTICK TUB",,
100901,INTAKE,LEAKING,,[1],
100902,BAFFLE SEAL,NEEDS,TO BE SECURED,,R
100903,BAFFLE,CRACK,,,L
100904,INTAKE,LEAKING,,[2],
100905,ROCKER COVER,LEAKING,,[2],
100906,INTAKE,LEAKING,,[4],
100907,ROCKER COVER,LEAKING,,[4],
100908,,NEEDED,TEST FLIGHT FOR UNUSUAL VIBRATION,,
100909,,NEEDED,TEST FLIGHT FOR UNUSUAL VIBRATION,,
100910,,NEEDED,TEST FLIGHT FOR UNUSUAL VIBRATION,,
100921,,OVERSPEED,OF 3300 IN FLT,,
100922,ROCKER COVER GASKETS,LEAKING,,"[2, 4]",
100923,INTAKE,LEAKING,,[4],L
100924,ROCKER COVER,LEAKING,,[4],L
100925,INTAKE,LEAKING,,[4],R
100926,IGNITION LEAD LACING CORE,BROKEN,TO OIL RIGGED LI,,R
100927,INTAKE,LEAKING,,[2],
100928,INTAKE GASKET,LEAKING,,[2],
100929,RING GEAR TEETH,DAMAGED,APPEAR TO BE,,
100930,ROCKER COVER GASKET,LEAKING,,"[4, 1]",
100941,,ROUGH,,,
100942,,ROUGH,,,
100943,SCREW,MISSING,BEHIND #3 BAFFLE,[3],
100944,INTAKES,LEAKING,,"[2, 4]",
100945,BAFFLE SEAL,TORN,FWD R/H,,
100946,INTAKE GASKET,LEAKING,,[3],
100947,OIL COOLER STAND OFFS,NEED,ADJUSTMENT,,
100948,BAFFLE,LOOSE,MIDDLE MOUNT RIVETS,,L
100949,BAFFLE,CRACKED,AFT PAST STOP DRILL,,L
100950,ROCKER COVER GASKETS,LEAKING,,"[2, 3]",
100961,ROCKER COVER,LEAKING,,[2],R
100962,ROCKER COVER,LEAKING,,[4],L
100963,INTAKES,LEAKING,,"[2, 3]",R
100964,INTAKES,LEAKING,,"[3, 4]",L
100965,BAFFLE SEAL,LOOSE,,,R
100966,BAFFLE SEAL,LOOSE,,[4],L
100967,ROCKER COVER GASKET,LEAKING,,[3],R
100968,INTAKE GASKET,LEAKING,,[3],R
100969,BAFFLE,MISSING,BOTH BOLTS,[3],R
100970,MOUNTING SCREW,LOOSE,,,R
