id,action,part,cyl,engine
100145,,,,
100146,,,,
100147,REPLACED,,,
100148,REPLACED,ROCKER COVER,3,
100149,,,,
100150,,,,
100151,,,,
100152,,,,
100153,REPLACED,GASKET,,
100154,,,,
100155,TORQUED,SCREW,,
100156,,,,
100157,,,,
100158,REPLACED,ROCKER COVER,3 1,
100159,SECURED,BAFFLE SEAL,,
100160,,,,
100161,STOP DRILLED,CRACK,,
100162,TIGHTENED,ALL SCREWS FOR ROCKER COVER,,
100163,,,,
100164,,,,
100165,,,,
100166,,,,
100167,,,,
100168,,,,
100169,,,,
100170,,,,
100171,,,,
100172,,,,
100173,,,,
100174,,,,
100175,,,,
100176,CLEANED,PLUG,,
100177,,,,
100178,,,,
100179,,,,
100180,,,,
100181,,,,
100182,CLEANED,PLUG,,
100183,,,,
100184,,,,
100185,,,,
100186,,,,
100187,REPLACED,INTAKE GASKET,4 2,
100188,REPLACED,INTAKE GASKET,,
100189,REPLACED,ROCKER COVER GASKET,3,
100190,TIGHTENED,BAFFLE SCREW,,
100191,STOP DRILLED,CRACK,,
100192,TIGHTENED,HOSE CLAMP,,
100193,REPLACED,SEAL,,
100194,,,,
100195,REPLACED,,,
100196,,,,
100197,REPLACED,INTAKE GASKET,,
100198,REPLACED,ROCKER COVER GASKET,,
100199,,,,
100200,,,,
100201,REPLACED,,,
100202,TIGHTENED,ALL SCREW,,
100203,REPLACED,INTAKE GASKET ON R/H ENGINE,2,
100204,REPLACED,,,
100205,REPLACED,,4 2,
100206,REPLACED,ASSY,3,
100207,,,,
100208,REPLACED,INTAKE GASKET,,
100209,REPLACED,INTAKE GASKET,2,
100210,REPLACED,ROCKER COVER GASKET,3 2,
100211,,,,
100212,REPLACED,ROCKER COVER,,
100213,REPLACED,GASKET,,
100214,REPLACED,GASKET,,
100215,REPLACED,GASKET,,
100216,REPLACED,ALL GASKET,,
100217,,,,
100218,TORQUED,SCREW,,
100219,TIGHTENED,HOSE CLAMP,,
100220,REPLACED,INTAKE GASKET,2,
100221,REPLACED,ROCKER COVER GASKET,,
100222,TIGHTENED,HOSE CLAMP,,
100223,TORQUED,ROCKER BOX COVER SCREW,4 2,
100224,REPLACED,INTAKE GASKET,1,L/H
100225,REPLACED,,,
100226,REPLACED,BAFFLE SEAL,,
100227,REPLACED,GASKET,,
100228,,,,
100229,REPLACED,ROCKER GASKET,,
100230,REPLACED,ROCKER COVER GASKET,,
100231,,,,
100232,,,,
100233,REPLACED,SCREW,,
100234,REPLACED,GASKET,,
100235,TIGHTENED,HOSE CLAMP,,
100236,REPLACED,INTAKE GASKET,,
100237,REPLACED,INTAKE GASKET,,
100238,SECURED,FWD BAFFLE SEAL,1,
100239,REPLACED,ROCKER COVER GASKET,,
100240,,,,
100241,,,,
100242,SECURED,BAFFLE BRACKET,,
100243,,,,
100244,STOP DRILLED,CRACK,,
100245,,,,
100246,,,,
100247,REPLACED,ROCKER GASKET,4 3 2,
100248,,,,
100249,,,,
100250,,,,
100251,REPLACED,GASKET,,
100252,REPLACED,BRACKET,,
100253,,,,
100254,,,,
100255,REPLACED,ROCKER COVER GASKET,2,
100256,REPLACED,GASKET,,
100257,,,,
100258,REPLACED,,,
100259,REPLACED,GASKET,4 2,
100260,TIGHTENED,SCREW,,
100261,REPLACED,ROCKER COVER GASKET,3 1,
100262,TIGHTENED,SCREW,,
100263,TIGHTENED,HOSE CLAMP,,
100264,,,,
100265,REPLACED,INTAKE GASKET,,
100266,,,,
100267,REPLACED,GASKET,,
100268,REPLACED,BAFFLE INTERCONNECT ROD,,
100269,,,,
100270,,,,
100271,REPLACED,ROCKER COVER GASKET,4,
100272,REPLACED,RIVET,,
100273,REPLACED,ROCKER COVER GASKET,4 2,
100274,,,,
100275,,,,
100276,REPLACED,,,
100277,,,,
100278,REPLACED,BAFFLE,,
100279,REPLACED,ROCKER COVER GASKET,,
100280,STOP DRILLED,CRACK IN R/H ENG #3 AFT BAFFLE,,
100281,REPLACED,,,
100282,REPLACED,INTAKE GASKET,3 2,
100283,,,,
100284,REPLACED,INTAKE GASKET,1,
100285,REPLACED,,,
100286,,,,
100287,,,,
100288,,,,
100289,,,,
100290,REPLACED,ROCKER COVER GASKET,4,
100291,TIGHTENED,ALL COVER,,
100292,REPLACED,INTAKE GASKET,3,
100293,,,,
100294,REPLACED,GASKET,,
100295,REPLACED,ROCKER COVER,2,
100296,TIGHTENED,SCREW,,
100297,,,,
100298,TIGHTENED,ALL SCREW,,
100299,REPLACED,,,
100300,TIGHTENED,HOSE CLAMP,,
100301,TIGHTENED,R/H REAR BAFFLE MOUNTING SCREW,,
100302,,,,
100303,REPLACED,INTAKE GASKET,3,
100304,,,,
100305,REPLACED,ROCKER COVER GASKET,,
100306,REPLACED,INTAKE GASKET,3 2,
100307,REPLACED,INTAKE GASKET,,
100308,TIGHTENED,SCREW,,
100309,REPLACED,STARTER RING GEAR,,
100310,REPLACED,INTAKE GASKET,4 2,
100311,REPLACED,BOTH BAFFLE PLUG,,
100312,REPLACED,ROCKER COVER GASKET,1,
100313,,,,
100314,,,,
100315,REPLACED,GASKET,,
100316,REPLACED,ROCKER COVER GASKET,2,
100317,REPLACED,ROCKER COVER GASKET,3 2,
100318,,,,
100319,STOP DRILLED,CRACK,,
100320,,,,
100321,REPLACED,ROCKER COVER GASKET,2,
100322,,,,
100323,REPLACED,INTAKE GASKET,3 2,
100324,REPLACED,ROCKER COVER GASKET,3,
100325,REPLACED,INTAKE GASKET,4 2 1,
100326,REPLACED,INTAKE GASKET,,
100327,REPLACED,BAFFLE PLUG,,
100328,REPLACED,INTAKE GASKET,3,
100329,REPLACED,LOWER L/H BAFFLE TIE ROD,,
100330,REPLACED,INTAKE GASKET,,
100331,,,,
100332,REPLACED,INTAKE GASKET,,
100333,REPLACED,GASKET,,
100334,REPLACED,ROCKER COVER GASKET,2,
100335,REPLACED,INTAKE GASKET,2,
100336,REPLACED,GASKET,,
100337,REPLACED,SEAL,,
100338,SECURED,BAFFLE SEAL,,
100339,,,,
100340,,,,
100341,REPLACED,ROCKER COVER GASKET,,
100342,,,,
100343,REPLACED,GASKET,,
100344,REPLACED,BAFFLE SPRING,,
100345,,,,
100346,REPLACED,BOTH BAFFLE PLUG,,
100347,REPLACED,ROCKER COVER GASKET,2,
100348,REPLACED,ROCKER COVER GASKET,3,
100349,,,,
100350,,,,
100351,TIGHTENED,DOWN SCREW,,
100352,TIGHTENED,DOWN SCREW,,
100353,REPLACED,INTAKE GASKET,,
100354,REPLACED,INDUCTION TUBE GASKET,4,
100355,REPLACED,ROCKER COVER GASKET,4 2,
100356,REPLACED,INTAKE GASKET,1,
100357,REPLACED,ROCKER COVER GASKET,4,
100358,REPLACED,INTAKE TUBE,,
100359,,,,
100360,REPLACED,ROCKER COVER GASKET,,
100361,REPLACED,INTAKE GASKET,,
100362,REPLACED,ROCKER COVER GASKET,,
100363,REPLACED,GASKET,,
100364,REPLACED,GASKET,,
100365,REPLACED,INTAKE GASKETS ON L/H ENGINE,3 2,
100366,REPLACED,GASKET,,
100367,REPLACED,,,
100368,REPLACED,ROCKER COVER GASKET,2,
100369,REPLACED,ROCKER COVER GASKET,3,
100370,REPLACED,INDER FWD PUSH ROD TUBE SEAL,3,
100371,,,,
100372,SECURED,BAFFLE SEAL,,
100373,,,,
100374,,,,
100375,REPLACED,GASKET,,
100376,,,,
100377,,,,
100378,REPLACED,GASKET,,
100379,REPLACED,INTAKE GASKET,,
100380,REPLACED,ROCKER COVER GASKET,,
100381,REPLACED,GASKET,,
100382,,,,
100383,REPLACED,GASKET,,
100384,,,,
100385,TORQUED,,,
100386,REPLACED,FWD PUSH ROD TUBE SEAL,3,
100387,TIGHTENED,CLAMP,,
100388,,,,
100389,SECURED,BAFFLE SEAL,2,
100390,REPLACED,GASKET,,
100391,,,,
100392,,,,
100393,,,,
100394,REPLACED,INTAKE GASKET,4,
100395,REPLACED,ROCKER COVER GASKET,2,
100396,REPLACED,INTAKE GASKET,,
100397,,,,
100398,,,,
100399,REPLACED,GASKET,,
100400,,,,
100401,REPLACED,INTAKE GASKET,2,
100402,REPLACED,INTAKE GASKET,,
100403,TIGHTENED,OIL RETURN LINE CLAMP,,
100404,TIGHTENED,,,
100405,TIGHTENED,SCREW,,
100406,REPLACED,GASKET,,
100407,REPLACED,GASKET,,
100408,REPLACED,GASKET,,
100409,REPLACED,GASKET,,
100410,TIGHTENED,CLAMP,,
100411,,,,
100412,,,,
100413,REPLACED,PRESSURE HOSE,,
100414,,,,
100415,REPLACED,,,
100416,REPLACED,,,
100417,,,,
100418,,,,
100419,REPLACED,ROCKER COVER GASKET,3,
100420,REPLACED,ROCKER COVER GASKET,3,
100421,REPLACED,GASKET,,
100422,REPLACED,GASKET,,
100423,,,,
100424,,,,
100425,,,,
100426,,,,
100427,REPLACED,ROCKER COVER GASKET,,
100428,,,,
100429,,,,
100430,REPLACED,GASKET,,
100431,STOP DRILLED,,,
100432,REPLACED,ROCKER COVER GASKET,3 2,
100433,STOP DRILLED,CRACK,,
100434,REPLACED,INTAKE GASKET,3,
100435,REPLACED,ROCKER COVER GASKET,2,
100436,REPLACED,ROCKER COVER GASKET,3 1,
100437,,,,
100438,REPLACED,INTAKE PIPE GASKET,4 2,
100439,REPLACED,ROCKER COVER GASKET,2,
100440,REPLACED,GASKET,,
100441,REPLACED,INTAKE GASKETS 2 & 4 ON L/H ENGINE,,
100442,REPLACED,,,
100443,,,,
100444,REPLACED,SCREW,,
100445,,,,
100446,REPLACED,INTAKE GASKET,,
100447,REPLACED,GASKET,,
100448,REPLACED,GASKET,,
100449,,,,
100450,,,,
100451,REPLACED,ROCKER COVER GASKET,,
100452,,,,
100453,,,,
100454,,,,
100455,REPLACED,INTAKE GASKET,4,
100456,REPLACED,INTAKE GASKET,,
100457,,,,
100458,,,,
100459,REPLACED,INTAKE GASKET,2,
100460,REPLACED,ROCKER COVER GASKET,2,
100461,REPLACED,INTAKE GASKET,,
100462,REPLACED,BAFFLE PLUG,,
100463,REPLACED,INTAKE GASKET,,
100464,REPLACED,BAFFLE & WIRE SPRING,,
100465,REPLACED,,,
100466,REPLACED,GASKET,,
100467,REPLACED,INTAKE GASKET,2,
100468,REPLACED,PLUG,,
100469,REPLACED,ROCKER GASKET,4 1,
100470,REPLACED,INTAKE GASKET,4,
100471,STOP DRILLED,CRACK,,
100472,,,,
100473,,,,
100474,,,,
100475,REPLACED,INTAKE GASKET,1,
100476,TIGHTENED,HOSE CLAMP,,
100477,REPLACED,ROCKER COVER GASKET,,
100478,REPLACED,INTAKE GASKET,,
100479,REPLACED,ROCKER COVER GASKET,,
100480,REPLACED,GASKET,,
100481,REPLACED,GASKET,,
100482,,,,
100483,TIGHTENED,HOSE CLAMP,,
100484,REPLACED,ROCKER COVER GASKET,2,
100485,REPLACED,GASKET,,
100486,,,,
100487,,,,
100488,,,,
100489,REPLACED,ROCKER COVER GASKET,,
100490,REPLACED,ROCKER COVER GASKET,,
100491,REPLACED,INTAKE GASKET,2,
100492,,,,
100493,REPLACED,ROCKER COVER GASKET,,
100494,REPLACED,INTAKE GASKET,,
100495,REPLACED,INTAKE GASKET,4 1,-
100496,STOP DRILLED,CRACK,,
100497,REPLACED,ROCKER COVER GASKET,,
100498,REPLACED,GASKET,,
100499,TIGHTENED,HOSE CLAMP,,
100500,STOP DRILLED,CRACK,,
100501,STOP DRILLED,CRACK,,
100502,REPLACED,ALL 4 ROCKER COVER GASKET,,
100503,REPLACED,GASKET,,
100504,REPLACED,INTAKE GASKET,4,
100505,REPLACED,INTAKE GASKET,3,
100506,REPLACED,ROCKER COVER GASKET,,
100507,REPLACED,ROCKER COVER GASKET,3,
100508,REPLACED,INTAKE GASKET,2,
100509,REPLACED,GASKET,,
100510,REPLACED,PLUG,,
100511,REPLACED,ROCKER COVER GASKET,4 2 1,
100512,REPLACED,ALL 3 GASKET,,
100513,,,,
100514,REPLACED,INTAKE TUBE,4 2,
100515,REPLACED,ROCKER COVER GASKET,,
100516,REPLACED,INTAKE GASKET,,
100517,REPLACED,ROCKER COVER GASKET,1,
100518,REPLACED,GASKET,,
100519,REPLACED,ROCKER COVER GASKET,,
100520,REPLACED,INTAKE GASKET,,
100521,,,,
100522,,,,
100523,,,,
100524,TIGHTENED,,,
100525,REPLACED,INTAKE GASKET,,
100526,REPLACED,,,
100527,REPLACED,ROCKER COVER GASKET,,
100528,TORQUED,SCREW,,
100529,TORQUED,SCREW,,
100530,TIGHTENED,HOSE CLAMP,,
100531,,,,
100532,,,,
100533,REPLACED,,,
100534,,,,
100535,,,,
100536,,,,
100537,,,,
100538,REPLACED,INTAKE GASKET,,
100539,REPLACED,ROCKER COVER GASKET,,
100540,,,,
100541,TIGHTENED,SCREW,,
100542,REPLACED,INTAKE GASKET,,
100543,,,,
100544,,,,
100545,,,,
100546,,,,
100547,REPLACED,GASKET,,
100548,REPLACED,PLUG,,
100549,REPLACED,INTAKE GASKET,,
100550,REPLACED,GASKET,2 1,
100551,REPLACED,GASKET,3 1,
100552,REPLACED,INTAKE GASKET,,
100553,TORQUED,ROCKER BOX COVER SCREW,,
100554,,,,
100555,,,,
100556,,,,
100557,REPLACED,BAFFLE SUPPORT ROD,,
100558,REPLACED,INTAKE GASKET,,
100559,REPLACED,INTAKE TUBE GASKET,,
100560,REPLACED,ROCKER COVER GASKET,,
100561,REPLACED,ROCKER COVER GASKET,4 2,
100562,REPLACED,INTAKE GASKET,,
100563,REPLACED,ROCKER COVER GASKET,,
100564,REPLACED,INTAKE GASKET,3,
100565,REPLACED,INTAKE GASKET,,
100566,REPLACED,,,
100567,TIGHTENED,& RESAFETIED FILLER TUBE,,
100568,,,,
100569,REPLACED,INTAKE GASKET,4,
100570,REPLACED,GASKET,4 2,
100571,REPLACED,GASKET,,
100572,REPLACED,GASKET,,
100573,TIGHTENED,ALL COVER SCREW,,
100574,REPLACED,INTAKE GASKET,,
100575,REPLACED,ROCKER COVER GASKET,,
100576,STOP DRILLED,CRACK,,
100577,REPLACED,ROCKER COVER GASKET,,
100578,SECURED,,,
100579,TIGHTENED,,,
100580,REPLACED,INTAKE GASKET,,
100581,REPLACED,INTAKE GASKET,3,
100582,REPLACED,ROCKER COVER GASKET,4,
100583,REPLACED,INTAKE GASKET,,
100584,REPLACED,ROCKER COVER,,
100585,STOP DRILLED,CRACK,,
100586,TIGHTENED,ALL SCREW,,
100587,REPLACED,INTAKE GASKET,,
100588,REPLACED,GASKET,,
100589,REPLACED,GASKET,,
100590,REPLACED,INTAKE GASKET,2,
100591,REPLACED,INDUCTION TUBE GASKET,4,
100592,TIGHTENED,ALL SCREW,,
100593,REPLACED,INTAKE GASKET,2,
100594,,,,
100595,TIGHTENED,HOSE CLAMP,,
100596,REPLACED,INTAKE GASKET,2,
100597,,,,
100598,REPLACED,INTAKE GASKET,,
100599,REPLACED,ROCKER COVER GASKET,3,
100600,REPLACED,GASKET,,
100601,REPLACED,GASKET,,
100602,REPLACED,GASKET,,
100603,REPLACED,,,
100604,REPLACED,INTAKE GASKET,1,
100605,REPLACED,GASKET,,
100606,REPLACED,GASKET,,
100607,REPLACED,GASKET,,
100608,STOP DRILLED,CRACK,,
100609,REPLACED,GASKET,,
100610,REPLACED,INTAKE GASKET,3 2,
100611,REPLACED,ROCKER COVER GASKET,,
100612,TIGHTENED,SCREW,,
100613,REPLACED,INTAKE GASKET,2,
100614,STOP DRILLED,CRACK,,
100615,REPLACED,ROCKER COVER GASKET,3 2,
100616,REPLACED,GASKET,,
100617,,,,
100618,,,,
100619,REPLACED,ROCKER COVER GASKET,,
100620,TIGHTENED,HOSE CLAMP,,
100621,REPLACED,BROKEN BAFFLE MOUNTING BRACKET RIVET,,
100622,REPLACED,INTAKE GASKET,3,
100623,TIGHTENED,SCREW,,
100624,REPLACED,GASKET,,
100625,REPLACED,GASKET,,
100626,REPLACED,GASKET,,
100627,REPLACED,GASKET,,
100628,REPLACED,BUTTON PLUG,,
100629,REPLACED,GASKET,,
100630,REPLACED,GASKET,,
100631,REPLACED,INTAKE GASKET ON L/H ENGINE,2,
100632,,,,
100633,REPLACED,GASKET,,
100634,REPLACED,ROCKER COVER GASKET,4 3,
100635,,,,
100636,REPLACED,INTAKE GASKET,,
100637,,,,
100638,,,,
100639,,,,
100640,,,,
100641,REPLACED,INTAKE GASKET,4 2,
100642,REPLACED,,,
100643,REPLACED,ROCKER COVER GASKET,4 3 2 1,
100644,CLEANED,,,
100645,,,,
100646,,,,
100647,REPLACED,INTAKE GASKET,2,
100648,REPLACED,GASKET,,
100649,REPLACED,GASKET,4 2,
100650,REPLACED,,,
100651,REPLACED,GASKET,,
100652,REPLACED,INTAKE GASKET,,
100653,REPLACED,ROCKER COVER GASKET,,
100654,REPLACED,ROCKER COVER GASKET,,
100655,REPLACED,INTAKE GASKET,2,
100656,REPLACED,ROCKER COVER GASKET,,
100657,STOP DRILLED,CRACK,,
100658,TIGHTENED,CLAMP,,
100659,REPLACED,,,
100660,REPLACED,ROCKER COVER,,
100661,,,,
100662,REPLACED,INTAKE GASKET,2,
100663,,,,
100664,REPLACED,INTAKE GASKET,2,
100665,REPLACED,ROCKER COVER GASKET,3 1,
100666,REPLACED,,3 2,
100667,REPLACED,ROCKER COVER GASKET,4 3,
100668,REPLACED,ROCKER COVER GASKET,,
100669,REPLACED,ROCKER COVER GASKET,,
100670,,,,
100671,,,,
100672,REPLACED,ROCKER COVER GASKET,4 3,
100673,REPLACED,GASKET,,
100674,REPLACED,INTAKE GASKET,3 1,
100675,REPLACED,INTAKE GASKET,,
100676,REPLACED,INTAKE GASKET,,
100677,REPLACED,ROCKER COVER GASKET,,
100678,REPLACED,ROCKER COVER GASKET,,
100679,REPLACED,GASKET,,
100680,REPLACED,GASKET,,
100681,REPLACED,ROCKER COVER GASKET,,
100682,TIGHTENED,SCREW,,
100683,REPLACED,COVER GASKET,2,
100684,,,,
100685,,,,
100686,REPLACED,INTAKE GASKET,2,
100687,REPLACED,INTAKE GASKET,,
100688,REPLACED,ROCKER COVER GASKET,,
100689,REPLACED,GASKET,,
100690,REPLACED,R/H INTAKE TUBE GASKET,4,
100691,REPLACED,INTAKE GASKET,,
100692,REPLACED,INTAKE GASKET,,
100693,REPLACED,GASKET,,
100694,,,,
100695,,,,
100696,,,,
100697,REPLACED,,3,
100698,,,,
100699,SECURED,BAFFLE SEAL,,
100700,,,,
100701,REPLACED,INTAKE GASKET,,
100702,REPLACED,INTAKE GASKET,,
100703,SECURED,BAFFLE SEAL,,
100704,REPLACED,INTAKE GASKET,,
100705,REPLACED,GASKET,,
100706,REPLACED,GASKET,,
100707,REPLACED,INTAKE GASKET,2,
100708,SECURED,SEAL,,
100709,,,,
100710,,,,
100711,,,,
100712,,,,
100713,REPLACED,INTAKE GASKET,,
100714,REPLACED,INTAKE GASKET,2,R/H
100715,REPLACED,L/H INTAKE TUBE GASKET,2,
100716,REPLACED,BRACKET,,
100717,REPLACED,ROCKER COVER GASKET,,
100718,,,,
100719,REPLACED,INTAKE GASKET,,
100720,REPLACED,/3 BAFFLE SPRING,1,
100721,,,,
100722,REPLACED,INTAKE GASKET,2,
100723,,,,
100724,,,,
100725,,,,
100726,,,,
100727,REPLACED,BOTH PLUG,,
100728,,,,
100729,,,,
100730,REPLACED,INTAKE GASKET,4,R/H
100731,REPLACED,INTAKE GASKET,3,R/H
100732,REPLACED,INTAKE TUBE GASKET,,
100733,REPLACED,R/H ENG,,
100734,REPLACED,INTAKE GASKET,1,
100735,REPLACED,BROKEN BAFFLE PLUG,,
100736,REPLACED,INTAKE GASKET,,
100737,REPLACED,GASKET,,
100738,,,,
100739,,,,
100740,,,,
100741,,,,
100742,REPLACED,R/H INTAKE GASKET,4 3,
100743,REPLACED,L/H ENGINE #3 & 4 INTAKE GASKET,,
100744,,,,
100745,STOP DRILLED,CRACK,,
100746,,,,
100747,REPLACED,INTAKE GASKET,4,
100748,REPLACED,INTAKE GASKET,,
100749,STOP DRILLED,CRACK,,
100750,REPLACED,SEAL,,
100751,REPLACED,SEAL,,
100752,REPLACED,INTAKE GASKET,,
100753,REPLACED,ALL ROCKER GASKETS ON L/H ENGINE,,
100754,REPLACED,PUSH ROD SEALS ON #1 INTAKE TUBE,,
100755,TIGHTENED,ROCKER BOX COVER SCREW,,
100756,,,,
100757,REPLACED,INTAKE GASKET,,
100758,REPLACED,GASKET,,
100759,REPLACED,BUTTON PLUG,,
100760,REPLACED,INTAKE GASKET,,
100761,REPLACED,INTAKE GASKET,,
100762,,,,
100763,REPLACED,INTAKE GASKET,,
100764,,,,
100765,REPLACED,INTAKE GASKET,2,
100766,REPLACED,ROCKER COVER GASKET,,
100767,REPLACED,OIL COOLER,,
100768,REPLACED,CLAMP,,
100769,TIGHTENED,ROCKER COVER SCREW,,
100770,REPLACED,INTAKE GASKET,,
100771,,,,
100772,REPLACED,GASKET,,
100773,REPLACED,INTAKE GASKET,2,
100774,REPLACED,GASKET,,
100775,REPLACED,GASKET,,
100776,REPLACED,BAFFLE SPRING,,
100777,,,,
100778,,,,
100779,,,,
100780,TIGHTENED,ALL COVER,,
100781,REPLACED,GASKET,,
100782,REPLACED,INTAKE GASKET,,
100783,REPLACED,INTAKE GASKET,,
100784,STOP DRILLED,CRACK,,
100785,,,,
100786,,,,
100787,TIGHTENED,SCREW,,
100788,REPLACED,PLUG,,
100789,REPLACED,INTAKE GASKET,,
100790,REPLACED,GASKET,,
100791,REPLACED,INTAKE GASKET,,
100792,,,,
100793,,,,
100794,,,,
100795,REPLACED,GASKET,,
100796,REPLACED,GASKET,,
100797,TIGHTENED,ALL SCREW,,
100798,REPLACED,GASKET,,
100799,REPLACED,GASKET,,
100800,,,,
100801,REPLACED,ROCKER COVER GASKET,3 2,
100802,,,,
100803,REPLACED,,,
100804,REPLACED,GASKET,,
100805,REPLACED,INTAKE GASKET,3,
100806,,,,
100807,,,,
100808,REPLACED,INTAKE GASKET,2,
100809,REPLACED,ROCKER GASKET,3,
100810,REPLACED,COVER GASKET,,
100811,,,,
100812,,,,
100813,,,,
100814,REPLACED,INTAKE GASKET,2,
100815,,,,
100816,REPLACED,INTAKE GASKET,,
100817,REPLACED,ROCKER COVER GASKET,,
100818,STOP DRILLED,CRACK,,
100819,,,,
100820,REPLACED,ROCKER COVER GASKET,,
100821,REPLACED,INTAKE GASKET,,
100822,REPLACED,ROCKER COVER GASKET,,
100823,STOP DRILLED,,,
100824,REPLACED,INTAKE TUBE GASKET,4,
100825,,,,
100826,REPLACED,ROCKER COVER GASKET,,
100827,,,,
100828,REPLACED,INTAKE GASKET,,
100829,REPLACED,INTAKE GASKET,3,L/H
100830,REPLACED,ROCKER COVER GASKET,,
100831,REPLACED,ROCKER SHAFT PLUG,,
100832,REPLACED,INTAKE GASKET,,
100833,REPLACED,ROCKER COVER GASKET,,
100834,REPLACED,GASKET,,
100835,,,,
100836,REPLACED,INTAKE GASKET,,
100837,,,,
100838,,,,
100839,,,,
100840,,,,
100841,STOP DRILLED,CRACK,,
100842,STOP DRILLED,CRACK,,
100843,REPLACED,ROCKER COVER,,
100844,TIGHTENED,SCREW,,
100845,REPLACED,INTAKE GASKET,3,R/H
100846,REPLACED,ROCKER COVER GASKET,3 2,
