id,part,problem,rest,location
100179,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,R/H ENG  
100180,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,R/H ENG  
100181,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,R/H ENG  
100182,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,R/H ENG  
100183,,NEEDS,TO BE REMOVED TO FACILITATE REPAIR,R/H ENG  
100184,,,,
100185,,,,
100186,,,,
100187,INTAKE GASKET,LEAKING,,#2 & 4  
100188,INTAKE,LEAKING,,#2  
100189,ROCKER COVER,LEAKING,,#3  
100190,AFT BAFFLE SCREW,LOOSE,,  
100191,REAR ENGINE BAFFLE,CRACKED,,#4  
100192,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),  
100193,EXHAUST SEAL,LEAKING,,#3 CYL   
100194,,,,
100195,ENGINE BAFFLE BUTTON,WORN,,  
100196,,,,
100197,INTAKE,LEAKING,,#2 & 4  
100198,ROCKER COVER GASKET,LEAKING,,#2  
100199,,,,
100200,,,,
100201,LACING CORD,LOOSE,"SCAT TUBING + IGN LEAD TO FRAME, R/H SI",  
100202,ROCKER COVER SCREW,LOOSE,,ALL   L/H ENGINE
100203,INTAKE,LEAKING,,#2  R/H ENGINE
100204,,,,
100205,ROCKER COVER,LEAKING,, 2 & 4 R/H ENGINE
100206,,,,
100207,,,,
100208,INTAKE,LEAKING,,#2  
100209,INTAKE GASKET,LEAKING,,CYL #2  
100210,ROCKER COVER,LEAKING,,CYL #2 & 3  
100211,,,,
100212,ROCKER COVER,LEAKING,,#3  
100213,ROCKER COVER GASKET,LEAKING,,#2 & 4  
100214,INTAKE,LEAKING,,R/H ENGINE #2  
100215,ROCKER COVER GASKET,LEAKING,,L/H ENGINE #4  
100216,,,,
100217,BAFFLE SCREW,MISSING,,R/H REAR ENGINE   
100218,ROCKER BOX COVER SCREW,LOOSE,(ALL CYLS),  
100219,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),  
100220,INTAKE,LEAKING,,#2  
100221,ROCKER COVER,LEAKING,,#4  
100222,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),  
100223,ROCKER BOX COVER SCREW,LOOSE,,#2 & 4  
100224,INTAKE,LEAKING,,L/H ENGINE #1  
100225,INTAKE,LEAKING,,R/H ENGINE #2 & 1  
100226,FWD UPPER BAFFLE SEAL,LOOSE,,R/H   
100227,ROCKER COVER,LEAKING,,#4  
100228,ROCKER BOX COVER SCREW,LOOSE,,  
100229,ROCKER GASKET,LEAKING,,#4  
100230,ROCKER COVER,LEAKING,,#2  
100231,,COMPRESSION,NO COMPRESSION,#4 CYL   
100232,,COMPRESSION,NO COMPRESSION,#4 CYL   
100233,SCREW,MISSING,BAFFLE,  #3
100234,ROCKER COVER,LEAKING,,#2  
100235,INDUCTION TUBE HOSE CLAMP,LOOSE,,  
100236,INTAKE,LEAKING,,R/H ENG CYL #3  
100237,INDUCTION TUBE GASKET,LEAKING,,L/H ENG #4  
100238,FWD BAFFLE SEAL,LOOSE,,L/H ENG CYL #1  
100239,ROCKER BOX COVER,LEAKING,,"L/H ENG #1, 2 & 3  "
100240,INTAKE TUBE GASKET,LEAKING,,R/H ENG #2  
100241,ROCKER COVER GASKET,LEAKING,,R/H ENG ALL   
100242,AFT BAFFLE BRACKET RIVET,SHEARED,,  
100243,AFT BAFFLE,WORN,THROUGH AT I/B CYLINDER WRAP,#3  
100244,,,,
100245,,,,
100246,,,,
100247,ROCKER GASKET,LEAKING,,"#2, 3 & 4  "
100248,AFT BAFFLE,CRACKED,IN SEVERAL PLACES,#3  
100249,AFT BAFFLE,CRACKED,IN SEVERAL PLACES,#3  
100250,SCREW,MISSING,IN #4 ROCKER COVER,  
100251,INTAKE,LEAKING,,#2  
100252,BRACKET SECURING OIL LINE TO,BROKEN,, #2 CYLINDER  
100253,,,,
100254,,,,
100255,ROCKER COVER GASKET,LEAKING,,#2  
100256,ROCKER COVER,LEAKING,,#2 & 4  
100257,,,,
100258,ROCKER COVER GASKET,LEAKING,," 1, 3 & 4 "
100259,ROCKER COVER GASKET,LEAKING,,#2 & 4 CYLINDER   
100260,ROCKER BOX COVER SCREW,LOOSE,,"#1, 2 & 3  "
100261,ROCKER COVER,LEAKING,,#1 & 3  
100262,ROCKER BOX COVER SCREW,LOOSE,(ALL CYL),  
100263,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),  
100264,INTAKE,LEAKING,AT CLAMP,#3  
100265,INTAKE GASKET,LEAKING,,#2  
100266,,,,
100267,ROCKER COVER,LEAKING,,#3  
100268,,,,
100269,INDUCTION TUBE HOSE CLAMP,BROKEN,,#2  
100270,INTAKE GASKET,LEAKING,,"#1, 2, 3 CYLINDER   "
100271,ROCKER COVER,LEAKING,,#4  
100272,,,,
100273,ROCKER COVER,LEAKING,,#2 & 4  
100274,RING GEAR HAS TOO MANY,DAMAGED,TEETH,  
100275,,,,
100276,,,,
100277,SIDE BACK BAFFLE,CRACKED,& BRACKET RIVETS BROKEN,R/H   
100278,SIDE BACK BAFFLE,CRACKED,& BRACKET RIVETS BROKEN,R/H   
100279,ROCKER COVER,LEAKING,,#1  
100280,AFT BAFFLE,CRACKED,,R/H ENGINE CYL #3  
100281,AFT BAFFLE STIFFENER,CRACKED,,L/H ENGINE CYL #4  
100282,INTAKE,LEAKING,,CYL #2 & 3  
100283,FWD UPPER BAFFLE SEAL,NEEDS,TO BE RESECURED,R/H   
100284,INTAKE,LEAKING,,#1  
100285,ROCKER COVER,LEAKING,, 2 & 3 
100286,INDUCTION TUBE GASKET,LEAKING,,#2  
100287,ROCKER BOX COVER GASKET,LEAKING,,#2 & 3  
100288,,,,
100289,CAP SCREW,MISSING,BAFFLE,  L/H ENG #4
100290,ROCKER COVER,LEAKING,,#4  
100291,ROCKER COVER,LOOSE,SCREWS,ALL   
100292,INTAKE,LEAKING,,R/H ENG #3  
100293,HARDWARE,MISSING,ROCKER COVER,  R/H ENGINE #4
100294,INTAKE GASKET,LEAKING,,#4  
100295,,,,
100296,ROCKER BOX COVER SCREW,LOOSE,,#1 & 3  
100297,INDUCTION TUBE GASKET,LEAKING,,#2 & 4  
100298,SCREWS FOR ROCKER COVER,LOOSE,,ALL   
100299,INTAKE,LEAKING,,#1 & 4  
100300,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),  
100301,BAFFLE MOUNTING SCREW,LOOSE,,R/H REAR   
100302,BAFFLE PLUG,MISSING,,L/H   
100303,INTAKE,LEAKING,,#3  
100304,ENGINE INSPECTION PANEL,MISSING,SCREW,  
100305,ROCKER COVER,LEAKING,,#1  
100306,INTAKE,LEAKING,,CYL #2 & 3  
100307,INTAKE GASKET,LEAKING,,#2  
100308,ROCKER BOX COVER SCREW,LOOSE,,"#2, 3 & 4  "
100309,STARTER RING GEAR,MISSING,TEETH,  
100310,INTAKE GASKET,LEAKING,,#2 & 4  
100311,BOTH BAFFLE PLUG,WORN,,  
100312,ROCKER,LEAKING,,#1  
100313,FWD BAFFLE,MISSING,SCREW,R/H   
100314,OIL PSI SWITCH WIRING GROMMET,MISSING,,  
100315,INTAKE,LEAKING,,#4  
100316,ROCKER COVER,LEAKING,,#2  
100317,ROCKER COVER,LEAKING,, 2 & 3 
100318,,,,
100319,FWD ENGINE BAFFLE,CRACKED,,L/H   
100320,,,,
100321,ROCKER COVER,LEAKING,,#2  
100322,,,,
100323,INTAKE,LEAKING,,R/H ENGINE 2 & 3  
100324,ROCKER COVER,LEAKING,,#3  R/H ENGINE
100325,INTAKE,LEAKING,,"L/H ENGINE  1, 2 & 4 "
100326,INTAKE,LEAKING,,#2  
100327,BAFFLE PLUG,NEEDS,TO BE CHANGED,R/H   
100328,INTAKE,LEAKING,,#3  
100329,BOTTOM BAFFLE WIRE HOLDER,BROKEN,,L/H   
100330,INTAKE GASKET,LEAKING,,#4 CYL   
100331,SPARK PLUG BAFFLE PLUG,WORN,,  
100332,INTAKE,LEAKING,,#2  
100333,ROCKER COVER GASKET,LEAKING,,#3  
100334,ROCKER COVER GASKET,LEAKING,,#2  
100335,,,,
100336,INTAKE GASKET,LEAKING,,R/H ENGINE #4 CYL   
100337,SIDE BAFFLE SEAL,TORN,,R/H ENGINE #1 CYL   
100338,,,,
100339,SIDE BAFFLE,CRACKED,,L/H   
100340,DEFLECTOR BAFFLE,CRACKED,,L/H   
100341,ROCKER COVER,LEAKING,,#2 & 4  
100342,ENGINE BAFFLE BUTTON,WORN,,  
100343,INTAKE GASKET,LEAKING,,#4  
100344,LOWER RIGHT BAFFLE SPRING,BROKEN,,  
100345,BACK BAFFLE BRACKET SCREW,LOOSE,,R/H   
100346,BOTH BAFFLE PLUG,BAD,,  
100347,ROCKER COVER,LEAKING,,#2  
100348,ROCKER COVER,LEAKING,,#3  
100349,BACK BAFFLE SCREW,MISSING,,CYL #3  
100350,,,,
100351,ROCKER BOX COVER SCREW,LOOSE,,L/H ENGINE   
100352,ROCKER BOX COVER SCREW,LOOSE,,R/H ENGINE   
100353,INTAKE GASKET,LEAKS,,R/H ENG #2  
100354,INDUCTION TUBE GASKET,LEAKING,,#4  
100355,ROCKER BOX COVER GASKET,LEAKING,,#2 & 4  
100356,INTAKE GASKET,LEAKING,,#1  
100357,ROCKER COVER,LEAKING,,#4  
100358,INTAKE,LEAKING,,#1  
100359,ENGINE BAFFLE PLUG,MISSING,,  
100360,ROCKER COVER GASKET,LEAKING,,CYL #1  
100361,INTAKE,LEAKING,,#2  
100362,ROCKER COVER,LEAKING,,CYL #2  
100363,INTAKE,LEAKING,,R/H ENGINE #3 & 2  
100364,ROCKER COVER,LEAKING,,R/H ENGINE #3  
100365,INTAKE,LEAKING,,#2 & 3 L/H ENGINE  
100366,INTAKE GASKET,LEAKING,,#2 CYL   
100367,INNER INTAKE PUSH ROD SEAL,LEAKING,,#2 CYLINDER   
100368,ROCKER COVER GASKET,LEAKING,,#2  
100369,ROCKER COVER GASKET,LEAKING,,#3  
100370,FWD PUSH ROD SEAL,LEAKING,@ ENGINE ON #3 CYLINDER,  
100371,BAFFLE,CRACKED,AT SCREW SUPPORT & FWD BAFFLE BELOW #1,CYL #1  
100372,BAFFLE SEAL,LOOSE,(FWD UPPER),R/H   
100373,,,,
100374,,,,
100375,INTAKE,LEAKING,,#2  
100376,HAS VALVE,STICKING,,#3 CYLINDER   
100377,HAS VALVE,STICKING,,#3 CYLINDER   
100378,INTAKE GASKET,LEAKING,,#4 CYL   
100379,INTAKE,LEAKING,,#2  
100380,ROCKER COVER,LEAKING,,"#2, 4  "
100381,INTAKE,LEAKING,,#2 & 3  
100382,AFT BAFFLE,MISSING,SCREW,#3 CYL   
100383,ROCKER COVER,LEAKING,,#4  
100384,,,,
100385,,,,
100386,FWD PUSH ROD TUBE,LEAKING,@ ENGINE,#3  
100387,INTAKE TUBE,LEAKING,AT SUMP CONNECTOR HOSE,CYL #3  
100388,AFT BAFFLE MOUNT RIVET,SHEARED,,CYL #3  
100389,BAFFLE SEAL,NEEDS,TO BE RESECURED,#2 CYL   
100390,INTAKE GASKET,LEAKS,,#3  
100391,SCREW,MISSING,"FOR R/H SIDE OF BAFFLING, BEHIND DIPSTICK",  
100392,SIDE BAFFLE,MISSING,BOLTS,R/H #4  
100393,,,,
100394,INTAKE,LEAKING,,#4  
100395,ROCKER COVER,LEAKING,,#2  
100396,INTAKE,LEAKING,,CYL #2 & 4  
100397,AFT BAFFLE MOUNT,LOOSE,,CYL #3  
100398,,,,
100399,INTAKE,LEAKING,,#4  
100400,,,,
100401,INTAKE,LEAKING,,#2  
100402,INTAKE,LEAKING,,CYL #2 & 4  
100403,OIL RETURN LINE CLAMP,LOOSE,,  
100404,,,,
100405,FUEL INJ LINES STANDOFF,LOOSE,BY OIL FILLER TUBE,#1 & 3 CYL   
100406,INTAKE,LEAKING,,R/H ENGINE #4  
100407,INTAKE,LEAKING,,L/H ENGINE #3  
100408,ROCKER COVER,LEAKING,,L/H ENGINE ALL 4  
100409,ROCKER COVER,LEAKING,,R/H ENGINE ALL 4  
100410,ROCKER OIL RETURN LINE,LEAKING,,R/H ENGINE #2 & 4  
100411,,,,
100412,,,,
100413,,,,
100414,,,,
100415,,,,
100416,,,,
100417,BAFFLE SUPPORT,BROKEN,,R/H REAR ENGINE   
100418,FWD ENGINE BAFFLE,CRACKED,,L/H   
100419,ROCKER COVER GASKET,LEAKING,,#3  
100420,ROCKER COVER GASKET,LEAKING,,#3  
100421,INTAKE,LEAKING,,#3  
100422,ROCKER COVER,LEAKING,,#2  
100423,,,,
100424,,,,
100425,,,,
100426,,,,
100427,ROCKER COVER,LEAKING,,CYL #3  
100428,,,,
100429,,,,
100430,ROCKER COVER,LEAKING,,#2 & 4  
100431,,,,
100432,ROCKER COVER,LEAKING,,#2 & 3  
100433,UPPER BAFFLE,CRACKED,,L/H AFT   
100434,INTAKE GASKET,LEAKING,,#3  
100435,ROCKER COVER,LEAKING,,#2  
100436,ROCKER COVER GASKET,LEAKING,,#1 & 3  
100437,FWD BAFFLE SEAL,TORN,,R/H   
100438,INTAKE,LEAKING,,CYL #2 & 4  
100439,ROCKER COVER GASKET,LEAKING,,#2 CYL   
100440,INTAKE GASKET,LEAKING,,#2 & 4  
100441,INTAKE,LEAKING,, 2 & 4 L/H ENGINE
100442,INTAKE,LEAKING,," 2, 3 & 4 R/H ENGINE"
100443,INDUCTION TUBE GASKET,LEAKING,,#2  
100444,,MISSING,SCREW & NUT ON BAFFLE BY OIL FILL TUBE,L/H ENG  
100445,BAFFLE,CRACKED,BY UPPER #1 BAFFLE ATTACHMENT,R/H ENGINE #3  
100446,INTAKE GASKET,LEAKING,,#2 CYLINDER   
100447,ROCKER COVER GASKET,LEAKING,,#1  
100448,INTAKE,LEAKING,,#3  
100449,BACK TOP BAFFLE,CRACKED,,L/H   
100450,,,,
100451,ROCKER COVER,LEAKING,,#4  
100452,EXT PUSH ROD TUBE SEAL,LEAKING,AT CASE,CYL #3  
100453,,,,
100454,ROCKER BOX COVER GASKET,LEAKING,,#2  
100455,INTAKE,LEAKING,,#4  
100456,INTAKE GASKET,LEAKING,,#4 CYLINDER   
100457,,,,
100458,,,,
100459,INDUCTION TUBE GASKET,LEAKING,,#2  
100460,ROCKER BOX COVER GASKET,LEAKING,,#2  
100461,INTAKE,LEAKING,,#4  
100462,BAFFLE PLUG,NEEDS,TO BE REPLACED,L/H   
100463,INTAKE GASKET,LEAKING,,#2  
100464,BOTTOM BAFFLE WIRE SPRING,BROKEN,,R/H   
100465,AFT BAFFLE BRACKET RIVET,SHEARED,,  
100466,INTAKE GASKET,LEAKING,,R/H ENGINE #3  
100467,INTAKE GASKET,LEAKING,,L/H ENGINE #2  
100468,BAFFLE PLUG,WORN,,#3  
100469,ROCKER COVER,LEAKING,,#1 & 4  
100470,INTAKE,LEAKING,,#4  
100471,BAFFLE,CRACKED,,#4 CYL   
100472,,,,
100473,,COMPRESSION,"LOW COMPRESSION, AROUND 34 PSI",#4 CYL   
100474,,,,
100475,INTAKE,LEAKING,,#1  
100476,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),  
100477,ROCKER COVER GASKET,BROKEN,,#1 & 3  
100478,INTAKE GASKET,LEAKING,,#2  
100479,ROCKER CVOER GASKET,LEAKING,,#2 & 3 CYLINDER   
100480,INTAKE,LEAKING,,#4  
100481,ROCKER COVER,LEAKING,,ALL 4  
100482,INTAKE,LEAKING,,#3  
100483,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),  
100484,ROCKER COVER,LEAKING,,#2  
100485,INTAKE,LEAKING,,L/H ENGINE ALL   
100486,AFT BAFFLE TAB,BROKEN,"RIVETS, NEAR OIL FILLER TUBE",#3  
100487,AFT BAFFLE ATTACH PLATE,BROKEN,,#4  
100488,AFT BAFFLE TAB,BROKEN,"RIVETS, NEAR OIL FILLER TUBE",#3  
100489,ROCKER COVER,LEAKING,,#2  
100490,ROCKER COVER,LEAKING,,#3  
100491,INTAKE,LEAKING,,#2  
100492,COWL BRACKET RIVET,MISSING,,R/H AFT   
100493,ROCKER COVER,LEAKING,,#3 & 4  
100494,INTAKE GASKET,LEAKING,,"#1, 3 & 4  "
100495,INTAKE,LEAKING,," 1, 2, 3 & 4 "
100496,FWD ENGINE BAFFLE,CRACKED,,L/H   
100497,ROCKER COVER GASKET,LEAKING,,#3 CYLINDER   
100498,INTAKE,LEAKING,,#3  
100499,INDUCTION TUBE HOSE CLAMP,LOOSE,,  
100500,,,,
100501,,,,
100502,ROCKER COVER GASKET,LEAKING,,ALL 4  
100503,INTAKE GASKET,LEAKING,,#2 CYL   
100504,INTAKE GASKET,LEAKING,,CYL #4  
100505,INTAKE,LEAKING,,#3  
100506,ROCKER COVER GASKET,LEAKING,,#4  
100507,ROCKER COVER GASKET,LEAKING,,#3  
100508,,,,
100509,ROCKER GASKET,LEAKING,,#2 & 3  
100510,SIDE BAFFLE PLUG,BROKEN,PRONGS,#3 & 4  
100511,ROCKER COVER GASKET,LEAKING,,"#1, 2, 4  "
100512,INTAKE GASKET,LEAKING,,"R/H ENG, 1, 2, 4  "
100513,BAFFLE SPARK PLUG CAP,WORN,OUT,  
100514,INTAKE GASKET,LEAKING,CAUSING CHT & EGT VARIATI,#2 & 4  
100515,ROCKER COVER GASKET,TORN,,#3  
100516,INTAKE,LEAKING,, 2 & 4 
100517,ROCKER COVER,LEAKING,,#1  
100518,INTAKE GASKET,LEAKING,,#4 CYL   
100519,ROCKER COVER GASKET,LEAKING,,CYL #4  
100520,INTAKE PIPE GASKET,LEAKING,,"  CYL #2, 3 & 4"
100521,OIL COOLER BAFFLING,CRACKED,IN LWR I/B CORNER,  
100522,,,,
100523,,,,
100524,OIL RETURN LINE,LEAKING,RUBBER HOSE SECTION,#3 CYLINDER   
100525,INTAKE GASKET,LEAKING,,#2 & 4  
100526,COWL SHOCK MOUNT,TORN,,"#1, 2, 3  "
100527,ROCKER COVER GASKET,LEAKING,,#1 & 3  
100528,ROCKER BOX COVER SCREW,LOOSE,,  
100529,ROCKER BOX COVER SCREW,LOOSE,,  
100530,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),  
100531,BAFFLE,CRACKED,,#1 CYL   
100532,,,,
100533,,,,
100534,,,,
100535,,,,
100536,,,,
100537,,,,
100538,INTAKE,LEAKING,,#3  
100539,ROCKER COVER GASKET,LEAKING,,CYL #4  
100540,INTAKE GASKET,LEAKS,,#1  
100541,ROCKER COVER SCREW,LOOSE,,ALL   
100542,INTAKE GASKET,LEAKING,,#2  
100543,,,,
100544,,,,
100545,,,,
100546,,,,
100547,INTAKE GASKET,LEAKS,,#2  
100548,BAFFLE PLUG,MISSING,ENGINE,  
100549,INTAKE,LEAKING,,#3  R/H ENGINE
100550,INTAKE,LEAKING,,#1 & 2  L/H ENGINE
100551,ROCKER COVER,LEAKING,,#1 & 3  R/H ENGINE
100552,INDUCTION TUBE GASKET,LEAKING,,#2  
100553,ROCKER BOX COVER SCREW,LOOSE,(ALL CYLS),  
100554,,COMPRESSION,NO COMPRESSION,#3 CYLINDER   
100555,,COMPRESSION,NO COMPRESSION,#3 CYLINDER   
