IDENT,LOCATION,PART,TGGEDPROBLEM
100124,#4 CYL,INTAKE GASKET,LEAKING
100125,#3 CYL,BAFFLE,MISSING SCREW
100126,R/H FRONT,BAFFLE SEAL,LOOSE
100127,TOP BACK L/H CORNER,BAFFLE,CRACKED
100128,#2 CYL,INTAKE GASKET,LEAKING
100129,2 & 3,ROCKER COVER GASKETS,LEAKING
100130,ENGINE,,ROUGH
100131,ENGINE,,ROUGH
100132,#1 & 3,INTAKES,LEAKING
100133,#2 & 4,ROCKER COVER,LEAKING
100134,R/H,AFT BAFFLE MOUNT RIVETS,SHEARED
100135,ENGINE,,RUN ROUGH
100136,ENGINE,,WEAR
100137,ENGINE,,WEAR
100138,ENGINE,,WEAR
100139,"L/H ENGINE #2, 3 & 4",INTAKES,LEAKING
100140,L/H ENGINE #3,ROCKER COVER,LEAKING
100141,R/H ENGINE #2 & 4,ROCKER COVERS,LEAKING
100142,R/H ENGINE #3,INTAKE TUBES,LEAKING
100143,L/H,AFT BAFFLE,CRACKED
100144,,ROCKER BOX COVER SCREWS,LOOSE
100145,#2,ROCKER BOX COVER GASKET,LEAKING
100146,#4,ROCKER COVER GASKET,LEAKING
100147,LEFT,BRAKE LININGS,WORN
100148,RIGHT ENG #3,ROCKER COVER,LEAKING
100149,ENGINE,,OVERSPEED
100150,ENGINE,,OVERSPEED
100151,ENGINE,,OVERSPEED
100152,ENGINE,,OVERSPEED
100153,#2,ROCKER COVER GASKET,LEAKING
100154,#2 CYLINDER,,LOW COMPRESSION
100155,#2,ROCKER BOX COVER SCREWS,LOOSE
100156,#3,BAFFLE,PLUG BAD
100157,R/H,,ROUGH
100158,#1 & 3,ROCKER COVERS,LEAKING
100159,R/H,FWD BAFFLE SEAL,LOOSE
100160,ENGINE,,QUIT
100161,R/H,FWD I/B BAFFLE,CRACK
100162,BOTH ENGS,ROCKER COVERS,LOOSE
100163,L/H,,
100164,R/H,,
100165,R/H,,
100166,R/H,,
100167,L/H,,
100168,R/H,,
100169,L/H,,
100170,R/H,,
100171,L/H,,
100172,L/H,,
100173,L/H,,
100174,L/H,,
100175,L/H,,
100176,L/H,,
100177,L/H,,
100178,L/H,,
100179,R/H,,
100180,R/H,,
100181,R/H,,
100182,R/H,,
100183,R/H,,
100184,ENGINE,,
100185,ENGINE,,
100186,ENGINE,,
100187,#2 & 4,INTAKE GASKET,LEAKING
100188,#2,INTAKE,LEAKING
100189,#3,ROCKER COVER,LEAKING
100190,,AFT BAFFLE SCREW,LOOSE
100191,#4,BAFFLE,CRACKED
100192,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100193,#3 CYL,EXHAUST SEAL,LEAKING
100194,#1 & 3,BAFFLE,LOOSE
100195,ENGINE,BAFFLE BUTTONS,WORN
100196,#3,ROCKER COVER,MISSING SCREW
100197,#2 & 4,INTAKES,LEAKING
100198,#2,ROCKER COVER GASKET,LEAKING
100199,ENGINE,,ROUGH
100200,ENGINE,,ROUGH
100201,R/H,,LOOSE
100202,L/H,ROCKER COVER SCREWS,LOOSE
100203,R/H,INTAKE,LEAKING
100204,L/H,INTAKES,LEAKING
100205,R/H,ROCKER COVERS,LEAKING
100206,RIGHT ENG,,ROUGH
100207,RIGHT ENG,,ROUGH
100208,#2,INTAKE,LEAKING
100209,CYL #2,INTAKE GASKET,LEAKING
100210,CYL #2 & 3,ROCKER COVERS,LEAKING
100211,CYL #3,AFT BAFFLE I/B SCREW BRACKET RIVETS,SHEARED
100212,#3,ROCKER COVER,LEAKING
100213,#2 & 4,ROCKER COVER GASKETS,LEAKING
100214,R/H ENGINE #2,INTAKE,LEAKING
100215,L/H ENGINE #4,ROCKER COVER GASKET,LEAKING
100216,R/H,ROCKER COVER GASKETS,SEEPING
100217,R/H REAR,BAFFLE,SCREW MISSING
100218,ALL CYLS,ROCKER BOX COVER SCREWS,LOOSE
100219,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100220,#2,INTAKE,LEAKING
100221,#4,ROCKER COVER,LEAKING
100222,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100223,#2 & 4,ROCKER BOX COVER SCREWS,LOOSE
100224,L/H ENGINE #1,INTAKE,LEAKING
100225,R/H ENGINE #2 & 1,INTAKE,LEAKING
100226,R/H,BAFFLE SEAL,LOOSE
100227,#4,ROCKER COVER,LEAKING
100228,,ROCKER BOX COVER SCREWS,LOOSE
100229,#4,ROCKER GASKET,LEAKING
100230,#2,ROCKER COVER,LEAKING
100231,#4 CYL,,NO COMPRESSION
100232,#4 CYL,,NO COMPRESSION
100233,#3,BAFFLE,SCREW MISSING
100234,#2,ROCKER COVER,LEAKING
100235,,INDUCTION TUBE HOSE CLAMPS,LOOSE
100236,CYL #3,INTAKE,LEAKING
100237,L/H ENG #4,INDUCTION TUBE GASKET,LEAKING
100238,CYL #1,BAFFLE SEAL,LOOSE
100239,"#1, 2 & 3",ROCKER BOX COVERS,LEAKING
100240,R/H ENG #2,INTAKE TUBE GASKET,LEAKING
100241,R/H,ROCKER COVER GASKETS,LEAKING
100242,,AFT BAFFLE BRACKET RIVETS,SHEARED
100243,#3,AFT BAFFLE,WORN
100244,R/H,BAFFLE,CRACK
100245,R/H,BAFFLE,WORN
100246,R/H,BAFFLE,WORN
100247,"2, 3 & 4",ROCKER GASKETS,LEAKING
100248,#3,AFT BAFFLE,CRACKED
100249,#3,AFT BAFFLE,CRACKED
100250,#4,ROCKER COVER,SCREW MISSING
100251,#2,INTAKE,LEAKING
100252,#2 CYLINDER,BRACKET SECURING OIL LINE,BROKEN
100253,ENGINE,,
100254,ENGINE,,
100255,#2,ROCKER COVER GASKET,LEAKING
100256,#2 & 4,ROCKER COVERS,LEAKING
100257,,MP,WON'T GO ANY HIGHER THAN 24
100258,"1, 3 & 4",ROCKER COVER GASKETS,LEAKING
100259,#2 & 4 CYLINDER,ROCKER COVER GASKETS,LEAKING
100260,"#1, 2 & 3",ROCKER BOX COVER SCREWS,LOOSE
100261,#1 & 3,ROCKER COVERS,LEAKING
100262,ALL CYL,ROCKER BOX COVER SCREWS,LOOSE
100263,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100264,#3,INTAKE,LEAKING
100265,#2,INTAKE GASKET,LEAKING
100266,#1 CYL,BAFFLE SEAL, PULLED
100267,#3,ROCKER COVER,LEAKING
100268,L/H,BAFFLE,BROKEN
100269,#2,INDUCTION TUBE HOSE CLAMPS,BROKEN
100270,"#1, 2, 3",INTAKE GASKETS,LEAKING
100271,#4,ROCKER COVER,LEAKING
100272,R/H,BAFFLE,MISSING RIVET
100273,#2 & 4,ROCKER COVERS,LEAKING
100274,,RING GEAR,DAMAGED
100275,#3 CYLINDER,OIL RETURN LINE,CHAFING
100276,#3 CYLINDER,OIL RETURN LINE,CHAFING
100277,R/H SIDE,BAFFLE,BROKEN
100278,R/H SIDE,BAFFLE,BROKEN
100279,#1,ROCKER COVER,LEAKING
100280,CYL #3,AFT BAFFLE,CRACKED
100281,CYL #4,BAFFLE STIFFENER,CRACKED
100282,CYL #2 & 3,INTAKES,LEAKING
100283,R/H,BAFFLE SEAL,
100284,#1,INTAKE,LEAKING
100285,2 & 3,ROCKER COVERS,LEAKING
100286,#2,INDUCTION TUBE GASKET,LEAKING
100287,2 & 3,ROCKER BOX COVER GASKETS,LEAKING
100288,,,LOWERED
100289,L/H ENG #4,BAFFLE,CREW MISSING
100290,#4,ROCKER COVER,LEAKING
100291,,ROCKER COVERS SCREWS,LOOSE
100292,R/H,INTAKE,LEAKING
100293,R/H ENGINE #4,ROCKER COVER,HARDWARE MISSING
100294,#4,INTAKE GASKET,LEAKING
100295,RIGHT ENG #2,ROCKER COVER,LEAKING
100296,#1 & 3,ROCKER BOX COVER SCREWS,LOOSE
100297,#2 & 4,INDUCTION TUBE GASKETS,LEAKING
100298,ALL,ROCKER COVERS SCREWS,LOOSE
100299,#1 & 4,INTAKES,LEAKING
100300,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100301,R/H REAR,BAFFLE MOUNTING SCREW,LOOSE
100302,L/H,BAFFLE PLUG,MISSING
100303,#3,INTAKE,LEAKING
100304,ENGINE,PANEL,MISSING SCREW
100305,#1,ROCKER COVER,LEAKING
100306,CYL #2 & 3,INTAKES,LEAKING
100307,#2,INTAKE GASKET,LEAKING
100308,"2, 3 & 4",ROCKER BOX COVER SCREWS,LOOSE
100309,,STARTER RING GEAR,MISSING TEETH
100310,#2 & 4,INTAKE GASKETS,LEAKING
100311,,BAFFLE PLUGS,WORN
100312,#1,ROCKER,LEAKING
100313,R/H,BAFFLE,MISSING SCREW
100314,,,MISSING
100315,#4,INTAKE,LEAKING
100316,#2,ROCKER COVER,LEAKING
100317,2 & 3,ROCKER COVERS,LEAKING
100318,L/H,BAFFLE,CRACKED
100319,L/H,BAFFLE,CRACKED
100320,L/H & R/H,SPARK PLUG,HOLE
100321,#2,ROCKER COVER,LEAKING
100322,L/H,BAFFLE BLAST TUBE,BLOCKED
100323,2 & 3,INTAKES,LEAKING
100324,R/H,ROCKER COVER,LEAKING
100325,L/H,INTAKES,LEAKING
100326,#2,INTAKE,LEAKING
100327,R/H,BAFFLE PLUG,
100328,#3,INTAKE,LEAKING
100329,L/H,BAFFLE WIRE HOLDER,BROKEN
100330,#4 CYL,INTAKE GASKET,LEAKING
100331,,BAFFLE PLUG,WORN
100332,#2,INTAKE,LEAKING
100333,#3,ROCKER COVER GASKET,LEAKING
100334,#2,ROCKER COVER GASKET,LEAKING
100335,#2 CYL,INTAKE,LEAKING
100336,R/H ENGINE #4,INTAKE GASKET,LEAKING
100337,R/H ENGINE #1,BAFFLE SEAL,TORN
100338,R/H ENGINE #3,AFT BAFFLE SEAL,OUT OF PLACE
100339,L/H SIDE,BAFFLE,CRACKED
100340,L/H,BAFFLE,CRACKED
100341,#2 & 4,ROCKER COVERS,LEAKING
100342,ENGINE,BAFFLE BUTTONS,WORN
100343,#4,INTAKE GASKET,LEAKING
100344,RIGHT,BAFFLE SPRING,BROKEN
100345,R/H,BAFFLE BRACKET SCREWS,LOOSE
100346,BOTH,BAFFLE,PLUGS BAD
100347,#2,ROCKER COVER,LEAKING
100348,#3,ROCKER COVER,LEAKING
100349,CYL #3,BAFFLE,SCREW MISSING
100350,#1 & 3,OIL RETURN LINE,
100351,L/H,ROCKER BOX COVER SCREWS,LOOSE
100352,R/H,ROCKER BOX COVER SCREWS,LOOSE
100353,R/H ENG #2,INTAKE GASKET,LEAKS
100354,#4,INDUCTION TUBE GASKET,LEAKING
100355,#2 & 4,ROCKER BOX COVER GASKETS,LEAKING
100356,#1,INTAKE GASKET,LEAKING
100357,#4,ROCKER COVER,LEAKING
100358,#1,INTAKE,LEAKING
100359,ENGINE,BAFFLE,PLUG MISSING
100360,CYL #1,ROCKER COVER GASKET,LEAKING
100361,#2,INTAKE,LEAKING
100362,CYL #2,ROCKER COVER,LEAKING
100363,R/H ENGINE #3,INTAKES,LEAKING
100364,R/H ENGINE #3,ROCKER COVER,LEAKING
100365,2 & 3,INTAKES,LEAKING
100366,#2 CYL,INTAKE GASKET,LEAKING
100367,#2 CYLINDER,INTAKE PUSH ROD SEAL,LEAKING
100368,#2,ROCKER COVER GASKET,LEAKING
100369,#3,ROCKER COVER GASKET,LEAKING
100370,#3 CYLINDER,PUSH ROD SEAL,LEAKING
100371,CYL #1,BAFFLE,CRACKED
100372,R/H,BAFFLE SEAL,LOOSE
100373,,BAFFLE SEAL,HOLE
100374,,BAFFLE,RUBBING
100375,#2,INTAKE,LEAKING
100376,#3 CYLINDER,VALVE,STICKING
100377,#3 CYLINDER,VALVE,STICKING
100378,#4 CYL,INTAKE GASKET,LEAKING
100379,#2,INTAKE,LEAKING
100380,"#2, 4",ROCKER COVER,LEAKING
100381,2 & 3,INTAKES,LEAKING
100382,#3 CYL,AFT BAFFLE,MISSING SCREW
100383,#4,ROCKER COVER,LEAKING
100384,ENGINE,,ROUGH
100385,ENGINE,,ROUGH
100386,#3,PUSH ROD TUBE,LEAKING
100387,CYL #3,INTAKE TUBE,LEAKING
100388,CYL #3,BAFFLE MOUNT RIVETS,SHEARED
100389,#2 CYL,BAFFLE SEAL,
100390,#3,INTAKE GASKET,LEAKS
100391,R/H SIDE,BAFFLING,SCREW MISSING
100392,R/H #4 SIDE,BAFFLE,MISSING BOLTS
100393,LEFT ENGINE #3,BAFFLE,
100394,#4,INTAKE,LEAKING
100395,#2,ROCKER COVER,LEAKING
100396,CYL #2 & 4,INTAKES,LEAKING
100397,CYL #3,BAFFLE MOUNT,LOOSE
100398,#3,ROCKER COVER,OLD GASKET
100399,#4,INTAKE,LEAKING
100400,,,VIBRATIONS
100401,#2,INTAKE,LEAKING
100402,CYL #2 & 4,INTAKES,LEAKING
100403,,OIL RETURN LINE CLAMPS,LOOSE
100404,CYL #2,CABLE SAFETY BAFFLE BOLTS,LOOSE
100405,#1 & 3 CYL,FUEL INJ LINES STANDOFF,LOOSE
100406,R/H ENGINE #4,INTAKE,LEAKING
100407,L/H ENGINE #3,INTAKE,LEAKING
100408,L/H ENGINE ALL 4,ROCKER COVERS,LEAKING
100409,R/H ENGINE ALL 4,ROCKER COVERS,LEAKING
100410,R/H ENGINE #2 & 4,ROCKER OIL RETURN LINES,LEAKING
100411,L/H ENGINE,TORQUEMETER HOSES,
100412,R/H ENGINE,TORQUEMETER HOSES,
100413,L/H ENGINE,TORQUEMETER HOSES,
100414,R/H ENGINE,TORQUEMETER HOSES,
100415,L/H ENGINE,TORQUEMETER HOSES,
100416,R/H ENGINE,TORQUEMETER HOSES,
100417,R/H REAR ENGINE,BAFFLE,BROKEN
100418,L/H FWD ENGINE,BAFFLE,CRACKED
100419,#3,ROCKER COVER GASKET,LEAKING
100420,#3,ROCKER COVER GASKET,LEAKING
100421,#3,INTAKE,LEAKING
100422,#2,ROCKER COVER,LEAKING
100423,ENGINE,,TIMED OUT
100424,ENGINE,,TIMED OUT
100425,ENGINE,,TIMED OUT
100426,ENGINE,,TIMED OUT
100427,CYL #3,ROCKER COVER,LEAKING
100428,L/H UPPER FOR CYL #4 ,BAFFLE PLUG HOLE,ENLARGED
100429,R/H INNER CYL,BAFFLE TIE ROD,INSTALLED INCORRECTLY
100430,#2 & 4,ROCKER COVERS,LEAKING
100431,R/H SIDE,BAFFLE,CRACKED
100432,2 & 3,ROCKER COVERS,LEAKING
100433,L/H AFT UPPER,BAFFLE,CRACKED
100434,#3,INTAKE GASKET,LEAKING
100435,#2,ROCKER COVER,LEAKING
100436,#1 & 3,ROCKER COVER GASKETS,LEAKING
100437,R/H,BAFFLE SEAL,TORN
100438,CYL #2 & 4,INTAKES,LEAKING
100439,#2 CYL,ROCKER COVER GASKET,LEAKING
100440,#2 & 4,INTAKE GASKETS,LEAKING
100441,2 & 4 ON L/H ENGINE,INTAKES,LEAKING
100442,"2, 3 & 4",INTAKES,LEAKING
100443,#2,INDUCTION TUBE GASKET,LEAKING
100444,L/H ENGINE,BAFFLE,MISSING SCREW
100445,R/H ENGINE #3,BAFFLE,CRACKED
100446,#2 CYLINDER,INTAKE GASKET,LEAKING
100447,#1,ROCKER COVER GASKET,LEAKING
100448,#3,INTAKE,LEAKING
100449,L/H BACK TOP,BAFFLE,CRACKED
100450,ENGINE,,NO RISE IN RPM
100451,#4,ROCKER COVER,LEAKING
100452,CYL #3,ROD TUBE SEAL,LEAKING
100453,,A/C,
100454,#2,ROCKER BOX COVER GASKET,LEAKING
100455,#4,INTAKE,LEAKING
100456,#4 CYLINDER,INTAKE GASKET,LEAKING
100457,ENGINE,,VIBRATIONS
100458,,,NO RISE
100459,#2,INDUCTION TUBE GASKET,LEAKING
100460,#2,ROCKER BOX COVER GASKET,LEAKING
100461,#4,INTAKE,LEAKING
100462,L/H,BAFFLE PLUG,
100463,#2,INTAKE GASKET,LEAKING
100464,R/H BOTTOM,BAFFLE WIRE SPRING,BROKEN
100465,,AFT BAFFLE BRACKET,SHEARED
100466,R/H ENGINE #3,INTAKE GASKET,LEAKING
100467,L/H ENGINE #2,INTAKE GASKET,LEAKING
100468,#3,BAFFLE PLUG,WORN
100469,#1 & 4,ROCKER COVERS,LEAKING
100470,#4,INTAKE,LEAKING
100471,#4 CYL,BAFFLE,CRACKED
100472,#2 CYL,ROD TUBE,DENT
100473,#4 CYL,,LOW COMPRESSION
100474,#2 CYL,ROD TUBE,DENT
100475,#1,INTAKE,LEAKING
100476,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100477,#1 & 3,ROCKER COVER GASKETS,BROKEN
100478,#2,INTAKE GASKET,LEAKING
100479,#2 & 3 CYLINDER,ROCKER CVOER GASKET,LEAKING
100480,#4,INTAKE,LEAKING
100481,ALL 4,ROCKER COVERS,LEAKING
100482,#3,INTAKE,LEAKING
100483,ALL CYLS,INDUCTION TUBE HOSE CLAMPS,LOOSE
100484,#2,ROCKER COVER,LEAKING
100485,L/H ENGINE,INTAKES,LEAKING
100486,#3,BAFFLE TAB,BROKEN
100487,#4,BAFFLE ATTACH PLATE,BROKEN
100488,#3,BAFFLE TAB,BROKEN
100489,#2,ROCKER COVER,LEAKING
100490,#3,ROCKER COVER,LEAKING
100491,#2,INTAKE,LEAKING
100492,R/H,COWL BRACKET,RIVET MISSING
100493,#3 & 4,ROCKER COVERS,LEAKING
100494,"#1, 3 & 4",INTAKE GASKETS,LEAKING
100495,"1, 2, 3 & 4",INTAKES,LEAKING
100496,L/H FWD ENGINE,BAFFLE,CRACKED
100497,#3 CYLINDER,ROCKER COVER GASKET,LEAKING
100498,#3,INTAKE,LEAKING
100499,,INDUCTION TUBE HOSE CLAMPS,LOOSE
100500,,"AFT L/H, BAFFLE",CRACKED
100501,L/H,BAFFLE,CRACKED
100502,ALL 4,ROCKER COVER GASKETS,LEAKING
100503,#2 CYL,INTAKE GASKET,LEAKING
100504,CYL #4,INTAKE GASKET,LEAKING
100505,#3,INTAKE,LEAKING
100506,#4,ROCKER COVER GASKET,LEAKING
100507,#3,ROCKER COVER GASKET,LEAKING
100508,LEFT ENG #2,INTAKE GASKET,LEAKS
100509,2 & 3,ROCKER GASKETS,LEAKING
100510,#3 & 4 SIDE,BAFFLE PLUGS,
100511,"#1, 2, 4",ROCKER COVER GASKETS,LEAKING
100512,R/H,INTAKE GASKETS,LEAKING
100513,,BAFFLE SPARK PLUG CAPS,WORN
100514,#2 & 4,INTAKE GASKETS,"LEAKING, CAUSING, VARIATI"
100515,#3,ROCKER COVER GASKET,TORN
100516,,INTAKES,LEAKING
100517,#1,ROCKER COVER,LEAKING
100518,#4 CYL,INTAKE GASKET,LEAKING
100519,CYL #4,ROCKER COVER GASKET,LEAKING
100520,"CYL #2, 3 & 4",INTAKE PIPE GASKET,LEAKING
100521,,BAFFLING,CRACKED
100522,R/H SIDE,AFT BAFFLE,CRACKED
100523,,BATTERY,DISCHARGE
100524,#3 CYLINDER,OIL RETURN LINE,"LEAKING, SECTION"
100525,#2 & 4,INTAKE GASKET,LEAKING
100526,"#1, 2, 3",,TORN
100527,#1 & 3,ROCKER COVER GASKETS,LEAKING
100528,,ROCKER BOX COVER SCREWS,LOOSE
100529,,ROCKER BOX COVER SCREWS,LOOSE
100530,ALL CYL,INDUCTION TUBE HOSE CLAMPS,LOOSE
100531,#1 CYL,BAFFLE,CRACKED
100532,,FLITTER TUBE,FRETTING
100533,,FLITTER TUBE,FRETTING
100534,,,CRACKS
100535,,,CRACKS
100536,,,CRACKS
100537,,,CRACKS
100538,#3,INTAKE,LEAKING
100539,CYL #4,ROCKER COVER GASKET,LEAKING
100540,#1,INTAKE GASKET,LEAKS
100541,,ROCKER COVER SCREWS,LOOSE
100542,#2,INTAKE GASKET,LEAKING
100543,#2 CYL,,
100544,#2 CYL,,
100545,#2 CYL,,
100546,#2 CYL,,
100547,#2,INTAKE GASKET,LEAKS
100548,ENGINE,BAFFLE PLUG,MISSING
100549,"#3, R/H",INTAKE,LEAKING
100550,"#1 & 2, L/H",INTAKES,LEAKING
100551,"#1 & 3, R/H",ROCKER COVERS,LEAKING
100552,#2,INDUCTION TUBE GASKET,LEAKING
100553,ALL CYLS,ROCKER BOX COVER SCREWS,LOOSE
100554,#3 CYLINDER,,NO COMPRESSION
100555,#3 CYLINDER,,NO COMPRESSION
100556,#3 CYLINDER,,NO COMPRESSION
100557,L/H ENGINE O/B,BAFFLE ROD,BROKEN
100558,"#3 & 4, R/H",INTAKES,LEAKING
100559,"#1, 2, 3 & 4",INTAKES,LEAKING
100560,,ROCKER COVERS,LEAKING
100561,"#2 & 4, R/H",ROCKER COVERS,LEAKING
100562,#4,INTAKE,LEAKING
100563,#2,ROCKER COVER,LEAKING
100564,#3,INTAKE,LEAKING
100565,CYL #3,INTAKE TUBE GASKET,LEAKING
100566,CYL #1,OIL RETURN LINE,CHAFING
100567,R/H,,LOOSE
100568,ENGINE,BAFFLE,BROKEN
100569,#4,INTAKE GASKET,LEAKING
100570,#2 & 4,ROCKER COVER GASKETS,LEAKING
100571,R/H ENG #2,INTAKE,LEAKS
100572,L/H ENG #2,INTAKE,LEAKS
100573,,,LOOSE
100574,"#1, 2 & 4",INTAKES,LEAKING
100575,#2 & 4,ROCKER COVERS,LEAKING
100576,L/H REAR,BAFFLE,CRACKED
100577,"2, 3",ROCKER COVER GASKETS,LEAKING
100578,#4 CYL,ROCKER DRAIN LINE CLAMP,"LOOSE, LEAKS"
100579,#1 & 3 CYL,BAFFLE BOLT SAFETIES,LOOSE
100580,#1 & 3,INTAKE GASKETS,LEAKING
100581,#3,INTAKE GASKET,LEAKING
100582,#4,ROCKER COVER GASKET,LEAKING
