id,engine,cylinders,part,problem,details
100142,R,"[3, 4]",INTAKE TUBES,LEAKING,ARE
100143,L,[],LEFT AFT BAFFLE ANGLE BRACKET,CRACKED,
100144,,[],ROCKER BOX COVER SCREWS,LOOSE,
100145,,[2],ROCKER BOX COVER GASKET,LEAKING,
100146,,[4],ROCKER COVER GASKET,LEAKING,
100147,,[],LEFT BRAKE LININGS,WORN,OUT
100148,R,[3],ROCKER COVER,LEAKING,
100149,,[],,OVERSPEED,UP TO 3400 RPM @ TERMINATION OF AN AUTO
100150,,[],,OVERSPEED,UP TO 3400 RPM @ TERMINATION OF AN AUTO
100161,R,[],FWD I/B BAFFLE,CRACK,SMALL
100162,,[],ROCKER COVERS,LOOSE,ALL
100163,L,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100164,R,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100165,R,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100166,R,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100167,L,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100168,R,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100169,L,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100170,R,[],,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100181,R,,ENGINE,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100182,R,,ENGINE,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100183,R,,ENGINE,NEEDS,TO BE REMOVED TO FACILITATE REPAIR
100184,,,ENGINE,REMOVE,TO FACILITATE FIREWALL REPAIR
100185,,,ENGINE,REINSTALL,AFTER REPAIR TO FIREWALL
100186,,,ENGINE,REINSTALL,AFTER REPAIR TO FIREWALL
100187,,"[2, 4]",INTAKE GASKET,LEAKING,
100188,,[2],INTAKE,LEAKING,
100189,,[3],ROCKER COVER,LEAKING,
100190,,,AFT BAFFLE,SCREW LOOSE,
100201,R,,IGN LEAD,LOOSE,ON SCAT TUBING
100202,L,,ROCKER COVER SCREWS,LOOSE,
100203,R,[2],INTAKE,LEAKING,
100204,L,"[2, 4]",INTAKES,LEAKING,
100205,R,"[2, 4]",ROCKER COVERS,LEAKING,
100206,R,,,ROUGH,
100207,R,,,ROUGH,
100208,R,[2],INTAKE,LEAKING,
100209,,[2],INTAKE GASKET,LEAKING,
100210,,"[2, 3]",ROCKER COVERS,LEAKING,
100221,,[],ROCKER COVER,LEAKING,
100222,,[],INDUCTION TUBE HOSE CLAMPS,LOOSE,ALL CYL
100223,,"[2, 4]",ROCKER BOX COVER SCREWS,LOOSE,
100224,L,[1],INTAKE,LEAKING,
100225,R,"[2, 1]",INTAKE,LEAKING,
100226,R,[],FWD UPPER BAFFLE SEAL,LOOSE,
100227,,[],ROCKER COVER,LEAKING,
100228,,[],ROCKER BOX COVER SCREWS,LOOSE,
100229,,[],ROCKER GASKET,LEAKING,
100230,,[],ROCKER COVER,LEAKING,
100241,R,,ROCKER COVER,LEAKING,GASKETS
100242,,,AFT BAFFLE BRACKET,SHEARED,
100243,,[3],AFT BAFFLE,WORN,THROUGH AT I/B CYLINDER WRAP
100244,R,,BAFFLE,CRACK,BY SCREW
100245,R,,BAFFLE,WORN,THROUGH FROM MUFFLER SHROUD
100246,R,,BAFFLE,WORN,THROUGH FROM MUFFLER SHROUD
100247,,"[2, 3, 4]",ROCKER GASKETS,LEAKING,
100248,,[3],AFT BAFFLE,CRACKED,IN SEVERAL PLACES
100249,,[3],AFT BAFFLE,CRACKED,IN SEVERAL PLACES
100250,,[4],ROCKER COVER,MISSING,SCREW
100261,,"[1, 3]",ROCKER COVERS,LEAKING,
100262,,,ROCKER BOX COVER SCREWS,LOOSE,ALL CYL
100263,,,INDUCTION TUBE HOSE CLAMPS,LOOSE,ALL CYL
100264,,[3],INTAKE,LEAKING,AT CLAMP
100265,,[2],INTAKE GASKET,LEAKING,
100266,,[1],RIVET PULLED THROUGH BAFFLE SEAL,DAMAGE,#1 CYL
100267,,[3],ROCKER COVER,LEAKING,
100268,L,,ENGINE I/B BAFFLE INTERCONNECT ROD,BROKEN,
100269,,[2],INDUCTION TUBE HOSE CLAMP,BROKEN,
100270,,"[1, 2, 3]",CYLINDER INTAKE GASKETS,LEAKING,
100281,L,[4],AFT BAFFLE STIFFENER,CRACKED,IS
100282,,"[2, 3]",INTAKES,LEAKING,
100283,R,,FWD UPPER BAFFLE SEAL,NEEDS,TO BE RESECURED
100284,,[1],INTAKE,LEAKING,
100285,,"[2, 3]",ROCKER COVERS,LEAKING,
100286,,,INDUCTION TUBE GASKET,LEAKING,
100287,,"[2, 3]",ROCKER BOX COVER GASKETS,LEAKING,
100288,,,,DURING,
100289,L,[4],BAFFLE,MISSING,CAP SCREW
100290,,[4],ROCKER COVER,LEAKING,
100301,R,,REAR BAFFLE,LOOSE,MOUNTING SCREW
100302,L,,BAFFLE,MISSING,PLUG
100303,,[3],INTAKE,LEAKING,
100304,,,ENGINE INSPECTION PANEL,MISSING SCREW,
100305,,[1],ROCKER COVER,LEAKING,
100306,,"[2, 3]",INTAKES,LEAKING,
100307,,[2],INTAKE GASKET,LEAKING,
100308,,"[2, 3, 4]",ROCKER BOX COVER,LOOSE,SCREWS
100309,,,STARTER RING GEAR,MISSING TEETH,
100310,,"[2, 4]",INTAKE GASKETS,LEAKING,
100321,,,ROCKER COVER,LEAKING,
100322,L,,ENGINE BAFFLE,BLOCKED,BLAST TUBE
100323,R,"[2, 3]",,LEAKING,INTAKES
100324,R,[3],ROCKER COVER,LEAKING,
100325,L,"[1, 2, 4]",,LEAKING,INTAKES
100326,,[2],INTAKE,LEAKING,
100327,R,,BAFFLE PLUG,NEEDS,CHANGED
100328,,[3],INTAKE,LEAKING,
100329,L,,BOTTOM BAFFLE WIRE HOLDER,BROKEN,
100330,,[4],CYL INTAKE GASKET,LEAKING,
100341,,"[2, 4]",ROCKER COVERS,LEAKING,
100342,,,ENGINE BAFFLE BUTTONS,WORN,
100343,,[4],INTAKE GASKET,LEAKING,
100344,,,LOWER RIGHT BAFFLE SPRING,BROKEN,
100345,R,,BACK BAFFLE BRACKET,LOOSE,
100346,,,BAFFLE PLUGS,BAD,BOTH
100347,,[2],ROCKER COVER,LEAKING,
100348,,[3],ROCKER COVER,LEAKING,
100349,,[3],BACK BAFFLE SCREW,MISSING,
100350,,"[1, 3]",ROCKER OIL RETURN LINES,REQUIRES,SPIRAL WRAP
100361,,[2],INTAKE,LEAKING,IS
100362,,[2],ROCKER COVER,LEAKING,
100363,R,"[3, 2]",INTAKES,LEAKING,
100364,R,[3],ROCKER COVER,LEAKING,
100365,L,"[2, 3]",INTAKES,LEAKING,ON
100366,,[2],INTAKE GASKET,LEAKING,
100367,,[2],INNER INTAKE PUSH ROD SEAL,LEAKING,
100368,,[2],ROCKER COVER GASKET,LEAKING,
100369,,[3],ROCKER COVER GASKET,LEAKING,
100370,,[3],FWD PUSH ROD SEAL,LEAKING,@ ENGINE ON
100381,,"[2, 3]",INTAKES,LEAKING,
100382,,[3],AFT BAFFLE,MISSING,SCREW
100383,,[4],ROCKER COVER,LEAKING,
100384,,,,ROUGH,SUSPECT STUCK VALVE
100385,,,,ROUGH,SUSPECT STUCK VALVE
100386,,[3],PUSH ROD TUBE,LEAKING,@ ENGINE
100387,,[3],INTAKE TUBE,LEAKING,AT SUMP CONNECTOR HOSE
100388,,[3],AFT BAFFLE MOUNT,SHEARED,RIVETS
100389,,[2],BAFFLE SEAL,NEEDS,TO BE RESECURED
100390,,[3],INTAKE GASKET,LEAKS,
100401,,[2],INTAKE,LEAKING,
100402,,"[2, 4]",INTAKES,LEAKING,
100403,,,OIL RETURN LINE CLAMPS,LOOSE,
100404,,[2],SAFETY BAFFLE BOLTS,LOOSE,
100405,,"[1, 3]",FUEL INJ LINES STANDOFF,LOOSE,BY OIL FILLER TUBE
100406,R,[4],INTAKE,LEAKING,
100407,L,[3],INTAKE,LEAKING,
100408,L,,ROCKER COVERS,LEAKING,
100409,R,,ROCKER COVERS,LEAKING,
100410,R,"[2, 4]",ROCKER OIL RETURN LINES,LEAKING,
100421,,[],INTAKE,LEAKING,
100422,,[],ROCKER COVER,LEAKING,
100423,,[],,TIMED,OUT
100424,,[],,TIMED,OUT
100425,,[],,TIMED,OUT
100426,,[],,TIMED,OUT
100427,,[3],ROCKER COVER,LEAKING,
100428,R,[4],UPPER BAFFLE,ENLARGED,
100429,R,[],INNER CYL BAFFLE TIE ROD,INSTALLED,INCORRECTLY
100430,,"[2, 4]",ROCKER COVERS,LEAKING,
100441,L,"[2, 4]",INTAKES,LEAKING,ON L/H ENGINE
100442,R,"[2, 3, 4]",INTAKES,LEAKING,ON R/H ENGINE
100443,,,INDUCTION TUBE GASKET,LEAKING,
100444,L,,BAFFLE,MISSING,SCREW & NUT ON BAFFLE BY OIL FILL TUBE
100445,R,[3],#3 BAFFLE,CRACKED,BY UPPER #1 BAFFLE ATTACHMENT
100446,,[2],#2 CYLINDER INTAKE GASKET,LEAKING,
100447,,,#1 ROCKER COVER GASKET,LEAKING,
100448,,[3],#3 INTAKE,LEAKING,
100449,L,,BACK TOP BAFFLE,CRACKED,
100450,,,,IDLE,
100461,,[4],INTAKE,LEAKING,
100462,L,,BAFFLE PLUG,NEEDS,TO BE REPLACED
100463,,[2],INTAKE GASKET,LEAKING,
100464,R,[1],BOTTOM BAFFLE WIRE SPRING,BROKEN,
100465,,,AFT BAFFLE BRACKET,SHEARED,RIVETS
100466,R,[3],INTAKE GASKET,LEAKING,
100467,L,[2],INTAKE GASKET,LEAKING,
100468,,[3],BAFFLE PLUG,WORN,
100469,,"[1, 4]",ROCKER COVERS,LEAKING,
100470,,[4],INTAKE,LEAKING,
100481,,,ROCKER COVERS,LEAKING,
100482,,[3],INTAKE,LEAKING,
100483,,,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYLS)
100484,,[2],ROCKER COVER,LEAKING,
100485,L,,INTAKES,LEAKING,
100486,L,[3],AFT BAFFLE,BROKEN,"TAB HAS BROKEN RIVETS, NEAR OIL FILLER TUBE"
100487,,[4],AFT BAFFLE ATTACH PLATE,BROKEN,
100488,,[3],AFT BAFFLE,BROKEN,"TAB HAS BROKEN RIVETS, NEAR OIL FILLER TUBE"
100489,,[2],ROCKER COVER,LEAKING,
100490,,[3],ROCKER COVER,LEAKING,
100501,L,,ENGINE BAFFLE,CRACKED,
100502,,,ROCKER COVER GASKETS,LEAKING,
100503,,[2],INTAKE GASKET,LEAKING,
100504,,[4],INTAKE GASKET,LEAKING,
100505,,[3],INTAKE,LEAKING,
100506,,[4],ROCKER COVER GASKET,LEAKING,
100507,,[3],ROCKER COVER GASKET,LEAKING,
100508,L,[2],INTAKE GASKET,LEAKS,
100509,,"[2, 3]",ROCKER GASKETS,LEAKING,
100510,,"[3, 4]",SIDE BAFFLE PLUGS,BROKEN,
100521,L,[1],OIL COOLER BAFFLING,CRACKED,IN LWR I/B CORNER
100522,R,,AFT BAFFLE,CRACKED,PAST STOP DRILLED HOLES
100523,,,,DISCHARGE,BATTERY STILL SHOWING
100524,,[3],OIL RETURN LINE,LEAKING,ON RUBBER HOSE SECTION
100525,,"[2, 4]",INTAKE GASKET,LEAKING,
100526,,"[1, 2, 3]",COWL SHOCK MOUNTS,TORN,
100527,,"[1, 3]",ROCKER COVER,LEAKING,GASKETS
100528,,,ROCKER BOX COVER,LOOSE,SCREWS
100529,,,ROCKER BOX COVER,LOOSE,SCREWS
100530,,,INDUCTION TUBE HOSE CLAMPS,LOOSE,(ALL CYL)
100541,,,ROCKER COVER,LOOSE,ARE
100542,,[2],INTAKE GASKET,LEAKING,
100543,,[2],,MISSING,ON RUN UP (RUNS ROUGH)
100544,,[2],,MISSING,ON RUN UP (RUNS ROUGH)
100545,,[2],,MISSING,ON RUN UP (RUNS ROUGH)
100546,,[2],,MISSING,ON RUN UP (RUNS ROUGH)
100547,,[2],INTAKE GASKET,LEAKS,
100548,ENGINE,,BAFFLE PLUG,MISSING,
100549,,[3],INTAKE,LEAKING,ON R/H ENGINE
100550,,"[1, 2]",INTAKES,LEAKING,ON L/H ENGINE
100561,R,"[2, 4]",ROCKER COVERS,LEAKING,ON R/H ENGINE
100562,,[4],INTAKE,LEAKING,
100563,,[2],ROCKER COVER,LEAKING,
100564,,[3],INTAKE,LEAKING,
100565,,[3],INTAKE TUBE GASKET,LEAKING,
100566,,[1],OIL RETURN LINE,CHAFING,
100567,R,,OIL FILL TUBE,LOOSE,
100568,,,ENGINE BAFFLE,BROKEN,PLUG TABS
100569,,[4],INTAKE GASKET,LEAKING,
100570,,"[2, 4]",ROCKER COVER GASKETS,LEAKING,
100581,,,INTAKE GASKET,LEAKING,
100582,,,ROCKER COVER GASKET,LEAKING,
100583,,,INTAKE GASKET,LEAKING,
100584,,,ROCKER COVER GASKET,LEAKING,
100585,,[1],FRONT BAFFLE,CRACKED,
100586,,,ROCKER COVERS,LOOSE,
100587,,[4],CYLINDER INTAKE TUBE GASKET,LEAKING,
100588,R,[1],INTAKE,LEAKING,
100589,L,"[2, 3, 4]",INTAKE,LEAKING,
100590,,,INTAKE,LEAKING,
100601,,[],ROCKER COVER GASKET,LEAKING,
100602,,[],ROCKER COVER GASKET,LEAKING,
100603,,[],THROTTLE LINKAGE DOG BONE,LOOSE,BEARING
100604,,[],INTAKE,LEAKING,
100605,L,[3],INTAKE GASKET,LEAKING,
100606,L,"[1, 2, 3, 4]",ROCKER GASKETS,LEAKING,
100607,R,"[1, 3, 4]",INTAKE GASKETS,LEAKING,
100608,,[],BAFFLE,CRACK,CORNER
100609,,[2],ROCKER COVER,LEAKING,
100610,,"[2, 3]",INTAKES,LEAKING,
100621,R,[],ENGINE BAFFLE,BROKEN,RIVETS
100622,,[3],INTAKE,LEAKING,
100623,,[],ROCKER BOX COVER,LOOSE,SCREWS
100624,,[4],INDUCTION TUBE,LEAKING,GASKET
100625,,[2],INTAKE,LEAKING,GASKET
100626,,[1],INTAKE,LEAKING,
100627,,[1],ROCKER,LEAKING,GASKET
100628,,"[2, 4]",BAFFLE PLUGS,BROKEN,SEVERAL BROKEN PRONGS
100629,,[2],INTAKE,LEAKS,GASKET
100630,,[2],ROCKER COVER GASKET,LEAKING,CYL #2
100641,R,"[2, 4]",INDUCTION TUBE GASKETS,LEAKING,
100642,L,"[2, 3, 4]",INDUCTION TUBE GASKETS,LEAKING,
100643,L,,ROCKER BOX COVER GASKETS,LEAKING,
100644,,[1],ENG BAFFLING,CRACKED,"R/H SIDE, ABOVE #1 CYLINDER"
100645,,,FIREWALL,CRACKED,BY BATTERY BOX
100646,,[1],ENG BAFFLING,CRACKED,"R/H SIDE, ABOVE #1 CYLINDER"
100647,,[2],INTAKE,LEAKING,
100648,,"[2, 4]",INTAKE GASKETS,LEAKING,
100649,,"[2, 4]",ROCKER GASKETS,LEAKING,
100650,,[3],EXHAUST I/B PUSH ROD SEAL,LEAKING,
100661,,,FWD BAFFLE,WORN,THROUGH
100662,,,INTAKE GASKET,LEAKING,
100663,R,,BACK BAFFLE,MISSING,
100664,,,INTAKE GASKET,LEAKING,
100665,,"[1, 3]",ROCKER COVER GASKETS,LEAKING,
100666,R,"[2, 3]",INDUCTION,LEAKING,
100667,,"[3, 4]",ROCKER COVER GASKETS,BROKEN,
100668,,[3],ROCKER COVER GASKET,TORN,
100669,,"[1, 3, 4]",ROCKER COVER GASKETS,TORN,
100670,,,,,COULDN'T REMOVE DIPSTICK
100681,,[4],ROCKER COVER GASKET,LEAKING,
100682,,,ROCKER BOX COVER SCREWS,LOOSE,
100683,,[2],ROCKER BOX COVER GASKET,LEAKS,
100684,,"[1, 3]",CYLINDER LOWER BAFFLE,CRACKED,
100685,,[1],INTAKE TUBE,CANNED,
100686,L,[2],INTAKE GASKET,LEAKING,
100687,R,"[2, 3]",INTAKES,LEAKING,
100688,R,[3],ROCKER COVER GASKET,LEAKING,
100689,R,[2],ROCKER COVER GASKET,SPLIT,
100690,R,[4],INDUCATION TUBE GASKET,LEAKING,
100701,,[2],INTAKE GASKET,LEAKING,
100702,L,"[2, 3, 4]",INTAKES,LEAKING,
100703,,,BAFFLE SEALS,NEED,
100704,R,"[2, 3, 4]",INTAKES,LEAKING,
100705,,[2],INTAKE,LEAKING,
100706,,[2],ROCKER COVER,LEAKING,
100707,,[2],INTAKE,LEAKING,
100708,R,,COWL SEAL,LOOSE,
100709,R,,AFT BAFFLE,MISSING,HARDWARE
100710,R,,AFT BAFFLE,MISSING,HARDWARE
100721,R,[],BAFFLE BRACKET,SHEARED,RIVETS
100722,,[],INTAKE,LEAKING,
100723,R,[],BAFFLE BACK BRACKET,SHEARED OFF,RIVET HEAD
100724,,[],AFT BAFFLE BRACKET,MISSING,SCREW
100725,,[3],BAFFLE,MISSING,SCREW
100726,,[1],BAFFLE,CRACKED,
100727,,[],BAFFLE PLUGS,WORN OUT,
100728,,[],FUEL LINE,NEEDED,STAND OFF
100729,R,[],BAFFLE,MISSING RIVET,ON AFT SUPPORT BRACKET
100730,R,[4],INTAKE GASKET,LEAKING,
100741,,,,START,
100742,R,"[3, 4]",INTAKE,LEAKING,ON R/H ENGINE
100743,L,"[3, 4]",INTAKES,LEAKING,ON L/H ENGINE
100744,R,,ENGINE BAFFLE,MISSING,HARDWARE
100745,L,,FRONT BAFFLE,CRACK,
100746,R,,BACK BAFFLE,CRACK,BRACKET IS MISSING A RIVET
100747,,[4],INTAKE GASKET,LEAKING,
100748,,[2],INTAKE GASKET,LEAKING,
100749,L,[4],AFT BAFFLE,CRACKED,
100750,L,[2],SIDE BAFFLE SEAL,TORN,
100761,L,[3],INTAKE,LEAKING,ON L/H ENG
100762,,,,ROUGH,CLIMB OUT 1 OR BOTH ENGINES RAN VERY
100763,,"[2, 4]",INTAKES,LEAKING,
100764,,,ENGINE HOIST LOOP,LOOSE,FWD
100765,,[2],INTAKE GASKET,LEAKING,
100766,,"[1, 2, 3, 4]",ROCKER COVER GASKETS,LEAKING,
100767,,,OIL COOLER,NEEDS,TO BE REPLACED
100768,,[2],INDUCTION TUBE HOSE CLAMP,BROKEN,
100769,,"[2, 4]",ROCKER COVER GASKETS,LEAKING,
100770,R,[3],INDUCTION TUBE GASKET,LEAKING,
100781,,[],ROCKER COVER GASKET,LEAKING,
100782,L,[2],INTAKE,LEAKING,
100783,R,[2],INTAKE,LEAKING,
100784,,[1],BAFFLE,CRACKED,
100785,R,[],ENGINE BAFFLE,CRACKED,
100786,,[],BATTERY & ENGINE OVERBOARD VENT TUBES,CHAFED,
100787,,[],ROCKER COVER SCREWS,LOOSE,
100788,L,[3],ROCKER SHAFT PLUG,WORN,
100789,R,[3],INTAKE,LEAKING,
100790,L,[3],ROCKER COVER GASKET,LEAKING,
100801,,"[2, 3]",ROCKER COVER GASKETS,LEAKING,
100802,L,,ENGINE BAFFLE,CRACKED,
100803,,,EGT WIRE PROBE STANDOFFS,BROKEN,
100804,,[4],INTAKE,LEAKING,
100805,,[3],INTAKE GASKET,LEAKING,
100806,,,FRONT ENGINE BAFFLE SCREWS,CHAFING,
100807,,,LOWER OIL COOLER LINE,REPOSITIONED,
100808,,[2],INTAKE GASKET,LEAKING,
100809,,[3],ROCKER COVER,LEAKING,
100810,,[4],ROCKER COVER GASKET,LEAKING,
100821,,[2],INTAKE,LEAKING,
100822,,[1],ROCKER COVER,LEAKING,
100823,,,RUDDER COVERS,CRACKED,
100824,,[4],INDUCTION TUBE GASKET,LEAKING,
100825,,,FRONT BAFFLE,CRACK,AROUND MUFFLER SHROUD
100826,,[2],ROCKER COVER,LEAKING,
100827,,,FWD BAFFLE,WORN,THROUGH
100828,L,[2],INTAKE,LEAKING,
100829,L,[3],INTAKE GASKET,LEAKING,
100830,L,"[2, 3]",ROCKER COVERS,LEAKING,
100841,,,FWD BAFFLE,CRACKED,UNDER HEAT SHROUD AIR INTAKE
100842,R,,BAFFLE,CRACKED,R/H SIDE
100843,,[4],ROCKER COVER,LEAKING,
100844,R,,ROCKER COVER,LOOSE,SCREWS
100845,R,[3],INTAKE,LEAKING,
100846,,"[2, 3]",ROCKER COVER GASKETS,LEAKING,
100847,,[2],INTAKE GASKET,LEAKING,
100848,,,OIL COOLER HOSE,REPOSITIONING,
100849,,"[1, 2]",ROCKER COVERS,MISSING,2 SCREWS
100850,,"[2, 3, 4]",ROCKER COVERS,LEAK,
100861,,"[2, 3, 4]",ROCKER COVERS,LEAKING,
100862,,[2],INTAKE GASKET,LEAKS,
100863,,"[1, 3, 4]",ROCKER COVER GASKETS,LEAKING,
100864,,[2],INTAKE TUBE,LEAKING,
100865,R,,ENGINE BAFFLE BRACKET,LOOSE,RIVETS
100866,,[1],INTAKE,LEAKING,EVIDENCE OF
100867,,[4],INTAKE GASKET,LEAKING,
100868,,"[2, 4]",INTAKES,LEAKING,
100869,,[2],INDUCTION TUBE GASKET,LEAKING,
100870,,"[2, 1]",ROCKER COVERS,LEAKING,
100881,,,BAFFLE BRACKET,MISSING,RIVETS
100882,L,[2],INTAKE,LEAKING,
100883,R,[3],INTAKE,LEAKING,
100884,L,[4],INTAKE TUBE GASKET,LEAKING,
100885,R,[1],PRIMER LINE SLEEVE,TORN,
100886,R,[2],INTAKE,LEAKING,
100887,L,[2],INTAKE,LEAKING,
100888,R,,BAFFLE SEAL UNDER PROP GOVERNOR,LOOSE,
100889,L,[2],ROCKER COVER,LEAKING,
100890,L,,AFT BAFFLING,MISSING,SCREW
100901,,[1],INTAKE,LEAKING,
100902,R,,FWD BAFFLE SEAL,NEEDS,TO BE SECURED
100903,L,,BACK BAFFLE,CRACK,
100904,,[2],INTAKE,LEAKING,
100905,,[2],ROCKER COVER,LEAKING,
100906,,[4],INTAKE,LEAKING,
100907,,[4],ROCKER COVER,LEAKING,
100908,,,,VIBRATION,UNUSUAL
100909,,,,VIBRATION,UNUSUAL
100910,,,,VIBRATION,UNUSUAL
100921,,[],,OVERSPEED,OF 3300 IN FLT
100922,,"[2, 4]",ROCKER COVER GASKETS,LEAKING,
100923,L,[4],INTAKE,LEAKING,
100924,L,[4],ROCKER COVER,LEAKING,
100925,R,[4],INTAKE,LEAKING,
100926,R,[],IGNITION LEAD,BROKEN,LACING CORE BROKEN TO OIL RIGGED LI
100927,,[2],INTAKE,LEAKING,
100928,,[2],INTAKE GASKET,LEAKING,
100929,,[],RING GEAR,DAMAGED,TEETH APPEAR TO BE DAMAGED
100930,,"[4, 1]",ROCKER COVER GASKET,LEAKING,
100941,,,,ROUGH,AFTER RPM'S WERE STAB
100942,,,,ROUGH,AFTER RPM'S WERE STAB
100943,,[3],BAFFLE,MISSING,BEHIND
100944,,"[2, 4]",,LEAKING,INTAKES
100945,,,BAFFLE SEAL,TORN,FWD R/H
100946,,[3],INTAKE GASKET,LEAKING,
100947,,,OIL COOLER STAND OFFS,NEED,ADJUSTMENT
100948,L,,BAFFLE,LOOSE,MIDDLE MOUNT RIVETS ARE
100949,L,,AFT BAFFLE,CRACKED,PAST STOP DRILL
100950,,"[2, 3]",ROCKER COVER GASKETS,LEAKING,
100961,R,[2],ROCKER COVER,LEAKING,
100962,L,[4],ROCKER COVER,LEAKING,
100963,R,"[2, 3]",INTAKES,LEAKING,
100964,L,"[3, 4]",INTAKES,LEAKING,
100965,R,,TOP CENTER BAFFLE SEAL,LOOSE,
100966,L,[4],CYL SIDE BAFFLE SEAL,COMING,LOOSE
100967,R,[3],ROCKER COVER GASKET,LEAKING,
100968,R,[3],INTAKE GASKET,LEAKING,
100969,R,[3],SIDE BAFFLE,MISSING,BOTH BOLTS
100970,R,,REAR BAFFLE MOUNTING SCREW,LOOSE,
100981,R,"[2, 3, 4]",ROCKER COVERS,LEAKING,
100982,L,[3],ROCKER COVER,LEAKING,
100983,R,[3],INTAKE GASKET,LEAKING,
100984,L,"[2, 3, 4]",INTAKE GASKETS,LEAKING,
