id,part,problem,rest,cylinders,engine
100197,INTAKE,LEAKING,,4 2,
100198,ROCKER COVER GASKET,LEAKING,,2,
100199,,,,,
100200,,,,,
100201,,LOOSE,"SCAT TUBING + IGN LEAD TO FRAME, R/H SI",,
100202,ROCKER COVER SCREW,LOOSE,,4 3 2 1,L/H
100203,INTAKE,LEAKING,,2,R/H
100204,,,,,
100205,ROCKER COVER,LEAKING,,4 2,R/H
100206,,,,,
100207,,,,,
100208,INTAKE,LEAKING,,2,
100209,INTAKE GASKET,LEAKING,,2,
100210,ROCKER COVER,LEAKING,,3 2,
100211,,,,,
100212,ROCKER COVER,LEAKING,,3,
100213,ROCKER COVER GASKET,LEAKING,,4 2,
100214,INTAKE,LEAKING,,2,R/H
100215,ROCKER COVER GASKET,LEAKING,,4,L/H
100216,,,,,
100217,BAFFLE SCREW,MISSING,,,R/H REAR
100218,ROCKER BOX COVER SCREW,LOOSE,(ALL CYLS),,
100219,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),,
100220,INTAKE,LEAKING,,2,
100221,ROCKER COVER,LEAKING,,4,
100222,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),,
100223,ROCKER BOX COVER SCREW,LOOSE,,4 2,
100224,INTAKE,LEAKING,,1,L/H
100225,INTAKE,LEAKING,,2 1,R/H
100226,FWD UPPER BAFFLE SEAL,LOOSE,,,R/H
100227,ROCKER COVER,LEAKING,,4,
100228,ROCKER BOX COVER SCREW,LOOSE,,,
100229,ROCKER GASKET,LEAKING,,4,
100230,ROCKER COVER,LEAKING,,2,
100231,,COMPRESSION,NO COMPRESSION,4,
100232,,COMPRESSION,NO COMPRESSION,4,
100233,SCREW,MISSING,BAFFLE,3,
100234,ROCKER COVER,LEAKING,,2,
100235,INDUCTION TUBE HOSE CLAMP,LOOSE,,,
100236,INTAKE,LEAKING,,3,R/H
100237,INDUCTION TUBE GASKET,LEAKING,,4,L/H
100238,FWD BAFFLE SEAL,LOOSE,,1,L/H
100239,ROCKER BOX COVER,LEAKING,,3 2 1,L/H
100240,INTAKE TUBE GASKET,LEAKING,,2,R/H
100241,ROCKER COVER GASKET,LEAKING,,4 3 2 1,R/H
100242,AFT BAFFLE BRACKET RIVET,SHEARED,,,
100243,AFT BAFFLE,WORN,THROUGH AT I/B CYLINDER WRAP,3,
100244,,,,,
100245,,,,,
100246,,,,,
100247,ROCKER GASKET,LEAKING,,4 3 2,
100248,AFT BAFFLE,CRACKED,IN SEVERAL PLACES,3,
100249,AFT BAFFLE,CRACKED,IN SEVERAL PLACES,3,
100250,SCREW,MISSING,IN #4 ROCKER COVER,,
100251,INTAKE,LEAKING,,2,
100252,,BROKEN,,2,
100253,,,,,
100254,,,,,
100255,ROCKER COVER GASKET,LEAKING,,2,
100256,ROCKER COVER,LEAKING,,4 2,
100257,,,,,
100258,ROCKER COVER GASKET,LEAKING,,4 3 1,
100259,ROCKER COVER GASKET,LEAKING,,4 2,
100260,ROCKER BOX COVER SCREW,LOOSE,,3 2 1,
100261,ROCKER COVER,LEAKING,,3 1,
100262,ROCKER BOX COVER SCREW,LOOSE,(ALL CYL),,
100263,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),,
100264,INTAKE,LEAKING,AT CLAMP,3,
100265,INTAKE GASKET,LEAKING,,2,
100266,,,,,
100267,ROCKER COVER,LEAKING,,3,
100268,,,,,
100269,INDUCTION TUBE HOSE CLAMP,BROKEN,,2,
100270,INTAKE GASKET,LEAKING,,3 2 1,
100271,ROCKER COVER,LEAKING,,4,
100272,,,,,
100273,ROCKER COVER,LEAKING,,4 2,
100274,,DAMAGED,TEETH,,
100275,,,,,
100276,,,,,
100277,SIDE BACK BAFFLE,CRACKED,& BRACKET RIVETS BROKEN,,R/H
100278,SIDE BACK BAFFLE,CRACKED,& BRACKET RIVETS BROKEN,,R/H
100279,ROCKER COVER,LEAKING,,1,
100280,AFT BAFFLE,CRACKED,,3,R/H
100281,,CRACKED,,4,L/H
100282,INTAKE,LEAKING,,3 2,
100283,FWD UPPER BAFFLE SEAL,NEEDS,TO BE RESECURED,,R/H
100284,INTAKE,LEAKING,,1,
100285,ROCKER COVER,LEAKING,,3 2,
100286,INDUCTION TUBE GASKET,LEAKING,,2,
100287,ROCKER BOX COVER GASKET,LEAKING,,3 2,
100288,,,,,
100289,CAP SCREW,MISSING,BAFFLE,4,L/H
100290,ROCKER COVER,LEAKING,,4,
100291,ROCKER COVER,LOOSE,SCREWS,4 3 2 1,
100292,INTAKE,LEAKING,,3,R/H
100293,,MISSING,ROCKER COVER,4,R/H
100294,INTAKE GASKET,LEAKING,,4,
100295,,,,,
100296,ROCKER BOX COVER SCREW,LOOSE,,3 1,
100297,INDUCTION TUBE GASKET,LEAKING,,4 2,
100298,SCREWS FOR ROCKER COVER,LOOSE,,4 3 2 1,
100299,INTAKE,LEAKING,,4 1,
100300,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),,
100301,BAFFLE MOUNTING SCREW,LOOSE,,,R/H REAR
100302,BAFFLE PLUG,MISSING,,,L/H
100303,INTAKE,LEAKING,,3,
100304,,MISSING,SCREW,,
100305,ROCKER COVER,LEAKING,,1,
100306,INTAKE,LEAKING,,3 2,
100307,INTAKE GASKET,LEAKING,,2,
100308,ROCKER BOX COVER SCREW,LOOSE,,4 3 2,
100309,STARTER RING GEAR,MISSING,TEETH,,
100310,INTAKE GASKET,LEAKING,,4 2,
100311,BOTH BAFFLE PLUG,WORN,,,
100312,,LEAKING,,1,
100313,FWD BAFFLE,MISSING,SCREW,,R/H
100314,,MISSING,,,
100315,INTAKE,LEAKING,,4,
100316,ROCKER COVER,LEAKING,,2,
100317,ROCKER COVER,LEAKING,,3 2,
100318,,,,,
100319,FWD ENGINE BAFFLE,CRACKED,,,L/H
100320,,,,,
100321,ROCKER COVER,LEAKING,,2,
100322,,,,,
100323,INTAKE,LEAKING,,3 2,R/H
100324,ROCKER COVER,LEAKING,,3,R/H
100325,INTAKE,LEAKING,,4 2 1,L/H
100326,INTAKE,LEAKING,,2,
100327,BAFFLE PLUG,NEEDS,TO BE CHANGED,,R/H
100328,INTAKE,LEAKING,,3,
100329,,BROKEN,,,L/H
100330,INTAKE GASKET,LEAKING,,4,
100331,SPARK PLUG BAFFLE PLUG,WORN,,,
100332,INTAKE,LEAKING,,2,
100333,ROCKER COVER GASKET,LEAKING,,3,
100334,ROCKER COVER GASKET,LEAKING,,2,
100335,,,,,
100336,INTAKE GASKET,LEAKING,,4,R/H
100337,SIDE BAFFLE SEAL,TORN,,1,R/H
100338,,,,,
100339,SIDE BAFFLE,CRACKED,,,L/H
100340,DEFLECTOR BAFFLE,CRACKED,,,L/H
100341,ROCKER COVER,LEAKING,,4 2,
100342,,WORN,,,
100343,INTAKE GASKET,LEAKING,,4,
100344,LOWER RIGHT BAFFLE SPRING,BROKEN,,,
100345,BACK BAFFLE BRACKET SCREW,LOOSE,,,R/H
100346,BOTH BAFFLE PLUG,BAD,,,
100347,ROCKER COVER,LEAKING,,2,
100348,ROCKER COVER,LEAKING,,3,
100349,BACK BAFFLE SCREW,MISSING,,3,
100350,,,,,
100351,ROCKER BOX COVER SCREW,LOOSE,,,L/H
100352,ROCKER BOX COVER SCREW,LOOSE,,,R/H
100353,INTAKE GASKET,LEAKS,,2,R/H
100354,INDUCTION TUBE GASKET,LEAKING,,4,
100355,ROCKER BOX COVER GASKET,LEAKING,,4 2,
100356,INTAKE GASKET,LEAKING,,1,
100357,ROCKER COVER,LEAKING,,4,
100358,INTAKE,LEAKING,,1,
100359,ENGINE BAFFLE PLUG,MISSING,,,
100360,ROCKER COVER GASKET,LEAKING,,1,
100361,INTAKE,LEAKING,,2,
100362,ROCKER COVER,LEAKING,,2,
100363,INTAKE,LEAKING,,3 2,R/H
100364,ROCKER COVER,LEAKING,,3,R/H
100365,INTAKE,LEAKING,,3 2,L/H
100366,INTAKE GASKET,LEAKING,,2,
100367,INNER INTAKE PUSH ROD SEAL,LEAKING,,2,
100368,ROCKER COVER GASKET,LEAKING,,2,
100369,ROCKER COVER GASKET,LEAKING,,3,
100370,FWD PUSH ROD SEAL,LEAKING,@ ENGINE ON #3 CYLINDER,,
100371,BAFFLE,CRACKED,AT SCREW SUPPORT & FWD BAFFLE BELOW #1,1,
100372,BAFFLE SEAL,LOOSE,(FWD UPPER),,R/H
100373,,,,,
100374,,,,,
100375,INTAKE,LEAKING,,2,
100376,HAS VALVE,STICKING,,3,
100377,HAS VALVE,STICKING,,3,
100378,INTAKE GASKET,LEAKING,,4,
100379,INTAKE,LEAKING,,2,
100380,ROCKER COVER,LEAKING,,4 2,
100381,INTAKE,LEAKING,,3 2,
100382,AFT BAFFLE,MISSING,SCREW,3,
100383,ROCKER COVER,LEAKING,,4,
100384,,,,,
100385,,,,,
100386,FWD PUSH ROD TUBE,LEAKING,@ ENGINE,3,
100387,INTAKE TUBE,LEAKING,AT SUMP CONNECTOR HOSE,3,
100388,AFT BAFFLE MOUNT RIVET,SHEARED,,3,
100389,BAFFLE SEAL,NEEDS,TO BE RESECURED,2,
100390,INTAKE GASKET,LEAKS,,3,
100391,SCREW,MISSING,"FOR R/H SIDE OF BAFFLING, BEHIND DIPSTICK",,
100392,SIDE BAFFLE,MISSING,BOLTS,4,R/H
100393,,,,,
100394,INTAKE,LEAKING,,4,
100395,ROCKER COVER,LEAKING,,2,
100396,INTAKE,LEAKING,,4 2,
100397,,LOOSE,,3,
100398,,,,,
100399,INTAKE,LEAKING,,4,
100400,,,,,
100401,INTAKE,LEAKING,,2,
100402,INTAKE,LEAKING,,4 2,
100403,OIL RETURN LINE CLAMP,LOOSE,,,
100404,,,,,
100405,,LOOSE,BY OIL FILLER TUBE,3 1,
100406,INTAKE,LEAKING,,4,R/H
100407,INTAKE,LEAKING,,3,L/H
100408,ROCKER COVER,LEAKING,,4 3 2 1,L/H
100409,ROCKER COVER,LEAKING,,4 3 2 1,R/H
100410,,LEAKING,,4 2,R/H
100411,,,,,
100412,,,,,
100413,,,,,
100414,,,,,
100415,,,,,
100416,,,,,
100417,,BROKEN,,,R/H REAR
100418,FWD ENGINE BAFFLE,CRACKED,,,L/H
100419,ROCKER COVER GASKET,LEAKING,,3,
100420,ROCKER COVER GASKET,LEAKING,,3,
100421,INTAKE,LEAKING,,3,
100422,ROCKER COVER,LEAKING,,2,
100423,,,,,
100424,,,,,
100425,,,,,
100426,,,,,
100427,ROCKER COVER,LEAKING,,3,
100428,,,,,
100429,,,,,
100430,ROCKER COVER,LEAKING,,4 2,
100431,,,,,
100432,ROCKER COVER,LEAKING,,3 2,
100433,UPPER BAFFLE,CRACKED,,,L/H AFT
100434,INTAKE GASKET,LEAKING,,3,
100435,ROCKER COVER,LEAKING,,2,
100436,ROCKER COVER GASKET,LEAKING,,3 1,
100437,FWD BAFFLE SEAL,TORN,,,R/H
100438,INTAKE,LEAKING,,4 2,
100439,ROCKER COVER GASKET,LEAKING,,2,
100440,INTAKE GASKET,LEAKING,,4 2,
100441,INTAKE,LEAKING,,4 2,L/H
100442,INTAKE,LEAKING,,4 3 2,R/H
100443,INDUCTION TUBE GASKET,LEAKING,,2,
100444,,MISSING,SCREW & NUT ON BAFFLE BY OIL FILL TUBE,,L/H
100445,BAFFLE,CRACKED,BY UPPER #1 BAFFLE ATTACHMENT,3,R/H
100446,INTAKE GASKET,LEAKING,,2,
100447,ROCKER COVER GASKET,LEAKING,,1,
100448,INTAKE,LEAKING,,3,
100449,BACK TOP BAFFLE,CRACKED,,,L/H
100450,,,,,
100451,ROCKER COVER,LEAKING,,4,
100452,EXT PUSH ROD TUBE SEAL,LEAKING,AT CASE,3,
100453,,,,,
100454,ROCKER BOX COVER GASKET,LEAKING,,2,
100455,INTAKE,LEAKING,,4,
100456,INTAKE GASKET,LEAKING,,4,
100457,,,,,
100458,,,,,
100459,INDUCTION TUBE GASKET,LEAKING,,2,
100460,ROCKER BOX COVER GASKET,LEAKING,,2,
100461,INTAKE,LEAKING,,4,
100462,BAFFLE PLUG,NEEDS,TO BE REPLACED,,L/H
100463,INTAKE GASKET,LEAKING,,2,
100464,BOTTOM BAFFLE WIRE SPRING,BROKEN,,,R/H
100465,AFT BAFFLE BRACKET RIVET,SHEARED,,,
100466,INTAKE GASKET,LEAKING,,3,R/H
100467,INTAKE GASKET,LEAKING,,2,L/H
100468,BAFFLE PLUG,WORN,,3,
100469,ROCKER COVER,LEAKING,,4 1,
100470,INTAKE,LEAKING,,4,
100471,BAFFLE,CRACKED,,4,
100472,,,,,
100473,,COMPRESSION,"LOW COMPRESSION, AROUND 34 PSI",4,
100474,,,,,
100475,INTAKE,LEAKING,,1,
100476,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),,
100477,ROCKER COVER GASKET,BROKEN,,3 1,
100478,INTAKE GASKET,LEAKING,,2,
100479,ROCKER CVOER GASKET,LEAKING,,3 2,
100480,INTAKE,LEAKING,,4,
100481,ROCKER COVER,LEAKING,,4 3 2 1,
100482,INTAKE,LEAKING,,3,
100483,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),,
100484,ROCKER COVER,LEAKING,,2,
100485,INTAKE,LEAKING,,4 3 2 1,L/H
100486,,BROKEN,"RIVETS, NEAR OIL FILLER TUBE",3,
100487,AFT BAFFLE ATTACH PLATE,BROKEN,,4,
100488,,BROKEN,"RIVETS, NEAR OIL FILLER TUBE",3,
100489,ROCKER COVER,LEAKING,,2,
100490,ROCKER COVER,LEAKING,,3,
100491,INTAKE,LEAKING,,2,
100492,COWL BRACKET RIVET,MISSING,,,R/H AFT
100493,ROCKER COVER,LEAKING,,4 3,
100494,INTAKE GASKET,LEAKING,,4 3 1,
100495,INTAKE,LEAKING,,4 3 2 1,
100496,FWD ENGINE BAFFLE,CRACKED,,,L/H
100497,ROCKER COVER GASKET,LEAKING,,3,
100498,INTAKE,LEAKING,,3,
100499,INDUCTION TUBE HOSE CLAMP,LOOSE,,,
100500,,,,,
100501,,,,,
100502,ROCKER COVER GASKET,LEAKING,,4 3 2 1,
100503,INTAKE GASKET,LEAKING,,2,
100504,INTAKE GASKET,LEAKING,,4,
100505,INTAKE,LEAKING,,3,
100506,ROCKER COVER GASKET,LEAKING,,4,
100507,ROCKER COVER GASKET,LEAKING,,3,
100508,,,,,
100509,ROCKER GASKET,LEAKING,,3 2,
100510,SIDE BAFFLE PLUG,BROKEN,PRONGS,4 3,
100511,ROCKER COVER GASKET,LEAKING,,4 2 1,
100512,INTAKE GASKET,LEAKING,,4 2 1,R/H
100513,BAFFLE SPARK PLUG CAP,WORN,OUT,,
100514,INTAKE GASKET,LEAKING,CAUSING CHT & EGT VARIATI,4 2,
100515,ROCKER COVER GASKET,TORN,,3,
100516,INTAKE,LEAKING,,4 2,
100517,ROCKER COVER,LEAKING,,1,
100518,INTAKE GASKET,LEAKING,,4,
100519,ROCKER COVER GASKET,LEAKING,,4,
100520,INTAKE PIPE GASKET,LEAKING,,4 3 2,
100521,OIL COOLER BAFFLING,CRACKED,IN LWR I/B CORNER,,
100522,,,,,
100523,,,,,
100524,,LEAKING,RUBBER HOSE SECTION,3,
100525,INTAKE GASKET,LEAKING,,4 2,
100526,,TORN,,3 2 1,
100527,ROCKER COVER GASKET,LEAKING,,3 1,
100528,ROCKER BOX COVER SCREW,LOOSE,,,
100529,ROCKER BOX COVER SCREW,LOOSE,,,
100530,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYL),,
100531,BAFFLE,CRACKED,,1,
100532,,,,,
100533,,,,,
100534,,,,,
100535,,,,,
100536,,,,,
100537,,,,,
100538,INTAKE,LEAKING,,3,
100539,ROCKER COVER GASKET,LEAKING,,4,
100540,INTAKE GASKET,LEAKS,,1,
100541,ROCKER COVER SCREW,LOOSE,,4 3 2 1,
100542,INTAKE GASKET,LEAKING,,2,
100543,,,,,
100544,,,,,
100545,,,,,
100546,,,,,
100547,INTAKE GASKET,LEAKS,,2,
100548,BAFFLE PLUG,MISSING,ENGINE,,
100549,INTAKE,LEAKING,,3,R/H
100550,INTAKE,LEAKING,,2 1,L/H
100551,ROCKER COVER,LEAKING,,3 1,R/H
100552,INDUCTION TUBE GASKET,LEAKING,,2,
100553,ROCKER BOX COVER SCREW,LOOSE,(ALL CYLS),,
100554,,COMPRESSION,NO COMPRESSION,3,
100555,,COMPRESSION,NO COMPRESSION,3,
100556,,COMPRESSION,NO COMPRESSION,3,
100557,,,,,
100558,INTAKE,LEAKING,,4 3,R/H
100559,INTAKE,LEAKING,,4 3 2 1,L/H
100560,ROCKER COVER,LEAKING,,4 3,L/H
100561,ROCKER COVER,LEAKING,,4 2,R/H
100562,INTAKE,LEAKING,,4,
100563,ROCKER COVER,LEAKING,,2,
100564,INTAKE,LEAKING,,3,
100565,INTAKE TUBE GASKET,LEAKING,,3,
100566,,,,,
100567,OIL FILL TUBE,LOOSE,,,R/H
100568,,BROKEN,,,
100569,INTAKE GASKET,LEAKING,,4,
100570,ROCKER COVER GASKET,LEAKING,,4 2,
100571,INTAKE,LEAKS,,2,R/H
100572,INTAKE,LEAKS,,2,L/H
100573,,,,,
100574,INTAKE,LEAKING,,4 2 1,
100575,ROCKER COVER,LEAKING,,4 2,
100576,BAFFLE,CRACKED,,,L/H REAR
100577,ROCKER COVER GASKET,LEAKING,,4 3 2,
100578,ROCKER DRAIN LINE CLAMP,LOOSE,& LEAKS NOTED,4,
100579,,LOOSE,,3 1,
100580,INTAKE GASKET,LEAKING,,3 1,
100581,INTAKE GASKET,LEAKING,,3,
100582,ROCKER COVER GASKET,LEAKING,,4,
100583,INTAKE GASKET,LEAKING,,4,
100584,ROCKER COVER GASKET,LEAKING,,2,
100585,FRONT BAFFLE,CRACKED,,1,
100586,ROCKER COVER,LOOSE,SCREWS,4 3 2 1,
100587,INTAKE TUBE GASKET,LEAKING,,4,
100588,INTAKE,LEAKING,,1,R/H
100589,,,,,
100590,INTAKE,LEAKING,,2,
100591,INDUCTION TUBE GASKET,LEAKING,,4,
100592,ROCKER COVER SCREW,LOOSE,,4 3 2 1,
100593,,,,,
100594,,,,,
100595,INDUCTION TUBE HOSE CLAMP,LOOSE,(ALL CYLS),,
100596,INTAKE GASKET,LEAKING,,2,
100597,,,,,
100598,INTAKE LUBE GASKET,LEAKING,,2,
100599,ROCKER COVER GASKET,LEAKING,,3,
100600,INTAKE GASKET,LEAKING,,4,
100601,ROCKER COVER GASKET,LEAKING,,3,
100602,ROCKER COVER GASKET,LEAKING,,4,
100603,,LOOSE,BEARING,,
100604,INTAKE,LEAKING,,1,
100605,INTAKE GASKET,LEAKING,,3,L/H
100606,HAS ALL 4 ROCKER GASKET,LEAKING,,,L/H
100607,INTAKE GASKET,LEAKING,,4 3 1,R/H
100608,,,,,
100609,ROCKER COVER,LEAKING,,2,
100610,INTAKE,LEAKING,,3 2,
100611,ROCKER COVER,LEAKING,,4 1,
100612,ROCKER BOX COVER SCREW,LOOSE,,,
100613,INDUCTION TUBE GASKET,LEAKING,,2,
100614,,,,,
100615,ROCKER COVER,LEAKING,,3 2,
100616,ROCKER COVER,LEAKING,,3 1,
100617,,STUCK,VALVE,2,
100618,,,,,
