id,part,action,cylinders,details,engine
100113,,REPLACED,,INTAKE GASKET,
100114,INTAKE PIPE,REPLACED,,#1 W/ SERVICEABLE PI,L
100115,ROCKER COVER GASKET,REPLACED,[3],,L
100116,,REMOVED,,ROCKER COVER,
100117,,REPLACED,,GASKET,
100118,,SECURED,,BAFFLE SEAL,
100119,,REPLACED,,GASKETS,
100120,,STOP DRILLED,,CRACK & FABRICATED PATCH W/ LIKE MATERIAL,
100121,INTAKE GASKET,REPLACED,,,
100122,INTAKE GASKET,REMOVED & REPLACED,[2],,
100123,ROCKER GASKET,REMOVED & REPLACED,[4],,
100124,INTAKE GASKET,INSTALLED,[4],NEW,
100125,SCREW,INSTALLED,,NEW,
100126,BAFFLE SEAL,RESECURED,,,R
100127,,STOP DRILLED,,"CRACK, FABRICATED PATCH W/ LIKE MATERIAL",
100128,GASKET,REMOVED & REPLACED,,,
100129,GASKETS,REMOVED & REPLACED,,,
100130,,RAN,,ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING,
100131,,FREED,,"EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABLE",
100132,ROCKER COVER GASKETS,REMOVED & REPLACED,"[1, 3]",,
100133,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
100134,,DISCONNECTED,,LINES & WIRES TO REMOVE BAFFLE. REMOVED BA,
100135,CHT PROBE,REMOVED & REPLACED,,"INSP ENGINE, NO DEFECTS N",
100136,,OPS & LEAK CHECK,,GOOD,
100137,,FINISHED INSTALLATION,,OF ENGINE,
100138,,REMOVED,,"ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M",
100139,,REPLACED,"[1, 2, 3]",ALL 3 GASKETS,
100140,GASKET,REMOVED & REPLACED,,,
100141,ROCKER COVERS,REPLACED,"[2, 4]",,
100142,INTAKE GASKETS,REPLACED,"[3, 4]",,
100143,,INSTALLED,,W/ LARGE A,
100144,SCREWS,RETORQUED,,,
100145,ROCKER BOX COVER GASKET,INSTALLED,[2],NEW,
100146,ROCKER BOX COVER GASKET,INSTALLED,[4],NEW,
100147,BRAKE LININGS,REPLACED,,,
100148,ROCKER COVER,REPLACED,[3],,
100149,,LEAK CHECK,,GOOD,
100150,,BEGAN,,VALVE TRAIN OVERSPEED INSP,
100151,,BEGAN,,ENG OVERSPEED INSP IAW . IDENTIFIED & CORR,
100152,,FINISHED,,VALVE TRAIN OVERSPEED INSP. WAS COMPLET,
100153,GASKET,REPLACED,,,
100154,,PERFORMED,,"ENGINE RUN UP TO OPERATING TEMPERATURES, PERF",
100155,SCREWS,RETORQUED,,,
100156,,INSTALLED,,NEW BUTTON PLUG,
100157,,RAN,,"A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D",
100158,ROCKER COVERS,REMOVED & REPLACED,"[1, 3]",,
100159,BAFFLE SEAL,RESECURED,,,
100160,INTAKE,REMOVED & REPLACED,[4],WAS LEAKING,
100161,,,,,
100162,SCREWS,TIGHTENED,,,
100163,,,,GOOD,
100164,,,,GOOD,
100165,,INSTALLED,,,R
100166,,FINISHED,,,
100167,,FINISHED,,,
100168,,CONTINUED,,,
100169,,PRESERVED,,,
100170,,SEALED,,,
100171,,INSTALLED,,,
100172,,INSTALLED,,,
100173,,RAN,,,
100174,,ROUTED,,,
100175,,SEALED,,,
100176,,CLEANED,,,L
100177,,REMOVED,,,L
100178,,REMOVED,,,
100179,,STARTED,,,
100180,,CONTINUED,,,
100181,WIRING,CONNECTED,,SECURED,
100182,,CLEANED,,"PLUGS, SERVICED OIL. RAN ENGINE, ALL INDICATION",
100183,,REMOVED,"[1, 2, 3, 4]",PROP/MOUNT ASSY. PRESERVED CYLS. PAL,R
100184,,REMOVED,,,
100185,,INSTALLED,,AFTER REPAIR TO FIREWALL WAS COMPLETED,
100186,FIREWALL,REPAIRED,,BY ODEGAARD WINGS.,
100187,INTAKE GASKETS,REMOVED & REPLACED,"[2, 4]",,
100188,INTAKE GASKET,REMOVED & REPLACED,,,
100189,ROCKER COVER GASKET,REMOVED & REPLACED,[3],,
100190,BAFFLE,TIGHTENED,,SCREW,
100191,,STOP DRILLED,,CRACK,
100192,,TIGHTENED,,HOSE CLAMPS,
100193,SEAL,REMOVED & REPLACED,,,
100194,,PREPPED,,AREA & APPLIED SEALANT,
100195,ENGINE BAFFLE BUTTONS,REMOVED & REPLACED,,ON L/H & R/H,L
100196,,INSTALLED,,NEW SCREW,
100197,INTAKE GASKETS,REMOVED & REPLACED,,,
100198,ROCKER COVER GASKET,REMOVED & REPLACED,,,
100199,,STARTED,,"A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA",
100200,,PERFORMED,"[1, 2, 3, 4]",SI 388C ON ALL 4 CYLINDERS. REAMED EXHAUST VA,
100201,,REPLACED,,BOTH,
100202,,TIGHTENED,,ALL,
100203,INTAKE GASKET,REMOVED & REPLACED,[2],,R
100204,INTAKE GASKET,REMOVED & REPLACED,"[2, 3, 4]",,L
100205,ROCKER COVER GASKETS,REMOVED & REPLACED,"[2, 4]",,R
100206,,REMOVED & REPLACED,[3],"REAMED 1, 2, 4 EXHAUST",
100207,,RAN,,"ENGINE, #3 CYL NO EGT. PULLED PROP THROUGH 4 COMPRE",
100208,INTAKE GASKETS,REMOVED & REPLACED,,,
100209,INTAKE GASKET,REMOVED & REPLACED,[2],,
100210,ROCKER COVER GASKETS,REMOVED & REPLACED,"[2, 3]",,
100211,AFT BAFFLE,REMOVED,[3],,
100212,ROCKER COVER,REMOVED & REPLACED,,NEW,
100213,GASKETS,REMOVED & REPLACED,,,
100214,GASKET,REMOVED & REPLACED,,,
100215,GASKET,REMOVED & REPLACED,,,
100216,,REMOVED & REPLACED,,ALL GASKETS,
100217,,INSTALLED,,NEW SCREW,
100218,SCREWS,RETORQUED,,,
100219,HOSE CLAMPS,TIGHTENED,,,
100220,INTAKE GASKET,REMOVED & REPLACED,[2],,
100221,ROCKER COVER GASKET,REMOVED,,REPLACED,
100222,,TIGHTENED,,HOSE CLAMPS,
100223,ROCKER BOX COVER SCREWS,RETORQUED,"[2, 4]",,
100224,INTAKE GASKET,REMOVED,[1],REPLACED,L
100225,ENGINE INTAKE GASKETS,REMOVED,"[1, 2]",REPLACED,R
100226,BAFFLE SEAL,REPLACED,,,
100227,,REMOVED,,REPLACED GASKET,
100228,ROCKER BOX COVER SCREWS,RETORQUE,,,
100229,ROCKER GASKET,REPLACED,,,
100230,ROCKER COVER GASKET,REMOVED,,REPLACED,
100231,,INSTALLED,,"NEW GASKET, LEAK CK GOOD",
100232,,INSPECTED,,"VALVES, FOUND NO DEFECTS. RAN A/C & RECHECKED",
100233,SCREW,REPLACED,,,
100234,GASKET,REPLACED,,,
100235,,TIGHTENED,,HOSE CLAMPS,
100236,INTAKE GASKET,REPLACED,,,
100237,INTAKE GASKET,REPLACED,,,
100238,#1 FWD BAFFLE SEAL,RESECURED,,,
100239,ROCKER COVER GASKETS,REPLACED,,,
100240,,INSTALLED,,NEW #2 INTAKE TUBE GASKET,
100241,ROCKER BOX COVER GASKETS,INSTALLED,,NEW,R
100242,BAFFLE BRACKET,RESECURED,,,
100243,,REMOVED,,,
100244,,STOP DRILLED,,,
100245,BAFFLE,REMOVED,,,
100246,,FABRICATED,,PATCH W/ LIKE MATERIALS. RIVETED IAW,
100247,ROCKER GASKETS,REPLACED,"[2, 3, 4]",LEAK CHECK GOOD,
100248,,INSTALLED,,NEW BAFFLE,
100249,REAR BAFFLE,REMOVED,,,R
100250,ROCKER BOX COVER,INSTALLED & TORQUED,[4],NEW SCREW,
100251,GASKET,REPLACED,,,
100252,BRACKET,REMOVED & REPLACED,,,
100253,,REMOVED,,ENGINE TO FACILITATE REPAIR BY ODEGAARD WINGS,
100254,,REINSTALLED,,ENGINE IAW MAINTENANCE MAN,
100255,ROCKER COVER GASKET,REMOVED & REPLACED,[2],,
100256,GASKETS,REMOVED & REPLACED,,,
100257,,REQUIRES,,MX FLIGHT TO VERIFY DISCREPANCY,
100258,ROCKER COVER GASKETS,REMOVED & REPLACED,"[1, 3, 4]",,
100259,GASKETS,REMOVED & REPLACED,"[2, 4]",,
100260,SCREWS,TIGHTENED,,,
100261,ROCKER COVER GASKETS,REPLACED,"[1, 3]",,
100262,,TIGHTENED,,,
100263,,TIGHTENED,,,
100264,,READJUSTED,,,
100265,INTAKE GASKET,REPLACED,,NEW,
100266,,INSTALLED,,,
100267,,REPLACED,,,
100268,BAFFLE INTERCONNECT ROD,REPLACED,,,
100269,,INSTALLED,,,
100270,INTAKE GASKETS,INSTALLED,,NEW,
100271,ROCKER COVER GASKET,REPLACED,[4],,
100272,,REPLACED,,,
100273,ROCKER COVER GASKETS,REPLACED,"[2, 4]",,
100274,,INSTALLED,,,
100275,,,,GOOD,
100276,OIL RETURN LINE,REPLACED,,,
100277,,REMOVED,,,R
100278,BAFFLE,REPLACED,,,
100279,ROCKER COVER GASKET,REPLACED,,,
100280,,STOP DRILLED,,,R
100281,STIFFENER,REMOVED,,CRACKED,
100282,INTAKE GASKETS,REMOVED,"[2, 3]",REPLACED,
100283,BAFFLE SEAL,INSTALLED,,POP RIVET TO RESECURE,R
100284,INTAKE GASKET,REMOVED,[1],REPLACED,
100285,ROCKER COVER GASKETS,REMOVED,"[2, 3]",REPLACED,
100286,INDUCTION TUBE GASKET,INSTALLED,[2],NEW,
100287,ROCKER BOX COVER GASKETS,INSTALLED,,NEW,
100288,,INSPECTED,,"THROTTLE LINKAGE, COLLECTIVE LINKAGE, NO DISC",
100289,,INSTALLED,,NEW SCREW,
100290,ROCKER COVER GASKET,REMOVED,[4],REPLACED,
100291,,TIGHTENED,,ALL COVERS,
100292,INTAKE GASKET,REMOVED,[3],REPLACED W/ NEW,
100293,ROCKER COVER,INSTALLED,[4],NEW SCREW INTO,
100294,,REPLACED,,GASKET,
100295,ROCKER COVER,REMOVED,[2],REPLACED,
100296,,TIGHTENED,,SCREWS,
100297,INDUCTION TUBE GASKETS,INSTALLED,"[2, 4]",NEW,
100298,,TIGHTENED,,ALL SCREWS,
100299,INTAKE GASKETS,REMOVED,"[1, 4]",REPLACED,
100300,,TIGHTENED,,HOSE CLAMPS,
100301,BAFFLE,TIGHTENED,,,R
100302,,INSTALLED,,,
100303,,REPLACED,[3],INTAKE GASKET,
100304,,REINSTALLED,,,
100305,,REPLACED,,ROCKER COVER GASKET,
100306,,REPLACED,"[2, 3]",INTAKE GASKETS,
100307,,REMOVED & REPLACED,,INTAKE GASKET W/ NEW,
100308,,TIGHTENED,,,
100309,,REMOVED & REPLACED,,STARTER RING GEAR,
100310,,REMOVED & REPLACED,"[2, 4]",INTAKE GASKETS W/ NEW,
100311,,REPLACED,,BOTH BAFFLE PLUGS,
100312,,REMOVED & REPLACED,[1],ROCKER COVER GASKET,
100313,,INSTALLED,,NEW SCREW,
100314,,INSTALLED,,NEW GROMMET,
100315,,REPLACED,,GASKET,
100316,,REMOVED & REPLACED,[2],ROCKER COVER GASKET,
100317,,REMOVED & REPLACED,"[2, 3]",ROCKER COVER GASKETS,
100318,,FABRICATED,,"PATCH, INSTALLED PATCH. RIVET IAW SRM",
100319,,STOP DRILLED,,"CRACK, FABRICATED PATCH. RIVETED IAW",
100320,,INSTALLED,,NEW ENGINE BAFFLE BUTTON PLUGS,
100321,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
100322,,REMOVED,,BLOCKAGE,
100323,INTAKE GASKETS,REPLACED,"[2, 3]",,
100324,ROCKER COVER GASKET,REPLACED,[3],,
100325,INTAKE GASKETS,REMOVED,"[1, 2, 4]",NEW,
100326,INTAKE GASKET,REMOVED,,REPLACED,
100327,BAFFLE PLUG,REMOVED,,REPLACED,
100328,INTAKE GASKET,REMOVED,[3],REPLACED,
100329,BAFFLE TIE ROD,REMOVED,,REPLACED,
100330,INTAKE GASKET,REMOVED,,REPLACED,
100331,BAFFLE PLUG,INSTALLED,,NEW,
100332,INTAKE GASKET,REMOVED,,REPLACED. CLEANED FUEL STAINS I,
100333,GASKET,REMOVED,,REPLACED,
100334,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
100335,INTAKE GASKET,REMOVED,[2],REPLACED,
100336,GASKET,REPLACED,,,
100337,SEAL,REMOVED,,REPLACED,
100338,BAFFLE SEAL,RESECURED,,,
100339,,PATCHED,,"LIKE MATERIAL. RIVETING IAW , CH",
100340,,PATCHED,,"LIKE MATERIAL. RIVETING IAW , CH",
100341,ROCKER COVER GASKETS,REPLACED,,,
100342,BAFFLE BUTTONS,INSTALLED,,NEW,L
100343,GASKET,REPLACED,,,
100344,BAFFLE SPRING,REPLACED,,NEW,
100345,BAFFLE,REMOVED,,,
100346,,REPLACED,,BOTH BAFFLE PLUGS,
100347,ROCKER COVER GASKET,REPLACED,[2],,
100348,ROCKER COVER GASKET,REPLACED,[3],,
100349,BAFFLE SCREW,INSTALLED,[3],,
100350,SPIRAL WRAP,REPLACED,,,
100351,,TIGHTENED,,,
100352,,TIGHTENED,,,
100353,INTAKE GASKET,REPLACED,,,
100354,INDUCTION TUBE GASKET,REPLACED,[4],,
100355,ROCKER COVER GASKETS,REPLACED,"[2, 4]",,
100356,INTAKE GASKET,REPLACED,[1],NEW,
100357,ROCKER COVER GASKET,REPLACED,[4],NEW,
100358,INTAKE TUBE,REPLACED,,,
100359,BAFFLE PLUG,INSTALLED,,NEW,L
100360,ROCKER COVER GASKET,REPLACED,,,
100361,INTAKE GASKET,REMOVED,,,
100362,ROCKER COVER GASKET,REMOVED,,,
100363,GASKET,REMOVED,,,
100364,GASKET,REMOVED,,,
100365,INTAKE GASKETS,REPLACED,"[2, 3]",,L
100366,GASKET,REMOVED,,,
100367,PUSH ROD TUBE SEALS,REPLACED,,,
100368,ROCKER COVER GASKET,REMOVED,[2],,
100369,ROCKER COVER GASKET,REMOVED,[3],,
100370,PUSH ROD TUBE SEALS,REMOVED,[3],,
100371,,FABRICATED,,,
100372,BAFFLE SEAL,RESECURED,,,
100373,SEAL,REPAIRED,,,
100374,BAFFLE,APPLIED,,,
100375,GASKET,REPLACED,,,
100376,,INSTALLED,,,
100377,,REMOVED,,,
100378,GASKET,REMOVED,,,
100379,INTAKE GASKET,REMOVED,,,
100380,ROCKER COVER GASKETS,REMOVED,,,
100381,GASKETS,REMOVED,,REPLACED,
100382,SCREW,INSTALLED,,NEW,
100383,GASKET,REPLACED,,,
100384,,INSP'D,[3],FOUND EXHAUST VALVE STUCK OPEN,
100385,,TORQUED,,"CYL BASE, INSTALLED REMAINING LINES, TUBES, BAF",
100386,FWD PUSH ROD TUBE SEALS,REMOVED,[3],REPLACED. LEAK CHE,
100387,,TIGHTENED,,CLAMPS,
100388,BAFFLE,REMOVED,,REPAIRED MOUNT & REINSTALLED,
100389,BAFFLE SEAL,RESECURED,[2],,
100390,GASKET,REPLACED,,,
100391,DIPSTICK,REMOVED,,"INSTALLED SCREW, INSTALLED & SAFETIED",
100392,,INSTALLED,,NEW BOLTS,
100393,,REPOSITIONED,,DRAIN TUBE CLAMPS TO CLEAR BAFFLE,
100394,INTAKE GASKET,REMOVED,[4],REPLACED,
100395,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
100396,INTAKE GASKETS,REPLACED,,,
100397,BAFFLE,REMOVED,,FOUND ALMOST WORN THROUGH AT AF,
100398,GASKET,INSTALLED,,NEW,
100399,GASKET,REMOVED,,REPLACED,
100400,,INSPECTED,,COMPRESSIONS INDICATED NORMAL. REMOVED COWL,
100401,INTAKE GASKET,REMOVED,[2],REPLACED,
100402,INTAKE GASKETS,REPLACED,,,
100403,OIL RETURN LINE CLAMPS,TIGHTENED,,,
100404,,TIGHTENED,,RESECURED,
100405,,TIGHTENED,,SCREW,
100406,GASKET,REPLACED,,,
100407,,REMOVED,,REPLACED GASKET,
100408,,REMOVED,,REPLACED GASKETS,
100409,,REMOVED,,REPLACED GASKETS,
100410,,TIGHTENED,,CLAMPS,
100411,,LEAK CHECKED,,GOOD,
100412,,LEAK CHECKED,,GOOD,
100413,PRESSURE HOSE,REPLACED,,,
100414,PRESSURE HOSE,INSTALLED,,,
100415,VENT HOSE FOR TORQUEMETER,REPLACED,,,
100416,VENT HOSES FOR TORQUEMETER,REPLACED,,,
100417,,INSTALLED,,NEW BAFFLE SUPPORT,
100418,,INSTALLED,,PATCH OF LIKE MATERAL & RIVETED IAW,
100419,,REMOVED,[3],REPLACED ROCKER COVER GASKET,
100420,,REMOVED,[3],REPLACED ROCKER COVER GASKET,
100421,GASKET,REPLACED,,,
100422,GASKET,REPLACED,,,
100423,,REMOVED,,,
100424,,REMOVED,,,
100425,,INSTALLED,,,
100426,,ENGINE RUN UP,,,
100427,ROCKER COVER GASKET,REMOVED,,REPLACED,
100428,,INSTALLED,,,
100429,,REMOVED,,REPLACED,
100430,,REMOVED,,REPLACED,
100431,,STOP DRILLED,,,
100432,ROCKER COVER GASKETS,REMOVED,"[2, 3]",REPLACED,
100433,,STOP DRILLED,,,
100434,INTAKE GASKET,REMOVED,[3],REPLACED,
100435,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
100436,ROCKER COVER GASKETS,REMOVED,"[1, 3]",REPLACED,
100437,BAFFLE SEAL,REPAIRED,,,
100438,INTAKE PIPE GASKETS,REPLACED,"[2, 4]",,
100439,ROCKER COVER GASKET,REMOVED,[2],REPLACED W/ NEW,
100440,GASKETS,REPLACED,,,
100441,INTAKE GASKETS,REMOVED,"[2, 4]",REPLACED,L
100442,INTAKE GASKETS,REMOVED,"[2, 3, 4]",REPLACED,R
100443,INDUCTION TUBE GASKET,INSTALLED,[2],NEW,
100444,,REPLACED,,"SCREW, WASHERS & NUT",
100445,,REPAIRED,,BAFFLING BY FABRICATING ATTACHMENT OF LIKE MAT,
100446,INTAKE GASKET,REPLACED,,,
100447,,REMOVED,,REPLACED GASKET,
100448,,REMOVED,,REPLACED GASKET,
100449,,FABRICATED,,PATCH & INSTALLED,
100450,,ADJUSTED,,"IDLE SPEEDS & MIXTURE RISE, OPS CHECK GOOD",
100451,ROCKER COVER GASKET,REMOVED,,REPLACED,
100452,,REPOSITIONED,,"SEAL, LEAK PERSISTS. DISASSEMBLED & REPLAC",
100453,,PERFORMED,,"ENGINE RUN UP, SERVICED TIRE PRESSURES. REVIE",
100454,ROCKER BOX COVER GASKET,INSTALLED,,NEW,
100455,INTAKE GASKET,REMOVED,[4],REPLACED,
100456,INTAKE GASKET,REMOVED,,REPLACED,
100457,,RAN,,"ENGINE, COULD NOT DUPLICATE DISCREPANCY. ENGINE OPE",
100458,,ADJUSTED,,"IDLE MIXTURE, CHECKS GOOD",
100459,INTAKE GASKET,REMOVED,[2],REPLACED,
100460,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
100461,INTAKE GASKET,REMOVED,,,
100462,BAFFLE PLUG,REMOVED,,,
100463,INTAKE GASKET,REMOVED,,,
100464,BAFFLE,REMOVED,,,
100465,BAFFLE BRACKET,REPLACED,,,
100466,,REPLACED,,,
100467,INTAKE GASKET,REMOVED,[2],,
100468,PLUG,REMOVED,,,
100469,ROCKER GASKETS,REMOVED,"[1, 4]",,
100470,INTAKE GASKET,REMOVED,[4],,
100471,,STOP DRILLED,,,
100472,PUSH ROD SHROUD,INSTALLED,,,
100473,,INSPECTED,,,
100474,,INSPECTED,,,
100475,INTAKE GASKET,REMOVED,[1],,
100476,HOSE CLAMPS,TIGHTENED,,,
100477,ROCKER COVER GASKETS,REMOVED,,,
100478,INTAKE GASKET,REMOVED,,,
100479,ROCKER COVER GASKET,REMOVED,,,
100480,GASKET,REMOVED,,,
100481,GASKETS,REMOVED,,,
100482,INTAKE GASKET,INSTALLED,,NEW,
100483,,TIGHTENED,,HOSE CLAMPS,
100484,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
100485,GASKETS,REMOVED,,REPLACED,
100486,,LEAK CHECK,,GOOD,
100487,,FABRICATED,,PAINTED & INSTALLED FROM LIKE MATERIAL & TH,
100488,BAFFLE,REMOVED,,REPLACED RIVETS & REINSTALLED,
100489,ROCKER COVER GASKET,REPLACED,,,
100490,ROCKER COVER GASKET,REPLACED,,,
100491,INTAKE GASKET,REMOVED,[2],REPLACED,
100492,RIVET,INSTALLED,,NEW,
100493,ROCKER COVER GASKETS,REMOVED,,REPLACED,
100494,INTAKE GASKETS,REPLACED,,,
100495,INTAKE GASKETS,REMOVED,"[1, 2, 3, 4]",REPLACED,
100496,,STOP DRILLED,,CRACK,
100497,ROCKER COVER GASKET,REMOVED,,REPLACED,
100498,GASKET,REPLACED,,,
100499,,TIGHTENED,,HOSE CLAMPS,
100500,,STOP DRILLED,,CRACK,
100501,,,,,
100502,ROCKER COVER GASKETS,REPLACED,"[1, 2, 3, 4]",,
100503,GASKET,REMOVED,,REPLACED,
100504,INTAKE GASKET,REMOVED,[4],REPLACED,
100505,INTAKE GASKET,REMOVED,[3],REPLACED,
100506,ROCKER COVER GASKET,REMOVED,,REPLACED,
100507,ROCKER COVER GASKET,REMOVED,[3],REPLACED,
100508,INTAKE GASKET,REMOVED,[2],REPLACED,
100509,GASKETS,REPLACED,,,
100510,PLUGS,REPLACED,,,
100511,ROCKER COVER GASKETS,REMOVED,"[1, 2, 4]",REPLACED,
100512,GASKETS,REPLACED,"[1, 2, 3]",,
100513,BAFFLE CAPS,INSTALLED,,NEW,
100514,"INTAKE TUBES, FLANGES & GASKETS",REPLACED,"[2, 4]",,
100515,ROCKER COVER GASKET,REMOVED,,REPLACED,
100516,INTAKE GASKETS,REMOVED,,REPLACED,
100517,ROCKER COVER GASKET,REMOVED,[1],REPLACED,
100518,GASKET,REMOVED,,REPLACED,
100519,ROCKER COVER GASKET,REMOVED,,REPLACED,
100520,INTAKE GASKETS,REMOVED,,REPLACED,
100521,PATCH,,,,
100522,PATCH,,,,
100523,,STARTED,,ALL INDICATIONS NORM,
100524,CLAMPS,TIGHTENED,,,
100525,INTAKE GASKETS,REPLACED,,,
100526,COWL SHOCK MOUNTS,REPLACED,,,
100527,ROCKER COVER GASKETS,REPLACED,,,
100528,SCREWS,RETORQUED,,,
100529,SCREWS,RETORQUED,,,
100530,HOSE CLAMPS,TIGHTENED,,,
100531,PATCH,,,.032 OF LIKE MATERIAL AS BAFFLE,
100532,LINE,ORDERED,,,
100533,LINE,REPLACED,,,
100534,,INSTALLED,,PREPPED ENGINE FOR INSTALLATION & REINSTALLED IN A/C,
