IDENT,ActionPart,ActionTaken
100195,BAFFLE BUTTONS,REMOVED & REPLACED
100196,SCREW,INSTALLED
100197,INTAKE GASKETS,REMOVED & REPLACED
100198,ROCKER COVER GASKET,REMOVED & REPLACED
100199,A/C,"STARTED, RUNS VERY ROUGH"
100200,EXHAUST VA,
100201,BOTH LACINGS,REPLACED
100202,SCREWS,TIGHTENED
100203,,REMOVED & REPLACED
100204,INTAKE GASKET,REMOVED & REPLACED
100205,ROCKER COVER GASKETS,REMOVED & REPLACED
100206,,REMOVED & REPLACED
100207,ENGINE,RAN
100208,INTAKE GASKETS,REMOVED & REPLACED
100209,,REMOVED & REPLACED
100210,ROCKER COVER GASKETS,REMOVED & REPLACED
100211,"CYL, BAFFLE",REMOVED
100212,ROCKER COVER,REMOVED & REPLACED
100213,GASKETS,REMOVED & REPLACED
100214,GASKET,REMOVED & REPLACED
100215,GASKET,REMOVED & REPLACED
100216,GASKETS,REMOVED & REPLACED
100217,SCREW,INSTALLED
100218,SCREWS,RETORQUED
100219,HOSE CLAMPS,TIGHTENED
100220,,REMOVED & REPLACED
100221,ROCKER COVER GASKET,REMOVED & REPLACED
100222,HOSE CLAMPS,TIGHTENED
100223,ROCKER BOX COVER SCREWS,RETORQUED
100224,INTAKE GASKET,REMOVED & REPLACED
100225,INTAKE GASKETS,REMOVED & REPLACED
100226,BAFFLE SEAL,REPLACED
100227,GASKET,REMOVED & REPLACED
100228,ROCKER BOX COVER SCREWS,RETORQUE
100229,ROCKER GASKET,REPLACED
100230,ROCKER COVER GASKET,REMOVED & REPLACED
100231,"GASKET, CK",INSTALLED
100232,A/C,RAN
100233,,"REPLACED, SCREW"
100234,GASKET,REPLACED
100235,HOSE CLAMPS,TIGHTENED
100236,INTAKE GASKET,REPLACED
100237,INTAKE GASKET,REPLACED
100238,BAFFLE SEAL,RESECURED
100239,ROCKER COVER GASKETS,REPLACED
100240,GASKET,INSTALLED
100241,ROCKER BOX COVER GASKETS,INSTALLED
100242,BAFFLE BRACKET,RESECURED
100243,WORN PIECE,REMOVED
100244,,
100245,BAFFLE,REMOVED
100246,PATCH,FABRICATED
100247,ROCKER GASKETS,REPLACED
100248,BAFFLE,INSTALLED
100249,BAFFLE,REMOVED
100250,ROCKER BOX COVER,"INSTALLED & TORQUED, SCREW"
100251,GASKET,REPLACED
100252,BRACKET,REMOVED & REPLACED
100253,"ENGINE, REPAIR",REMOVED
100254,ENGINE,REINSTALLED
100255,ROCKER COVER GASKET,REMOVED & REPLACED
100256,GASKETS,REMOVED & REPLACED
100257,,REQUIRES
100258,ROCKER COVER GASKETS,REMOVED & REPLACED
100259,GASKETS,REMOVED & REPLACED
100260,SCREWS,TIGHTENED
100261,ROCKER COVER GASKETS,REMOVED & REPLACED
100262,SCREWS,TIGHTENED
100263,HOSE CLAMPS,TIGHTENED
100264,CLAMP,READJUSTED & TIGHTENED
100265,INTAKE GASKET,REMOVED & REPLACED
100266,RIVET,"REMOVED, RIVET & INSTALLED"
100267,GASKET,REMOVED & REPLACED
100268,"BAFFLE INTERCONNECT, ROD",REMOVED & REPLACED
100269,HOSE CLAMP,INSTALLED
100270,INTAKE GASKETS,INSTALLED
100271,ROCKER COVER GASKET,REMOVED & REPLACED
100272,RIVET,REMOVED & REPLACED
100273,ROCKER COVER GASKETS,REMOVED & REPLACED
100274,PROP & INSTALLED,REMOVED
100275,,CHECK
100276,OIL RETURN LINE,REMOVED & REPLACED
100277,ENGINE,REMOVED
100278,"BAFFLE, BAFFLE",REPLACED
100279,ROCKER COVER GASKET,REMOVED & REPLACED
100280,BAFFLE,
100281,,"REMOVED & REPLACED, CRACKED"
100282,INTAKE GASKETS,REMOVED & REPLACED
100283,BAFFLE SEAL,"INSTALLED, RESECURE"
100284,INTAKE GASKET,REMOVED & REPLACED
100285,ROCKER COVER GASKETS,REMOVED & REPLACED
100286,INDUCTION TUBE GASKET,INSTALLED
100287,ROCKER BOX COVER GASKETS,INSTALLED
100288,,
100289,SCREW,INSTALLED
100290,ROCKER COVER GASKET,REMOVED & REPLACED
100291,COVERS,TIGHTENED
100292,INTAKE GASKET,REMOVED & REPLACED
100293,SCREW,INSTALLED
100294,GASKET,REPLACED
100295,ROCKER COVER,REMOVED & REPLACED
100296,SCREWS,TIGHTENED
100297,INDUCTION TUBE GASKETS,INSTALLED
100298,SCREWS,TIGHTENED
100299,INTAKE GASKETS,REMOVED & REPLACED
100300,HOSE CLAMPS,TIGHTENED
100301,BAFFLE MOUNTING,"TIGHTENED, SCREW"
100302,,INSTALLED
100303,INTAKE GASKET,REMOVED & REPLACED
100304,,"REINSTALLED, SCREW"
100305,ROCKER COVER GASKET,REMOVED & REPLACED
100306,"CYL, INTAKE GASKETS",REPLACED
100307,INTAKE GASKET,REMOVED & REPLACED
100308,SCREWS,TIGHTENED
100309,GEAR,REMOVED & REPLACED
100310,INTAKE GASKETS,REMOVED & REPLACED
100311,BAFFLE PLUGS,REPLACED
100312,,"REMOVED & REPLACED, ROCKER COVER GASKET"
100313,SCREW,INSTALLED
100314,GROMMET,INSTALLED
100315,GASKET,REPLACED
100316,ROCKER COVER GASKET,REMOVED & REPLACED
100317,ROCKER COVER GASKETS,REMOVED & REPLACED
100318,PATCH,FABRICATED
100319,PATCH,
100320,BAFFLE BUTTON PLUGS,INSTALLED
100321,ROCKER COVER GASKET,REMOVED & REPLACED
100322,BLOCKAGE,REMOVED
100323,INTAKE GASKETS,REPLACED
100324,ROCKER COVER GASKET,REPLACED
100325,"1, INTAKE GASKETS",REMOVED & REPLACED
100326,INTAKE GASKET,REMOVED & REPLACED
100327,BAFFLE PLUG,REMOVED & REPLACED
100328,INTAKE GASKET,REMOVED & REPLACED
100329,,"REMOVED & REPLACED, TIE ROD"
100330,INTAKE GASKET,REMOVED & REPLACED
100331,BAFFLE PLUG,INSTALLED
100332,INTAKE GASKET,REMOVED & REPLACED
100333,GASKET,REMOVED & REPLACED
100334,ROCKER COVER GASKET,REMOVED & REPLACED
100335,,REMOVED & REPLACED
100336,GASKET,REPLACED
100337,SEAL,REMOVED & REPLACED
100338,BAFFLE SEAL,RESECURED
100339,W/ LIKE MATERIAL,PATCHED
100340,W/ LIKE MATERIAL,PATCHED
100341,ROCKER COVER GASKETS,REPLACED
100342,BAFFLE BUTTONS,REMOVED
100343,GASKET,REPLACED
100344,BAFFLE SPRING,REPLACED
100345,"BAFFLE, BRACKET SCREWS & REINSTAL",REMOVED
100346,BAFFLE PLUGS,REMOVED & REPLACED
100347,ROCKER COVER GASKET,REMOVED & REPLACED
100348,ROCKER COVER GASKET,REMOVED & REPLACED
100349,BAFFLE SCREW,INSTALLED
100350,ROCKER,REMOVED & REPLACED
100351,SCREWS,TIGHTENED
100352,SCREWS,TIGHTENED
100353,INTAKE GASKET,REMOVED & REPLACED
100354,INDUCTION TUBE GASKET,REPLACED
100355,ROCKER COVER GASKETS,REPLACED
100356,,"REMOVED & REPLACED, INTAKE GASKET"
100357,ROCKER COVER GASKET,REMOVED & REPLACED
100358,INTAKE TUBE,REMOVED & REPLACED
100359,"BAFFLE PLUG, ENGINE",INSTALLED
100360,ROCKER COVER GASKET,REMOVED & REPLACED
100361,INTAKE GASKET,REMOVED & REPLACED
100362,ROCKER COVER GASKET,REMOVED & REPLACED
100363,GASKET,REMOVED & REPLACED
100364,GASKET,REMOVED & REPLACED
100365,INTAKE GASKETS,REPLACED
100366,GASKET,REMOVED & REPLACED
100367,PUSH ROD TUBE SEALS,REPLACED
100368,ROCKER COVER GASKET,REMOVED & REPLACED
100369,ROCKER COVER GASKET,REMOVED & REPLACED
100370,PUSH ROD TUBE SEALS,REMOVED & REPLACED
100371,PATCHES,FABRICATED
100372,BAFFLE SEAL,RESECURED
100373,HOLE IN SEAL,REPAIRED
100374,BAFFLE,
100375,GASKET,REPLACED
100376,ITEMS,"INSTALLED, REMAINING"
100377,"CYL, CYL, PUSH RODS",REMOVED
100378,GASKET,REMOVED & REPLACED
100379,INTAKE GASKET,REMOVED & REPLACED
100380,ROCKER COVER GASKETS,REMOVED & REPLACED
100381,GASKETS,REMOVED & REPLACED
100382,SCREW,INSTALLED
100383,GASKET,REPLACED
100384,"CYL, EXHAUST VALVE",INSP'D
100385,BASE,TORQUED
100386,PUSH ROD TUBE SEALS,REMOVED & REPLACED
100387,CLAMPS,TIGHTENED
100388,"BAFFLE, MOUNT & REINSTALLED",REMOVED
100389,SEAL,RESECURED
100390,GASKET,REPLACED
100391,DIPSTICK,REMOVED
100392,BOLTS,INSTALLED
100393,"DRAIN TUBE CLAMPS, BAFFLE","REPOSITIONED, CLEAR"
100394,INTAKE GASKET,REMOVED & REPLACED
100395,ROCKER COVER GASKET,REMOVED & REPLACED
100396,INTAKE GASKETS,REPLACED
100397,"BAFFLE & FOUND, BAFFLE ALMOST",REMOVED
100398,GASKET,INSTALLED
100399,GASKET,REMOVED & REPLACED
100400,,INSPECTED
100401,,REMOVED & REPLACED
100402,INTAKE GASKETS,REPLACED
100403,OIL RETURN LINE,TIGHTENED
100404,,TIGHTENED & RESECURED
100405,,"TIGHTENED, SCREW"
100406,GASKET,REPLACED
100407,GASKET,REMOVED & REPLACED
100408,GASKETS,REMOVED & REPLACED
100409,GASKETS,REMOVED & REPLACED
100410,CLAMPS,TIGHTENED
100411,,CHECKED
100412,,CHECKED
100413,HOSE,REPLACED
100414,,INSTALLED
100415,,REPLACED
100416,HOSES,REPLACED
100417,BAFFLE SUPPORT,INSTALED
100418,,INSTALLED
100419,ROCKER COVER GASKET,REMOVED & REPLACED
100420,ROCKER COVER GASKET,REMOVED & REPLACED
100421,GASKET,REPLACED
100422,GASKET,REPLACED
100423,ENGINE,REMOVED
100424,BAFFLING & COMPONENTS,REMOVED
100425,"ENGINE, OIL & INSTALLED",INSTALLED
100426,ENGINE,RUN UP
100427,ROCKER COVER GASKET,REMOVED & REPLACED
100428,,INSTALLED
100429,REPOSITIONING,"TIE ROD, REMOVED & REPLACED"
100430,GASKETS,REMOVED & REPLACED
100431,,
100432,ROCKER COVER GASKETS,REMOVED & REPLACED
100433,PATCH,
100434,INTAKE GASKET,REMOVED & REPLACED
100435,ROCKER COVER GASKET,REMOVED & REPLACED
100436,ROCKER COVER GASKETS,REMOVED & REPLACED
100437,HOLE IN BAFFLE SEAL,REPAIRED
100438,"CYL, INTAKE PIPE GASKETS",REPLACED
100439,ROCKER COVER GASKET,REMOVED & REPLACED
100440,GASKETS,REPLACED
100441,INTAKE GASKETS,REMOVED & REPLACED
100442,INTAKE GASKETS,REMOVED & REPLACED
100443,INDUCTION TUBE GASKET,INSTALLED
100444,,"REPLACED, SCREW, WASHERS & NUT"
100445,,REPAIRED
100446,INTAKE GASKET,REPLACED
100447,GASKET,REMOVED & REPLACED
100448,GASKET,REMOVED & REPLACED
100449,PATCH,FABRICATED
100450,IDLE SPEEDS & MIXTURE RISE,ADJUSTED
100451,ROCKER COVER GASKET,REMOVED & REPLACED
100452,SEAL,REPOSITIONED
100453,ENGINE,RUN UP
100454,ROCKER BOX COVER GASKET,INSTALLED
100455,INTAKE GASKET,REMOVED & REPLACED
100456,INTAKE GASKET,REMOVED & REPLACED
100457,"ENGINE, DISCREPANCY",RAN
100458,IDLE MIXTURE,ADJUSTED
100459,,REMOVED & REPLACED
100460,ROCKER COVER GASKET,REMOVED & REPLACED
100461,INTAKE GASKET,REMOVED & REPLACED
100462,BAFFLE PLUG,REMOVED & REPLACED
100463,INTAKE GASKET,REMOVED & REPLACED
100464,BAFFLE & WIRE,REMOVED & REPLACED
100465,BAFFLE BRACKET & REINSTALLED,"REPLACED, RIVETS"
100466,GASKET,REPLACED
100467,,REMOVED & REPLACED
100468,PLUG,REMOVED & REPLACED
100469,ROCKER GASKETS,REMOVED & REPLACED
100470,INTAKE GASKET,REMOVED & REPLACED
100471,,
100472,"PUSH ROD SHROUD USING, SEALS",INSTALLED
100473,TRIED,
100474,SHROUD TUBE,CANNED & INSPECTED
100475,INTAKE GASKET,REMOVED & REPLACED
100476,HOSE CLAMPS,TIGHTENED
100477,ROCKER COVER GASKETS,REMOVED & REPLACED
100478,INTAKE GASKET,REMOVED & REPLACED
100479,ROCKER COVER GASKET,REMOVED & REPLACED
100480,GASKET,REMOVED & REPLACED
100481,GASKETS,REMOVED & REPLACED
100482,INTAKE GASKET,INSTALLED
100483,HOSE CLAMPS,TIGHTENED
100484,ROCKER COVER GASKET,REMOVED & REPLACED
100485,GASKETS,REMOVED & REPLACED
100486,,CHECK
100487,,FABRICATED
100488,"BAFFLE, BAFFLE","REMOVED, RIVETS & REINSTALLED"
100489,ROCKER COVER GASKET,REPLACED
100490,ROCKER COVER GASKET,REPLACED
100491,,REMOVED & REPLACED
100492,RIVET,INSTALLED
100493,ROCKER COVER GASKETS,REMOVED & REPLACED
100494,INTAKE GASKETS,REPLACED
100495,INTAKE GASKETS,REMOVED & REPLACED
100496,,
100497,ROCKER COVER GASKET,REMOVED & REPLACED
100498,GASKET,REPLACED
100499,HOSE CLAMPS,TIGHTENED
100500,,
100501,,
100502,ROCKER COVER GASKETS,REPLACED
100503,GASKET,REMOVED & REPLACED
100504,INTAKE GASKET,REMOVED & REPLACED
100505,INTAKE GASKET,REMOVED & REPLACED
100506,ROCKER COVER GASKET,REMOVED & REPLACED
100507,ROCKER COVER GASKET,REMOVED & REPLACED
100508,,REMOVED & REPLACED
100509,GASKETS,REPLACED
100510,PLUGS,REPLACED
100511,ROCKER COVER GASKETS,REMOVED & REPLACED
100512,GASKETS,REPLACED
100513,BAFFLE CAPS,INSTALLED
100514,,REPLACED
100515,ROCKER COVER GASKET,REMOVED & REPLACED
100516,INTAKE GASKETS,REMOVED & REPLACED
100517,,"REMOVED & REPLACED, ROCKER COVER GASKET"
100518,GASKET,REMOVED & REPLACED
100519,ROCKER COVER GASKET,REMOVED & REPLACED
100520,INTAKE GASKETS,REMOVED & REPLACED
100521,PATCH,FABRICATED
100522,PATCH,FABRICATED
100523,RUN,
100524,"CLAMPS, HOSE SECTION","TIGHTENED, RUBBER"
100525,INTAKE GASKETS,REMOVED & REPLACED
100526,MOUNTS,"REMOVED & REPLACED, SHOCK"
100527,ROCKER COVER GASKETS,REMOVED & REPLACED
100528,SCREWS,RETORQUED
100529,SCREWS,RETORQUED
100530,HOSE CLAMPS,TIGHTENED
100531,"PATCH, BAFFLE",FABRICATED
100532,LINE,ORDERED
100533,LINE,REMOVED & REPLACED
100534,ENGINE,"PREPPED, INSTALLATION & REINSTALLED"
100535,ENGINE,REMOVED
100536,,REMOVED TURBINE ASSY
100537,ROLLS,"CONNECTED, ROYCE"
100538,INTAKE GASKET,REMOVED & REPLACED
100539,ROCKER COVER GASKET,REMOVED & REPLACED
100540,"GASKET, GASKET","VERY, REMOVE"
100541,SCREWS,TIGHTENED
100542,INTAKE GASKET,REMOVED & REPLACED
100543,CK,CLEANED
100544,"COMPRESSION, CK, REMOVED",RO
100545,TIGHT,
100546,,RAN
100547,GASKET,REPLACED
100548,PLUG,REPLACED
100549,INTAKE GASKET,REMOVED & REPLACED
100550,,REMOVED & REPLACED
100551,GASKETS,REMOVED & REPLACED
100552,INTAKE GASKET,REMOVED & REPLACED
100553,ROCKER BOX COVER SCREWS,RETORQUED
100554,CK,RUN
100555,PISTON,
100556,"CYLINDER, CK",INSTALL
100557,"BAFFLE SUPPORT, ROD",REMOVED & REPLACED
100558,INTAKE GASKETS,REMOVED & REPLACED
100559,INTAKE TUBE GASKETS,REMOVED & REPLACED
100560,ROCKER COVER GASKETS,REMOVED & REPLACED
100561,ROCKER COVER GASKETS,REMOVED & REPLACED
100562,INTAKE GASKET,REMOVED & REPLACED
100563,ROCKER COVER GASKET,REMOVED & REPLACED
100564,INTAKE GASKET,REMOVED & REPLACED
100565,INTAKE GASKET,REMOVED & REPLACED
100566,OIL DRAIN LINE,REMOVED & REPLACED
100567,,TIGHTENED & RESAFETIED
100568,BAFFLE PLUGS,INSTALLED
100569,INTAKE GASKET,REMOVED & REPLACED
100570,GASKETS,REMOVED & REPLACED
100571,GASKET,REPLACED
100572,GASKET,REMOVED & REPLACED
100573,SCREWS,TIGHTENED
100574,INTAKE GASKETS,REMOVED & REPLACED
100575,ROCKER COVER GASKETS,REMOVED & REPLACED
100576,,
100577,ROCKER COVER GASKETS,REMOVED & REPLACED
100578,DRAIN CLAMP,SECURED
100579,SCREWS,TIGHTENED
100580,INTAKE GASKETS,REMOVED & REPLACED
100581,INTAKE GASKET,REMOVED & REPLACED
100582,ROCKER COVER GASKET,REMOVED & REPLACED
100583,INTAKE GASKET,REMOVED & REPLACED
100584,ROCKER COVER,REMOVED & REPLACED
100585,,
100586,SCREWS,TIGHTENED
100587,INTAKE GASKET,REMOVED & REPLACED
100588,GASKETS,REMOVED & REPLACED
100589,GASKETS,REMOVED & REPLACED
100590,,REMOVED & REPLACED
100591,INDUCTION TUBE GASKET,REMOVED & REPLACED
100592,SCREWS,TIGHTENED
100593,,REMOVED & REPLACED
100594,"IDLE RPM,, CK",STARTED & WARMED
100595,HOSE CLAMPS,TIGHTENED
100596,,REMOVED & REPLACED
100597,A/C,RAN
100598,INTAKE GASKET,REMOVED & REPLACED
100599,ROCKER COVER GASKET,REMOVED & REPLACED
100600,GASKET,REPLACED
100601,GASKET,REPLACED
100602,GASKET,REPLACED
100603,,REMOVED & REPLACED
100604,INTAKE GASKET,REMOVED & REPLACED
100605,GASKET,REMOVED & REPLACED
100606,GASKETS,REPLACED
100607,GASKETS,REMOVED & REPLACED
100608,,
100609,GASKET,REPLACED
100610,INTAKE GASKETS,REMOVED & REPLACED
100611,ROCKER COVER GASKETS,REMOVED & REPLACED
100612,SCREWS,TIGHTENED
100613,,REPLACED
100614,,
100615,ROCKER COVER GASKETS,REMOVED & REPLACED
100616,GASKETS,REMOVED & REPLACED
100617,,"CHECKED, VALVE"
100618,IDLE RPM PER SPECS,ADJUSTED
100619,ROCKER COVER GASKETS,REMOVED & REPLACED
100620,HOSE CLAMPS,TIGHTENED
100621,BROKEN BAFFLE,REMOVED & REPLACED
100622,INTAKE GASKET,REMOVED & REPLACED
100623,SCREWS,TIGHTENED
100624,GASKET,REMOVED & REPLACED
100625,GASKET,REMOVED & REPLACED
100626,GASKET,REMOVED & REPLACED
100627,GASKET,REPLACED
100628,BUTTON PLUGS,REPLACED
100629,GASKET,REMOVED & REPLACED
100630,GASKET,REMOVED & REPLACED
100631,,REMOVED & REPLACED
100632,PATCH,FABRICATED
100633,GASKET,REPLACED
100634,ROCKER COVER GASKETS,REMOVED & REPLACED
100635,SCREW,INSTALLED
100636,INTAKE GASKET,REMOVED & REPLACED
100637,"ALTERNATOR COOLING, HOSE",REPOSITIONED
100638,PATCH,FABRICATED
100639,"BAFFLE, RIVETS, BAFFLE",REMOVED
100640,,REPAIRED
100641,INTAKE GASKETS,REMOVED & REPLACED
100642,INTAKE GASKETS,REMOVED & REPLACED
100643,ROCKER COVER GASKETS,REMOVED & REPLACED
100644,,CLEANED
100645,BRACKET,ASSEMBLED
100646,,FABRICATED
100647,,REMOVED & REPLACED
100648,GASKETS,REMOVED & REPLACED
100649,GASKETS,REMOVED & REPLACED
100650,"PUSH ROD SEALS ON, CYL",REPLACED
100651,GASKETS,REMOVED & REPLACED
100652,INTAKE GASKETS,REMOVED & REPLACED
100653,ROCKER COVER GASKETS,REMOVED & REPLACED
100654,ROCKER COVER GASKET,REMOVED & REPLACED
100655,,REMOVED & REPLACED
100656,ROCKER COVER GASKETS,REMOVED & REPLACED
100657,,
100658,CLAMPS,TIGHTENED
100659,WASHERS,REPLACED
100660,ROCKER COVER,REMOVED & REPLACED
100661,SECTION,FABRICATED
100662,,REMOVED & REPLACED
100663,SCREW,INSTALLED
100664,,REMOVED & REPLACED
100665,ROCKER COVER GASKETS,REMOVED & REPLACED
100666,INDUCTION TUBE GASKET,REMOVED & REPLACED
100667,ROCKER COVER GASKETS,REMOVED & REPLACED
100668,ROCKER COVER GASKET,REMOVED & REPLACED
100669,ROCKER COVER GASKETS,REMOVED & REPLACED
100670,DIPSTICK,REMOVED
100671,GROMMET,INSTALLED
100672,ROCKER COVER GASKETS,REMOVED & REPLACED
100673,GASKETS,REMOVED & REPLACED
