id,engine,part,problem,cylinders,details
100380,,ROCKER COVER,LEAKING,"[2, 4]",
100391,R,BAFFLING,MISSING,,FOR R/H SIDE
100392,R,BAFFLE,MISSING,[4],BOLTS
100393,L,DRAIN HOSE CLAMP,AGAINST,[3],BAFFLE
100394,,INTAKE,LEAKING,[4],
100395,,ROCKER COVER,LEAKING,[2],
100396,,INTAKES,LEAKING,"[2, 4]",
100397,,BAFFLE MOUNT,LOOSE,[3],
100398,,ROCKER COVER,REQUIRES,[3],NEW GASKET
100399,,INTAKE,LEAKING,[4],
100400,,,KNOCKING,,"SEVERE, VIBRATIONS ON START UP"
100411,L,TORQUEMETER HOSES,REPLACE,,
100412,R,TORQUEMETER HOSES,REPLACE,,
100413,L,TORQUEMETER HOSES,REPLACE,,
100414,R,TORQUEMETER HOSES,REPLACE,,
100415,L,TORQUEMETER HOSES,REPLACE,,
100416,R,TORQUEMETER HOSES,REPLACE,,
100417,R,BAFFLE SUPPORT,BROKEN,,
100418,L,ENGINE BAFFLE,CRACKED,,
100419,,ROCKER COVER GASKET,LEAKING,[3],
100420,,ROCKER COVER GASKET,LEAKING,[3],
100431,R,LOWER BAFFLE,CRACKED,,
100432,,ROCKER COVERS,LEAKING,"[2, 3]",
100433,L,UPPER BAFFLE,CRACKED,,
100434,,INTAKE GASKET,LEAKING,[3],
100435,,ROCKER COVER,LEAKING,[2],
100436,,ROCKER COVER GASKETS,LEAKING,"[1, 3]",
100437,R,FWD BAFFLE SEAL,TORN,,
100438,,INTAKES,LEAKING,"[2, 4]",
100439,,ROCKER COVER GASKET,LEAKING,[2],
100440,,INTAKE GASKETS,LEAKING,"[2, 4]",
100451,,ROCKER COVER,LEAKING,[4],
100452,R,PUSH ROD TUBE SEAL,LEAKING,[3],
100453,,,NEED,,RUN UP & CHECKED FOR FERRY FLIGHT
100454,,ROCKER BOX COVER GASKET,LEAKING,[2],
100455,,INTAKE,LEAKING,[4],
100456,,CYLINDER INTAKE GASKET,LEAKING,[4],
100457,,,VIBRATION,,STRONG ENGINE DURING STOP & GO
100458,,,NO RISE,,DURING MIXTURE CHECK
100459,,INDUCTION TUBE GASKET,LEAKING,[2],
100460,,ROCKER BOX COVER GASKET,LEAKING,[2],
100471,,BAFFLE,CRACK,[4],
100472,,PUSH ROD TUBE,DENT,[2],SMALL
100473,,,COMPRESSION,[4],"LOW, AROUND 34 PSI"
100474,,PUSH ROD TUBE,DENT,[2],SMALL
100475,,,LEAKING,[1],
100476,,HOSE CLAMPS,LOOSE,"[1, 2, 3, 4]",
100477,,ROCKER COVER GASKETS,BROKEN,"[1, 3]",
100478,,GASKET,LEAKING,[2],
100479,,ROCKER CVOER GASKET,LEAKING,"[2, 3]",
100480,,INTAKE,LEAKING,[4],
100491,,INTAKE,LEAKING,,
100492,R,COWL BRACKET,MISSING,,
100493,,ROCKER COVERS,LEAKING,"[3, 4]",
100494,,GASKETS,LEAKING,"[1, 3, 4]",
100495,,,LEAKING,"[1, 2, 3, 4]",
100496,L,ENGINE BAFFLE,CRACKED,,
100497,,ROCKER COVER GASKET,LEAKING,[3],
100498,,INTAKE,LEAKING,[3],
100499,,HOSE CLAMPS,LOOSE,,
100500,L,ENGINE BAFFLE,CRACKED,,
100511,,ROCKER COVER GASKETS,LEAKING,"[1, 2, 4]",
100512,R,INTAKE GASKETS,LEAKING,"[1, 2, 4]",
100513,,BAFFLE SPARK PLUG CAPS,WORN,,OUT
100514,,INTAKE GASKETS,LEAKING,"[2, 4]",
100515,,ROCKER COVER GASKET,TORN,[3],
100516,,,LEAKING,"[2, 4]",
100517,,ROCKER COVER,LEAKING,[1],
100518,,CYL INTAKE GASKET,LEAKING,[4],
100519,,ROCKER COVER GASKET,LEAKING,[4],
100520,,INTAKE PIPE GASKET,LEAKING,"[2, 3, 4]",
100531,,CYL BAFFLE,CRACKED,[1],
100538,,INTAKE,LEAKING,[3],
100539,,ROCKER COVER GASKET,LEAKING,[4],
100540,,INTAKE GASKET,LEAKS,[1],
100534,,4TH STAGE NOZZLE,CRACKS,,
100535,,4TH STAGE NOZZLE,CRACKS,,
100536,,4TH STAGE NOZZLE,CRACKS,,
100537,,4TH STAGE NOZZLE,CRACKS,,
100532,,FLITTER TUBE,FRETTING,,
100533,,FLITTER TUBE,FRETTING,,
100551,R,ROCKER COVERS,LEAKING,"[1, 3]",
100552,,INDUCTION TUBE GASKET,LEAKING,[],
100553,,ROCKER BOX COVER SCREWS,LOOSE,"[1, 2, 3, 4]",
100554,,,NO,[3],COMPRESSION
100555,,,NO,[3],COMPRESSION
100556,,,NO,[3],COMPRESSION
100557,L,BAFFLE ROD,BROKEN,,
100558,R,INTAKES,LEAKING,"[3, 4]",
100559,L,INTAKES,LEAKING,"[1, 2, 3, 4]",
100560,L,ROCKER COVERS,LEAKING,"[3, 4]",
100571,R,INTAKE,LEAKS,[2],
100572,L,INTAKE,LEAKS,[2],
100573,,,LOOSE,"[1, 2, 3, 4]",
100574,,INTAKES,LEAKING,"[1, 2, 4]",
100575,,ROCKER COVERS,LEAKING,"[2, 4]",
100576,L,ENGINE BAFFLE,CRACKED,,
100577,,ROCKER COVER GASKETS,LEAKING,"[2, 3, 4]",
100578,,ROCKER DRAIN LINE CLAMP,LEAKS,[4],
100579,,BAFFLE BOLT SAFETIES,LOOSE,"[1, 3]",
100580,,INTAKE GASKETS,LEAKING,"[1, 3]",
100591,,INDUCTION TUBE GASKET,LEAKING,,
100592,,ROCKER COVER SCREWS,LOOSE,,
100593,,,,,ENG FAILURE IN FLIGHT
100594,,,,,ENG FAILURE IN FLIGHT
100595,,HOSE CLAMPS,LOOSE,"[1, 2, 3, 4]",
100596,,INTAKE GASKET,LEAKING,[2],
100598,,LUBE GASKET,LEAKING,[2],
100599,,ROCKER COVER GASKET,LEAKING,[3],
100600,,INTAKE GASKET,LEAKING,[4],
100611,,ROCKER COVERS,LEAKING,"[4, 1]",
100612,,ROCKER BOX COVER,LOOSE,,
100613,,INDUCTION TUBE GASKET,LEAKING,[2],
100614,R,BAFFLE,CRACK,,
100615,,ROCKER COVER,LEAKING,"[2, 3]",
100616,,ROCKER COVERS,LEAKING,"[1, 3]",
100617,,,STUCK,[2],VALVE
100618,,,LOW,,RPM
100619,,ROCKER COVERS,LEAKING,"[1, 2, 3]",
100620,,INDUCTION TUBE HOSE CLAMPS,LOOSE,"[1, 2, 3, 4]",
100631,L,INTAKE,LEAKING,,
100632,,ENGINE BAFFLE,CRACKED,,
100633,,INTAKE GASKET,LEAKING,[4],
100634,,ROCKER GASKETS,LEAKING,"[3, 4]",
100635,R,BAFFLE SCREW,MISSING,,
100636,R,INDUCTION TUBE GASKET,LEAKING,[3],
100637,L,ALT COOLING HOSE,CHAFING,,
100638,L,BAFFLE,CRACKED,,
100639,R,BAFFLE RIVETS,MISSING,,
100640,R,BAFFLE,CRACKED,,
100651,R,INTAKES,LEAKING,"[2, 3, 4]",
100652,L,INTAKES,LEAKING,"[2, 3, 4]",
100653,L,ROCKER COVER,LEAKING,"[1, 4]",
100654,,ROCKER COVER,LEAKING,[3],
100655,,INTAKE,LEAKING,[2],
100656,,ROCKER COVERS,LEAKING,"[2, 4]",
100657,,BAFFLE,CRACKED,[3],
100658,,OIL RETURN LINE HOSE CLAMPS,LOOSE,"[2, 4]",
100659,,MIXTURE LINKAGE,LOOSE,,
100660,,ROCKER COVER,LEAKING,[3],
100671,,BAFFLE GROMMET,TORN,[3],
100672,,ROCKER BOX COVER GASKETS,LEAKING,"[3, 4]",
100673,,INTAKE GASKETS,LEAKING,"[2, 4]",
100674,,INTAKE GASKETS,LEAKING,"[1, 3]",
100675,R,,LEAKING,"[2, 4]",
100676,L,,LEAKING,"[2, 3, 4]",
100677,L,ROCKER COVERS,LEAKING,"[3, 4]",
100678,R,ROCKER COVERS,LEAKING,"[1, 2, 3]",
100679,R,INTAKES,LEAK,"[3, 2]",
100680,L,INTAKE,LEAKING,[3],
100691,,INTAKE TUBE,LEAKING,[4],
100692,,INTAKE,LEAKING,[2],
100693,,,LEAKING,[1],
100694,,EXHAUST,CLEARANCE,[2],TOO TIGHT
100695,,LIFTER PLUNGER ASSY,CAME APART,[2],
100696,,,ROUGH,[1],
100697,,,ROUGH,[1],
100698,R,INDUCTION TUBE GASKET,LEAKING,[3],
100699,L,BAFFLE SEAL,LOOSE,,
100700,,,LATCH,,
100711,,ENGINE BAFFLE,BAD,,
100712,,ROCKER BOX COVER GASKET,LEAKING,[2],
100713,L,,LEAKING,"[1, 3]",
100714,R,INTAKE,LEAKING,[2],
100715,L,INTAKE,LEAKING,[2],
100716,R,CORNER BRACKET,CRACKED,,
100717,R,ROCKER COVERS,LEAKING,"[2, 3]",
100719,,INTAKE,LEAKING,[4],
100720,,BAFFLE SPRING,BROKEN,"[1, 3]",
100731,R,INDUCTION TUBE GASKET,LEAKING,[3],
100732,L,INDUCTION TUBE GASKET,LEAKING,[3],
100733,R,BAFFLE,MISSING,,SCREWS
100734,,,LEAKS,[1],INTAKE
100735,L,BAFFLE,WORN,,TABS
100736,,,LEAKING,[2],INTAKE
100737,,ROCKER GASKETS,LEAKING,"[3, 4]",
100738,,,WON'T,,START
100739,,,WON'T,,START
100740,,,WON'T,,START
100751,L,BAFFLE SEAL,LOOSE,[1],
100752,L,INTAKE GASKET,LEAKING,[3],
100753,L,ROCKER GASKETS,LEAKING,[],
100754,L,PUSH ROD TUBE SEAL,LEAKING,[1],
100755,,ROCKER BOX COVER SCREW,LOOSE,"[1, 2, 3, 4]",
100756,,INDUCTION TUBE GASKETS,LEAKING,"[2, 3, 4]",
100757,,INTAKE GASKET,LEAKING,"[3, 4]",
100758,,INDUCTION TUBE GASKET,LEAKING,[4],
100759,,ENGINE BAFFLES,NEED,,NEW BUTTON PLUGS
100760,R,INTAKE,LEAKING,[1],
100771,,ENGINE THREAD,STRIPPED,[3],
100772,L,INDUCTION TUBE GASKET,LEAKING,[3],
100773,,,LEAKING,[2],
100774,,INTAKE GASKET,LEAKING,[1],
100775,,ROCKER GASKET,LEAKING,[3],
100776,R,BAFFLE SPRING,BROKEN,,
100777,,BAFFLE BRACKET,PULLING,,
100778,,TOP SPINE,LEAKING,,
100779,,TOP SPINE,LEAKING,,
100780,,ROCKER COVERS,NEED,,TIGHTENING
100791,,INTAKE,LEAKING,[2],
100792,,PUSH ROD I/B SEAL,LEAKING,[2],
100793,L,BAFFLE,CRACKED,,
100794,,PUSH ROD I/B SEAL,LEAKING,[2],
100795,,GASKET,LEAKING,[2],
100796,,VALVE COVER GASKET,LEAKING,[4],
100797,,ROCKER COVERS,LOOSE,,
100798,,ROCKER COVER,LEAKING,[2],
100799,,GASKET,LEAKING,[2],
100800,,INDUCTION TUBE GASKETS,LEAKING,"[2, 3, 4]",
100811,R,ENGINE BAFFLE MOUNT BRACKET,SHEARED,,
100812,,,LOSS,,SLIGHT POWER ON TAKE OFF
100813,,,LOSS,,SLIGHT POWER ON TAKE OFF
100814,,,LEAKING,[2],INTAKE
100815,R,BAFFLE,NEED,[3],SCREW
100816,,GASKET,LEAKING,[2],INTAKE
100817,,GASKETS,LEAKING,"[3, 4]",ROCKER COVER
100818,L,ENGINE BAFFLE,CRACKED,,REAR
100819,,GASKET,LEAKING,[2],INDUCTION TUBE
100820,,GASKET,LEAKING,[2],ROCKER COVER
100831,,ROCKER COVER,BROKEN,,
100832,,INTAKE,LEAKING,[2],
100833,,ROCKER COVERS,LEAKING,"[2, 4]",
100834,,INTAKE,LEAKING,[2],
100835,,,DIRTY,,
100836,,INTAKES,LEAKING,"[1, 3]",
100837,R,BAFFLE,MISSING,,A SCREW
100838,R,BAFFLE SEAL RIVET,BROKEN,,
100839,,PUSH ROD TUBE INNER SEAL,WEEPING,[2],
100840,,PUSH ROD TUBE INNER SEAL,WEEPING,[2],
100851,L,BAFFLE O/B TIE ROD,BROKEN,,
100852,L,BAFFLE MOUNT,LOOSE,,
100853,,,IRRATICALLY,,BELOW 1150 RPM
100854,,,IRRATICALLY,,BELOW 1150 RPM
100855,,,IRRATICALLY,,BELOW 1150 RPM
100856,,,IRRATICALLY,,BELOW 1150 RPM
100857,,BAFFEL SCREW,HITTING,,MOUNT
100858,R,INTAKE GASKETS,LEAKING,"[2, 3]",
100859,,ROCKER COVER GASKETS,LEAKING,"[2, 3]",
100860,,BAFFLE,MISSING,[3],SCREW ON BRACKET
100871,R,BAFFLE SPRING,BROKEN,,
100872,R,AFT BAFFLE,CRACKED,,
100877,R,INTAKE,LEAKING,[2],
100878,L,INTAKES,LEAKING,"[2, 4]",
100879,R,ROCKER COVER,LEAKING,[2],
100880,R,BAFFLE SPRING,BROKEN,,
100891,,,READ,"[2, 3, 4]",HIGH 100 - 150 DEGREES ABOVE OTHER CYLS
100892,L,MAGNETO,DROP,,300 RPM ON RUN UP. LEANE
100893,,INTAKE GASKETS,LEAKING,"[2, 3]",
100894,,ROCKER COVERS,LEAKING,"[1, 2]",
100895,R,COWL SEAL,LOOSE,,L/H SIDE FWD
100896,L,ROCKER COVERS,LEAKING,"[3, 4]",
100897,R,ROCKER COVERS,LEAKING,"[3, 4]",
100898,,INTAKE GASKETS,LEAKING,"[2, 4]",
100899,,ROCKER COVER GASKET,LEAKING,[3],
100900,,ROCKER COVERS,LEAKING,"[1, 2]",
100911,,,VIBRATION,,
100912,,,LEAKING,[2],
100913,,,COMPRESSION,[4],NO
100914,,,COMPRESSION,[4],NO
100915,,EXT VALVE,STICKING,[1],
100916,,EXT VALVE,STICKING,[1],
100917,,EXT VALVE,STICKING,[1],
100918,,BAFFLE BRACKET,LOOSE,[3],
100919,,ROCKER COVER GASKET,LEAKING,[3],
100920,,FRONT RUBBER BAFFLE,CHAFING,,
100931,,INTAKE GASKET,LEAKING,[2],
100932,,ROCKER COVER,LEAKING,[2],
100933,,INTAKE GASKET,LEAKING,[3],
100934,,ROCKER COVER GASKET,LEAKING,[4],
100935,,BAFFLE MOUNT SCREW,LOOSE,,BEHIND DIPSTICK TUBE
100936,,ROCKER COVER,LEAKING,[2],
100937,,INTAKE GASKET,LEAKING,[2],
100938,,ROCKER COVER,LEAKING,[3],
100939,,BAFFLE SEAL,NOT ATTACHED,,FRONT R/H
100940,,,ROUGH,,
100951,,ROCKER COVER GASKET,LEAKING,[2],
100952,L,,,,FULL POWER ONLY RESULTS IN 2640 RPM ON L/H ENGINE & 2600 RPM
100953,L,INTAKE,LEAKING,[4],
100954,R,BAFFLE SEALS,NEED,"[3, 4]",
100955,L,BAFFLE SEAL,NEEDS,"[4, 2]",TO BE REATTAC
100956,,ROCKER COVER,LEAKING,[2],
100957,R,BAFFLE SCREW,LOOSE,,
100958,,ROCKER COVER SCREWS,LOOSE,[4],
100959,,INTAKE GASKET,LEAKING,[2],
100960,,ROCKER COVER,MISSING,[2],A SCREW
100971,,ROCKER COVER,LEAKING,[1],
100972,,INTAKE,LEAKING,[4],
100973,,ROCKER COVER,LEAKING,[2],
100974,L,BAFFLE TIE ROD,BROKEN,,
100975,L,BAFFLE,MISSING,,RUBBER PLUG
100976,,,NOT,,HITTING FULL RICH
100977,,INTAKE TUBE GASKET,LEAKING,[1],
100978,L,INTAKES,LEAKING,"[1, 2, 3]",
100979,R,BAFFLE TIE ROD,LOOSE,,
100980,R,INTAKES,LEAKING,"[2, 3, 4]",
100991,,INDUCTION TUBE GASKET,LEAKING,,
100992,,,RUBBING,,DIAGONAL
100993,,ROCKER GASKET,LEAKING,[4],
100994,,INNER EXHAUST PUSH ROD SEAL,LEAKING,[3],
100995,,,NEED,,POWER
100996,,INTAKE,LEAKING,[1],
100997,,INTAKE GASKET,LEAKING,[4],
100998,,,DIED,,DURING IDLE CK
100999,,INTAKE,LEAKING,[3],
101000,L,INTAKE,LEAKING,[2],
101011,R,BAFFLE MOUNT SCREW,MISSING,,
101012,,BAFFLE,CRACKED,,UNDER HEAT SHROUD AIR INTAKE
101013,,ROCKER COVER,LEAKING,[4],
101014,,ROCKER COVER GASKET,LEAKING,[4],
101015,,BAFFLE PLUG,MISSING,,
101016,,,,,"WHILE ADJUSTING MIXTURE, A/C WOULD START TO QUIT @ 1450"
101017,,SIDE BAFFLE,CRACKED,"[1, 3]",
101018,,BAFFLE SCREW,MISSING,[2],AT FRONT OF #2 CYL
101019,,INTAKE GASKET,LEAKS,[2],
101020,,INTAKE,LEAKING,[2],
101031,,,,,
101032,R,INTAKE TUBE GASKET,LEAKING,[3],
101033,L,ROCKER COVER,LEAKING,"[2, 3, 4]",
101034,,BAFFLE,CRACKED,[1],
101035,,BAFFLE SEAL,LOOSE,[3],
101036,,BAFFLE,CRACKED,,
101037,L,,BACK FIRED,,WHEN BROUGHT TO 1800 RPM. RIGHT MAG DROP
101038,L,,BACK FIRED,,WHEN BROUGHT TO 1800 RPM. RIGHT MAG DROP
101039,L,,BACK FIRED,,WHEN BROUGHT TO 1800 RPM. RIGHT MAG DROP
101040,L,,BACK FIRED,,WHEN BROUGHT TO 1800 RPM. RIGHT MAG DROP
101051,,ROCKER GASKETS,LEAKING,"[2, 4]",
101052,,ROCKER COVER GASKET,LEAKING,[4],
101053,R,OIL COOLER BAFFLE,CRACKED,,
101054,L,ROCKER COVER,LEAKING,[2],
101055,,OIL DIPSTICK TUBES,LOOSE,,
101056,L,BAFFLE,CRACKED,[4],
101057,R,BAFFLE,MISSING,[1],
101058,R,OIL COOLER BAFFLE,CRACKED,,
101059,,BAFFLE,CRACKED,,
101060,,ENGINE BAFFLE PLUGS,BROKEN,,
101071,,BELT,LOOSE,,
101072,,INTAKE,LEAKING,[4],
101073,,SPARK PLUG,WORN,,HOLE PLUGS ARE
101074,,BAFFLE,WORN,,HOLE COVERS ARE
101075,,INTAKE,LEAKING,"[1, 3]",
101076,,ROCKER COVER GASKET,LEAKING,[2],
101077,R,INTAKE,LEAKING,[4],
101078,,,EXCEEDED,,MAX RPM
