IDENT,PROBLEM,PROBLEM_TYPE,LOCATION,PROBLEM_PART,TAGGEDPROBLEM,EFFECT,ACTION,ACTION_TYPE,INSTALL/REPLACE WITH,ACTION_PART,TAGGEDACTION,CAUSE
100015,#2 ROCKER COVER GASKET LEAKING.,OK,#2,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100016,#1 & 3 ROCKER COVER GASKET LEAKING.,OK,#1 & 3,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100017,ROCKER BOX COVER SCREWS LOOSE.,OK,,ROCKER BOX COVER SCREWS,LOOSE,,TIGHTENED SCREWS.,,,SCREW,TIGHTENED,
100018,#1 ENGINE BAFFLE CRACKED.,OK,#1 ENGINE,BAFFLE,CRACKED,,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,,LIKE MATERIAL,PATCH,FABRICATED & RIVETED,
100019,#1 INTAKE GASKET LEAKING.,OK,#1,INTAKE GASKET,LEAKING,,REPLACED WITH NEW GASKET.,,NEW,GASKET,REPLACED,
100020,ROCKER COVER FOR CYLINDER #1 IS LEAKING.,OK,CYLINDER #1,ROCKER COVER,LEAKING,,REPLACED ROCKER COVER.,,,ROCKER COVER,REPLACED,
100021,CYLINDER #4 INTAKE LEAKING.,OK,CYLINDER #4,INTAKE,LEAKING,,REPLACED GASKET. LEAK CHECK GOOD.,,,"GASKET , LEAK","REPLACED , CHECK",
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,OK,#2 & 4 CYLINDER,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,,,"ROCKER COVER GASKET , LEAK","REMOVED & REPLACED , CLEANED",
100023,ROCKER BOX COVER SCREWS ARE LOOSE.,OK,,ROCKER BOX COVER SCREWS,LOOSE,,TIGHTENED SCREWS.,,,SCREW,TIGHTENED,
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).,OK,ALL CYLINDER,INDUCTION TUBE HOSE CLAMPS,LOOSE,,TIGHTENED HOSE CLAMPS.,,,HOSE CLAMP,TIGHTENED,
100025,#1 INTAKE GASKET LEAKING.,OK,#1,INTAKE GASKET,LEAKING,,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",,,"INTAKE TUBE , CRACK","REMOVED , FOUND",TUBE TO BE CRACKED
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDERS).,OK,ALL CYLINDERS,INDUCTION TUBE HOSE CLAMPS,LOOSE,,TIGHTENED HOSE CLAMPS.,,,HOSE CLAMP,TIGHTENED,
100027,R/H MAGNETOS BLAST TUBE FELL OFF.,OK,R/H,MAGNETOS BLAST TUBE,FELL OFF,,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,,,BAFFLE,"REMOVED , FABRICATED",
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",OK,ENGINE,,ROUGH,,"INSPECTED CYLINDER 1, 2 & 4 IAW - CHECK OK. REMOVED",,,,"INSPECTED , CHECK , REMOVED",
100029,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",OK,ENGINE,,ROUGH,,"PERFORMED COMPRESSION CHECK, CYLINDER #3 INDICATED ZERO PSI.",,,COMPRESSION,CHECK,
100030,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",OK,ENGINE,,ROUGH,,"COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.",,,BAFFLE & OIL FILLER TUBE & SPARK PLUG,INSTALLED,
100031,#4 ROCKER COVER GASKET LEAKING.,OK,#4,ROCKER COVER GASKET,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
100032,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED,OK,RIGHT ENGINE #4,AIR BAFFLE,CRACKED,,REMOVED & REPLACED #4 AIR BAFFLE.,,,AIR BAFFLE,REMOVED & REPLACED,
100033,R/H ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,OK,R/H ENGINE FORWARD,ALTERNATOR ATTACH BOLT,LOOSE,,SECURED ALTERNATOR ATTACH BOLT & RESAFETIED.,,,ALTERNATOR ATTACH BOLT,SECURED & RESAFETIED,
100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,OK,L/H ENGINE #4 AFT,BAFFLE,CRACKED,,REPLACED BAFFLE ASSY.,,,BAFFLE,REPLACED,
100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",OK,RIGHT ENGINE ALL,VALVE COVERS,LEAKING,,REMOVED & REPLACED ALL ROCKER GASKETS.,,,ROCKER GASKET,REMOVED & REPLACED,
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,OK,L/H ENGINE ALL 4,ROCKER COVER GASKETS,LEAKING,,REPLACED ALL ROCKER COVER GASKETS.,,,ROCKER COVER GASKET,REPLACED,
100037,L/H ENGINE #2 INTAKE LEAKING.,OK,L/H ENGINE #2,INTAKE,LEAKING,,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",,,TUBE,"REMOVED, FOUND",CRACKED
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOP. E",OK,"ENGINE, RIGHT MAGNETOS",,"ROUGH , INOP",,"RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.",,,"A/C, MAGS & POWER &LEAK","RAN, CHECK",
100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOP. E",OK,"ENGINE, RIGHT MAGNETOS",,"ROUGH , INOP",,"REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G",,,"CYL, FUEL DISTRIBUTOR LINE","REMOVED , DISCONNECTED",
100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOP. E",OK,"ENGINE, RIGHT MAGNETOS",,"ROUGH , INOP",,"REASSEMBLED ENGINE, #3 CYLINDER DRY TAPPET CLEARANCE CHECK G",,,ENGINE,REASSEMBLED,
100041,#4 INTAKE LEAKING.,OK,#4,INTAKE,LEAKING,,REMOVED & REPLACED #4 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
100042,#3 ROCKER COVER GASKET LEAKING.,OK,#3,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100043,TOP L/H BAFFLE HAS A CRACK.,OK,TOP L/H,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
100044,OIL DIPSTICK OIL STICK IS LOOSE.,OK,,OIL DIPSTICK OIL STICK,LOOSE,,REMOVED & REPLACED DIPSTICK.,,,DIPSTICK,REMOVED & REPLACED,
100045,#3 BRAKE MISSING SCREW.,OK,#3,BRAKE SCREW,MISSING,,REPLACED SCREW.,,,SCREW,REPLACED,
100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,OK,R/H SIDE,BAFFLE SEALS,TORN,,APPLIED SILICONE TO TORN AREAS.,,,SILICONE,APPLIED,
100047,#2 & 4 ROCKER COVERS ARE LEAKING.,OK,#2 & 4,ROCKER COVERS,LEAKING,,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100048,#3 AFT BAFFLE BRACKET LOOSE.,OK,#3 AFT,BAFFLE BRACKET,LOOSE,,REMOVED & REPLACED MISSING RIVETS WITH SCREWS & NUTS.,,WITH SCREW & NUT,RIVET,REMOVED & REPLACED,
100049,#4 CYLINDER ROCKER COVER IS LEAKING.,OK,#4 CYLINDER,ROCKER COVER,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",OK,"#1, 2, & 6",COWL MOUNTS,TORN,,REMOVED & REPLACED MOUNTS.,,,MOUNTS,REMOVED & REPLACED,
100051,#4 INTAKE LEAKING.,OK,#4,INTAKE,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
100052,#2 & 4 ROCKER COVERS LEAKING.,OK,#2 & 4,ROCKER COVERS,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED & REPLACED,
100053,#4 INTAKE IS LEAKING.,OK,#4,INTAKE,LEAKING,,REPLACED GASKET & INSPECTED INTAKE TUBE.,,,"GASKET, INTAKE TUBE","REPLACED , INSPECTED",
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE",OK,ENGINE,,QUIT,,"ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R",,,IDLE,ADJUSTED,
100055,L/H BAFFLE PLUG WORN.,OK,L/H,BAFFLE PLUG,WORN,,REMOVED & REPLACED PLUG.,,,PLUG,REMOVED & REPLACED,
100056,#1 ROCKER COVER LEAKING.,OK,#1,ROCKER COVER,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,OK,L/H ENGINE #2 & 4,BAFFLE SEALS,LOOSE,,SECURED SEALS.,,,SEAL,SECURED,
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,OK,R/H ENGINE #3 AFT,BAFFLE SEAL,LOOSE,,SECURED BAFFLE SEAL.,,,BAFFLE SEAL,SECURED,
100059,#3 ROCKER COVER GASKET TORN.,OK,#3,ROCKER COVER GASKET,TORN,,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100060,#4 ROCKER COVER GASKET TORN.,OK,#4,ROCKER COVER GASKET,TORN,,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100061,#1 ROCKER COVER GASKET LEAKING.,OK,#1,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER WITH NEW.,,NEW,ROCKER COVER,REMOVED & REPLACED,
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESSURE (ENGINE).,OK,ENGINE,OIL PRESSURE,PRESSURE,,ADJUSTED ENGINE OIL PRESSURE RELIEF VALVE.,,,OIL PRESSURE RELIEF VALVE,ADJUSTED,
100063,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESSURE (ENGINE).,OK,ENGINE,OIL PRESSURE,PRESSURE,,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESSURE CHECKED OK.",,,OIL PRESSURE,CHECK,
100064,STUDENT COULDN'T START A/C.,OK,A/C,,COULDN'T START,,STARTED A/C FOR STUDENT.,,,A/C,STARTED,
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,OK,,VACUUM TUBE & OIL COOLER LINE,RUBBING,,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED",,,"ADEL CLAMP , ZIP TIES","MOVED , APPLIED",
100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",OK,A/C,,RPM,,ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA,,,IDLE,ADJUSTED,
100067,FUEL PRESSURE 32 - 33 WITH JUMPS INTO RED.,OK,,FUEL PRESSURE,PRESSURE,,CLEANED TRANSDUCER GROUND PATH. FUEL PRESSURE CHECKED GOOD,,,"TRANSDUCER GROUND PATH , FUEL PRESSURE","CLEANED , CHECKED",
100068,R/H ENGINE #2 INTAKE LEAKS.,OK,R/H ENGINE #2,INTAKE,LEAKS,,REPLACED GASKET.,,,GASKET,REPLACED,
100069,L/H ENGINE #4 CYLINDER BAFFLE CRACKED.,OK,L/H ENGINE #4,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
100070,R/H ENGINE #4 CYLINDER BAFFLE CRACKED.,OK,#4 CYLINDER,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,DIFFICULT,,,,,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",,,"A/C , IDLE SPEED","RAN, ADJUSTED , CHECK",
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,OK,#2 & 4 SIDE,BAFFLE BRACE,BROKEN,,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,,,BRACE,FABRICATED & INSTALLED,
100073,#4 CYLINDER INTAKE GASKET IS LEAKING.,OK,#4 CYLINDER,INTAKE GASKET,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
100074,#4 ROCKER BOX COVER GASKET LEAKING.,OK,#4,ROCKER BOX COVER GASKET,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100075,BAFFLE PLUG HOLE WORN.,OK,,BAFFLE PLUG HOLE,WORN,,INSTALLED PATCH & NEW PLUG.,,NEW,PATCH & PLUG,INSTALLED,
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,OK,ENGINE,,ROUGH & VIBRATING,,"RAN A/C, OPS & LEAK CHECK GOOD.",,,"A/C , OPS & LEAK","RAN , CHECK",
100077,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,OK,ENGINE,,ROUGH & VIBRATING,,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYLINDER HAD VERY L,,,"A/C , DISCREPANCY","RAN, CONFIRMED , FOUND", #3 CYLINDER HAD VERY L
100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,OK,ENGINE,,ROUGH & VIBRATING,,COMPLETED REASSEMBLY OF #3 CYLINDER ASSY. INSTALLED NEW INTA,,NEW,"CYLINDER, INTAKE","REASSEMBLY, INSTALLED",
100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,OK,ENGINE,,ROUGH & VIBRATING,,REMOVED #3 CYL. INSTALLED SERVICEABLE CYLINDER ASSY. TORQUED,,,"CYLINDER , CYLINDER ASSEMBLY","REMOVED , INSTALLED , TORQUED",
100080,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,OK,ENGINE,,ROUGH & VIBRATING,,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW",,,"EXHAUST VALVE , GUIDES","DISASSEMBLED , REAMED",
100081,#2 INTAKE LEAKS.,OK,#2,INTAKE,LEAKS,,REPLACED GASKET.,,,GASKET,REPLACED,
100082,#4 INTAKE LEAKS.,OK,#4,INTAKE,LEAKS,,REPLACED GASKET.,,,GASKET,REPLACED,
100083,#3 INTAKE TUBE GASKET IS LEAKING.,OK,#3,INTAKE TUBE GASKET,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,OK,#3 & 4,ROCKER COVER GASKETS,LEAKING,,REPLACED GASKETS.,,,GASKETS,REPLACED,
100085,ENGINE WOULD NOT START.,OK,ENGINE,,WOULD NOT START,,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA",,,"ENGINE , MIXTURE","STARTED , LEANED",
100086,#2 INTAKE IS LEAKING.,OK,#2,INTAKE,LEAKING,,REMOVED & REPLACED #2 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",OK,TOP FRONT R/H,BAFFLE SEAL,PULLED,,DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H,,,"RIVET , SCREW & NUT","DRILLED, INSTALLED",
100088,ROCKER BOX COVER SCREWS LOOSE.,OK,,ROCKER BOX COVER SCREWS,LOOSE,,TIGHTENED SCREWS.,,,SCREW,TIGHTENED,
100089,#2 INDUCTION TUBE GASKET LEAKING.,OK,#2,INDUCTION TUBE GASKET,LEAKING,,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,,,INDUCTION TUBE GASKET,REMOVED & REPLACED,
100090,#2 & 4 ROCKER COVERS ARE LEAKING.,OK,#2 & 4,ROCKER COVERS,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED & REPLACED,
100091,#1 INTAKE LEAKING.,OK,#1,INTAKE,LEAKING,,REMOVED & REPLACED #1 INTAKE GASKET WITH NEW.,,NEW,INTAKE GASKET,REMOVED & REPLACED,
100092,#3 & 4 ROCKER COVERS LEAKING.,OK,#3 & 4,ROCKER COVERS,LEAKING,,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS WITH NEW.,,NEW,ROCKER COVER GASKET,REMOVED & REPLACED,
100093,#1 ROCKER COVER IS LEAKING.,OK,#1,ROCKER COVER,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100094,L/H ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.,OK,L/H ENGINE #4 CYLINDER,INTAKE GASKET,LEAKING,,REMOVED & REPLACED #4 INTAKE GASKET WITH NEW.,,NEW,INTAKE GASKET,REMOVED & REPLACED,
100095,ROCKER BOX COVER SCREWS LOOSE.,OK,,ROCKER BOX COVER SCREWS,LOOSE,,TIGHTENED SCREWS.,,,SCREW,TIGHTENED,
100096,#4 ROCKER COVER LEAKING.,OK,#4,ROCKER COVER,LEAKING,,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,OK,#2,OIL RETURN LINE HOSE CLAMP,LOOSE,,TIGHTENED HOSE CLAMP.,,,HOSE CLAMP,TIGHTENED,
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,OK,ENGINE,,ROUGH,,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,,,EXHAUST VALVE GUIDES,"REAMING , INSTALLED",
100099,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,OK,ENGINE,,ROUGH,,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXHAUST",,,"COWLING, SPARK PLUG, EXHAUST","REMOVED , REAMED, REAMED",
100100,#3 ROCKER COVER IS LEAKING.,OK,#3,ROCKER COVER,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,OK,ENTIRE RIGHT SIDE OF FUSELAGE,OIL,FOUND,,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U",,,"COWLING , ENGINE","REMOVED , CLEANED & RUN",
100102,R/H ENGINE #4 CYLINDER BAFFLE BOLT MISSING.,OK,R/H ENGINE #4,BAFFLE BOLT,MISSING,,INSTALLED NEW BOLT.,,NEW,BOLT,INSTALLED,
100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,OK,R/H ENGINE #1 & 4,ROCKER COVERS,LEAKING,,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.",,,ROCKER COVER GASKET,REMOVED & REPLACED,
100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,OK,L/H ENGINE #1 & 3,ROCKER COVERS,LEAKING,,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &",,,ROCKER COVER GASKET,REMOVED & REPLACED,
100105,ENGINE DIED DURING MAGNETOS CK.,OK,ENGINE,,DIED,,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,,,A/C,STARTED & RAN,
100106,#3 ROCKER COVER GASKET LEAKING.,OK,#3,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100107,"#2, 4 ROCKER COVER GASKET LEAKING.",OK,"#2, 4",ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100108,#2 & 4 CYLINDER OIL RETURN LINE CLAMPS LOOSE.,OK,#2 & 4 CYLINDER,OIL RETURN LINE CLAMPS,LOOSE,,TIGHTENED CLAMPS.,,,CLAMP,TIGHTENED,
100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,OK,R/H ENGINE #2,INTAKE GASKET,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,OK,UNDER BOTH PROP GOVERNORS,BAFFLE SEALS,LOOSE,,RESECURED BAFFLE SEALS.,,,BAFFLE SEAL,RESECURED,
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,OK,L/H ENGINE #4 AFT,BAFFLE,CRACKED,,INSTALLED REPAIRED BAFFLING.,,REPAIRED,BAFFLING,INSTALLED,
100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,OK,L/H ENGINE #4 AFT,BAFFLE,CRACKED,,REMOVED BAFFLE & SWAPPED ACCESSORIES.,,,"BAFFLE, ACCESSORIES","REMOVED , SWAPPED",
100113,#2 INTAKE IS LEAKING.,OK,#2,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
100114,#1 L/H INTAKE HAS LARGE GOUGE.,OK,L/H,INTAKE,GOUGE,,REMOVED & REPLACED #1 L/H INTAKE PIPE WITH SERVICEABLE PI,,WITH SERVICEABLE PI,INTAKE PIPE,REMOVED & REPLACED,
100115,L/H ENGINE #3 ROCKER COVER LEAKING.,OK,L/H ENGINE #3,ROCKER COVER,LEAKING,,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100116,#2 CYLINDER HAS LOW COMPRESSION.,OK,#2 CYLINDER,,COMPRESSION,,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMPRESSOR,,,"ROCKER COVER , INTAKE VALVE","REMOVED , STAKED",
100117,#4 ROCKER COVER IS LEAKING.,OK,#4,ROCKER COVER,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
100118,L/H SIDE OF ENGINE FORWARD RUBBER SEAL LOOSE.,OK,L/H SIDE FORWARD,RUBBER SEAL,LOOSE,,SECURED BAFFLE SEAL.,,,BAFFLE SEAL,SECURED,
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,OK,#1 & 3,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED &REPLACED,
100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,OK,R/H FRONT SIDE,BAFFLE,CRACKED,,STOP DRILLED CRACK & FABRICATED PATCH WITH LIKE MATERIAL.,,WITH LIKE MATERIAL,"DRILLED CRACK, PATCH","STOP , FABRICATED",
100121,CYLINDER #4 INTAKE IS LEAKING.,OK,CYLINDER #4,INTAKE,LEAKING,,REPLACED INTAKE GASKET.,,,INTAKE GASKET,REPLACED,
100122,#2 INTAKE IS LEAKING.,OK,#2,INTAKE,LEAKING,,REMOVED & REPLACED #2 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
100123,#4 ROCKER COVER IS LEAKING.,OK,#4,ROCKER COVER,LEAKING,,REMOVED & REPLACED #4 ROCKER GASKET.,,,ROCKER GASKET,REMOVED & REPLACED,
100124,R/H ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.,OK,R/H ENGINE #4 CYLINDER,INTAKE GASKET,LEAKING,,INSTALLED NEW #4 INTAKE GASKET.,,NEW,INTAKE GASKET,INSTALLED,
100125,SCREW IS MISSING ON #3 CYLINDER BAFFLE.,OK,#3 CYLINDER,BAFFLE SCREW,MISSING,,INSTALLED NEW SCREW.,,NEW,SCREW,INSTALLED,
