IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE,WITH,INSTALL TYPE,ACTIONPART,TAGGEDACTION,CAUSE
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL  CYLINDER).,Ok,ALL  CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",Ok,"#1, 2 & 3",ROCKER BOX COVER GASKET,LEAKING,INSTALLED NEW ROCKER BOX COVER GASKETS.,,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
100015,#2 ROCKER COVER GASKET LEAKING.,Ok,#2,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100016,#1 & 3 ROCKER COVER GASKET LEAKING.,Ok,#1 & 3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100017,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100018,#1 ENGINE BAFFLE CRACKED.,Ok,#1 ENGINE,BAFFLE,CRACKED,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,,,,"PATCH , IAW","FABRICATED , RIVETED",
100019,#1 INTAKE GASKET LEAKING.,Ok,#1,INTAKE GASKET,LEAKING,REPLACED WITH NEW GASKET.,,WITH NEW,,GASKET,REPLACED,
100020,ROCKER COVER FOR CYLINDER #1 IS LEAKING.,Ok,CYLINDER #1,ROCKER COVER,LEAKING,REPLACED ROCKER COVER.,,,,ROCKER COVER,REPLACED,
100021,CYLINDER #4 INTAKE LEAKING.,Ok,CYLINDER #4,INTAKE,LEAKING,REPLACED GASKET. LEAK CHECK GOOD.,,,,"GASKET , LEAK","REPLACED , CHECKED",
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,Ok,#2 & 4 CYLINDER,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,,,,"ROCKER COVER GASKET , LEAK","REMOVED & REPLACED, CLEANED",
100023,ROCKER BOX COVER SCREWS ARE LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).,Ok,ALL CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100025,#1 INTAKE GASKET LEAKING.,Ok,#1,INTAKE GASKET,LEAKING,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",,,,"INTAKE TUBE , CRACK","REMOVED , FOUND",FOUND TUBE TO BE CRACKED
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL  CYLINDER).,Ok,ALL  CYLINDER,INDUCTION TUBE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMPS.,,,,HOSE CLAMP,TIGHTENED,
100027,R/H MAGNET BLAST TUBE FELL OFF.,Ok,R/H,MAGNET BLAST TUBE,FELL OFF,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,,,,BAFFLE,"REMOVED , FABRICATED",
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",Ok,ENGINE,,RUN ROUGH,"INSPECTED CYLINDER 1, 2 & 4 IAW - CK'ED OK. REMOVED",,,,IAW,"INSPECTED & CHECKED , REMOVED",
100029,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",Ok,ENGINE,,RUN ROUGH,"PERFORMED COMPRESSION CHECK, CYLINDER #3 INDICATED ZERO PSI.",,,,COMPRESSION,CHECKED,
100030,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP",Ok,ENGINE,,RUN ROUGH,"COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.",,,,BAFFLE & OIL FILLER TUBE & SPARK PLUG,INSTALLED,
100031,#4 ROCKER COVER GASKET LEAKING.,Ok,#4,ROCKER COVER GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100032,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED,Ok,RIGHT ENGINE #4,AIR BAFFLE,CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,,,,AIR BAFFLE,REMOVED & REPLACED,
100033,R/H ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,Ok,R/H ENGINE FORWARD,ALTERNATOR ATTACH BOLT,LOOSE,SECURED ALTERNATOR ATTACH BOLT & RESAFETIED.,,,,ALTERNATOR ATTACH BOLT,SECURED  & RESAFETIED.,
100034,L/H ENGINE #4 AFT BAFFL ECRACKED IN MULTIPLE PLACES.,Ok,L/H ENGINE #4 AFT,BAFFL,CRACKED,REPLACED BAFFLE ASSEMBLY.,,,,BAFFLE,REPLACED,
100035,"RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING.",Ok,RIGHT ENGINE ALL,VALVE COVER,LEAKING,REMOVED & REPLACED ALL ROCKER GASKETS.,,,,ROCKER GASKET,REMOVED & REPLACED,
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,Ok,L/H ENGINE ALL 4,ROCKER COVER GASKET,LEAKING,REPLACED ALL ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REPLACED,
100037,L/H ENGINE #2 INTAKE LEAKING.,Ok,L/H ENGINE #2,INTAKE,LEAKING,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",,,,TUBE,REMOVED,FOUND TO BE CRACKED
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNET INOPERABLE . E",Ok,ENGINE,,RUN ROUGH,"RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.",,,,"A/C, MAGS","RAN, CHECKED",
100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNET INOPERABLE . E",Ok,ENGINE,,RUN ROUGH,"REMOVED #3 CYLINDER, DISCONNECTED FUEL DISTRIBUTOR LINE TO G",,,,FUEL DISTRIBUTOR LINE,DISCONNECTED,
100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNET INOPERABLE . E",Ok,ENGINE,,RUN ROUGH,"REASSEMBLED ENGINE, #3 CYLINDER DRY TAPPET CLEARANCE CHECK G",,,,ENGINE,REASSEMBLED,
100041,#4 INTAKE LEAKING.,Ok,#4,INTAKE,LEAKING,REMOVED & REPLACED #4 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100042,#3 ROCKER COVER GASKET LEAKING.,Ok,#3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100043,TOP L/H BAFFLE HAS A CRACK.,Ok,TOP L/H,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100044,OIL DIPSTICK OIL STICK IS LOOSE.,Ok,,OIL DIPSTICK OIL STICK,LOOSE,REMOVED & REPLACED DIPSTICK.,,,,DIPSTICK,REMOVED & REPLACED,
100045,#3 BRAKE MISSING SCREW.,Ok,#3,BRAKET SCREW,MISSING,REPLACED SCREW.,,,,SCREW,REPLACED,
100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,Ok,R/H SIDE,BAFFLE SEAL,TORN,APPLIED SILICONE TO TORN AREAS.,,,,SILICONE,APPLIED,
100047,#2 & 4 ROCKER COVERS ARE LEAKING.,Ok,#2 & 4,ROCKER COVER,LEAKING,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100048,#3 AFT BAFFLE BRACKET LOOSE.,Ok,#3 AFT,BAFFLE BRACKET,LOOSE,REMOVED & REPLACED MISSING RIVETS WITH SCREWS & NUTS.,,WITH SCREW & NUT,,RIVET,REMOVED & REPLACED,
100049,#4 CYLINDER ROCKER COVER IS LEAKING.,Ok,#4 CYLINDER,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",Ok,"#1, 2, & 6",COWL MOUNTS,TORN,REMOVED & REPLACED MOUNTS.,,,,MOUNTS,REMOVED & REPLACED,
100051,#4 INTAKE LEAKING.,Ok,#4,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100052,#2 & 4 ROCKER COVERS LEAKING.,Ok,#2 & 4,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100053,#4 INTAKE IS LEAKING.,Ok,#4,INTAKE,LEAKING,REPLACED GASKET & INSPECTED INTAKE TUBE.,,,,"GASKET, INTAKE TUBE","REPLACED , INSPECTED",
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE",Ok,ENGINE,,QUIT,"ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R",,,,IDLE,ADJUSTED,
100055,L/H BAFFLE PLUG WORN.,Ok,L/H,BAFFLE PLUG,WORN,REMOVED & REPLACED PLUG.,,,,PLUG,REMOVED & REPLACED,
100056,#1 ROCKER COVER LEAKING.,Ok,#1,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,Ok,L/H ENGINE #2 & 4,BAFFLE SEAL,LOOSE,SECURED SEALS.,,,,SEAL,SECURED,
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,Ok,R/H ENGINE #3 AFT,BAFFLE SEAL,LOOSE,SECURED BAFFLE SEAL.,,,,BAFFLE SEAL,SECURED,
100059,#3 ROCKER COVER GASKET TORN.,Ok,#3,ROCKER COVER GASKET,TORN,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100060,#4 ROCKER COVER GASKET TORN.,Ok,#4,ROCKER COVER GASKET,TORN,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100061,#1 ROCKER COVER GASKET LEAKING.,Ok,#1,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER WITH NEW.,,WITH NEW,,ROCKER COVER,REMOVED & REPLACED,
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,Ok,ENGINE,,HIGH OIL PRESS,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,,,,OIL PRESSURE RELIEF VALVE,ADJUSTED,
100063,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,Ok,ENGINE,,HIGH OIL PRESS,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK.",,,,OIL PRESSURE,CHECKED,
100064,STUDENT COULDN'T START A/C.,DIFFICULT,,,,STARTED A/C FOR STUDENT.,,,,A/C,STARTED,
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,Ok,,VACUUM TUBE & OIL COOLER LINE,RUBBING,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED",,,,"ADEL CLAMP , ZIP TIES","MOVED , APPLIED",
100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",DIFFICULT,,,,ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA,,,,IDLE,ADJUSTED,
100067,FUEL PRESS 32 - 33 WITH JUMPS INTO RED.,Ok,,FUEL PRESS,JUMPS INTO RED,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,,,,"TRANSDUCER GROUND PATH , FUEL PRESSURE","CLEANED , CHECKED",
100068,R/H ENGINE #2 INTAKE LEAKS.,Ok,R/H ENGINE #2,INTAKE,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100069,L/H ENGINE #4 CYLINDER BAFFLE CRACKED.,Ok,L/H ENGINE #4,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100070,R/H ENGINE #4 CYLINDER BAFFLE CRACKED.,Ok,#4 CYLINDER,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,DIFFICULT,,,,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",,,,"A/C , IDLE SPEED","RAN, ADJUSTED &CHECKED",
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,Ok,#2 & 4 SIDE,BAFFLE BRACE,BROKEN,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,,,,BRACE,FABRICATED  & INSTALLED,
100073,#4 CYLINDER INTAKE GASKET IS LEAKING.,Ok,#4 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100074,#4 ROCKER BOX COVER GASKET LEAKING.,Ok,#4,ROCKER BOX COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100075,BAFFLE PLUG HOLE WORN.,Ok,,BAFFLE PLUG HOLE,WORN,INSTALLED PATCH & NEW PLUG.,,,NEW,PATCH &  PLUG,INSTALLED,
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,Ok,ENGINE,,RUN ROUGH & VIBRATING,"RAN A/C, OPS & LEAK CHECK GOOD.",,,,"A/C , OPS & LEAK","RAN , CHECKED",
100077,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,Ok,ENGINE,,RUN ROUGH & VIBRATING,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYLINDER HAD VERY L,,,,"A/C , DISCREPANCY","RAN, CONFIRMED , FOUND",FOUND #3 CYLINDER HAD VERY L
100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,Ok,ENGINE,,RUN ROUGH & VIBRATING,COMPLETED REASSEMBLY OF #3 CYLINDER ASSEMBLY. INSTALLED NEW INTA,,,NEW,"CYLINDER, INTAKE","REASSEMBLY, INSTALLED",
100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,Ok,ENGINE,,RUN ROUGH & VIBRATING,REMOVED #3 CYLINDER. INSTALLED SERVICEABLE CYLINDER ASSEMBLY. TORQUED,,,,"CYLINDER, CYLINDER ASSEMBLY",REMOVED &  INSTALLED & TORQUED,
100080,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,Ok,ENGINE,,RUN ROUGH & VIBRATING,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW",,,,"EXHAUST VALVE , GUIDES IAW","DISASSEMBLED , REAMED",
100081,#2 INTAKE LEAKS.,Ok,#2,INTAKE,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100082,#4 INTAKE LEAKS.,Ok,#4,INTAKE,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100083,#3 INTAKE TUBE GASKET IS LEAKING.,Ok,#3,INTAKE TUBE GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,Ok,#3 & 4,ROCKER COVER GASKET,LEAKING,REPLACED GASKETS.,,,,GASKET,REPLACED,
100085,ENGINE WOULD NOT START.,Ok,ENGINE,,WOULDN'T START,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA",,,,"ENGINE , MIXTURE","STARTED , LEANED",
100086,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",Ok,TOP FRONT R/H,BAFFLE SEAL,PULLED,DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H,,,,"RIVET , SCREW & NUT","DRILLED, INSTALLED",
100088,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100089,#2 INDUCTION TUBE GASKET LEAKING.,Ok,#2,INDUCTION TUBE GASKET,LEAKING,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,,,,INDUCTION TUBE GASKET,REMOVED & REPLACED,
100090,#2 & 4 ROCKER COVERS ARE LEAKING.,Ok,#2 & 4,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100091,#1 INTAKE LEAKING.,Ok,#1,INTAKE,LEAKING,REMOVED & REPLACED #1 INTAKE GASKET WITH NEW.,,WITH NEW,,INTAKE GASKET,REMOVED & REPLACED,
100092,#3 & 4 ROCKER COVERS LEAKING.,Ok,#3 & 4,ROCKER COVER,LEAKING,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS WITH NEW.,,WITH NEW,,ROCKER COVER GASKET,REMOVED & REPLACED,
100093,#1 ROCKER COVER IS LEAKING.,Ok,#1,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100094,L/H ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.,Ok,L/H ENGINE #4,INTAKE GASKET,LEAKING,REMOVED & REPLACED #4 INTAKE GASKET WITH NEW.,,WITH NEW,,INTAKE GASKET,REMOVED & REPLACED,
100095,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100096,#4 ROCKER COVER LEAKING.,Ok,#4,ROCKER COVER,LEAKING,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,Ok,#2,OIL RETURN LINE HOSE CLAMP,LOOSE,TIGHTENED HOSE CLAMP.,,,,HOSE CLAMP,TIGHTENED,
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,Ok,ENGINE,,RUN ROUGH,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,,,,EXHAUST VALVE GUIDES,"REAMING , INSTALLED",
100099,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,Ok,ENGINE,,RUN ROUGH,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH",,,,"COWLING, SPARK PLUG, EXH","REMOVED , REAMED, REAMED",
100100,#3 ROCKER COVER IS LEAKING.,Ok,#3,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,Ok,RIGHT SIDE,FUSELAGE,OIL FOUND,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U",,,,"COWLING, ENGINE","REMOVED , CLEANED & RAN",
100102,R/H ENGINE #4 CYLINDER BAFFLE BOLT MISSING.,Ok,R/H ENGINE #4,BAFFLE BOLT,MISSING,INSTALLED NEW BOLT.,,,NEW,BOLT,INSTALLED,
100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,Ok,R/H ENGINE #1 & 4,ROCKER COVER,LEAKING,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.",,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,Ok,L/H ENGINE #1 & 3,ROCKER COVER,LEAKING,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &",,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100105,ENGINE DIED DURING MAGNET CK.,Ok,ENGINE,,DIED,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,,,,A/C,STARTED & RAN,
100106,#3 ROCKER COVER GASKET LEAKING.,Ok,#3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100107,"#2, 4 ROCKER COVER GASKET LEAKING.",Ok,"#2, 4",ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100108,#2 & 4 CYLINDER OIL RETURN LINE CLAMPS LOOSE.,Ok,#2 & 4 CYLINDER,OIL RETURN LINE CLAMP,LOOSE,TIGHTENED CLAMPS.,,,,CLAMP,TIGHTENED,
100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,Ok,R/H ENGINE #2,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,Ok,UNDER BOTH PROP GOVERNORS,BAFFLE SEAL,LOOSE,RESECURED BAFFLE SEALS.,,,,BAFFLE SEAL,RESECURED,
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,Ok,L/H ENGINE #4 AFT,BAFFLE,CRACKED,INSTALLED REPAIRED BAFFLING.,,,REPAIRED,BAFFLING,INSTALLED &REPAIRED,
100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,Ok,L/H ENGINE #4 AFT,BAFFLE,CRACKED,REMOVED BAFFLE & SWAPPED ACCESSORIES.,,,,"BAFFLE, ACCESSORIES","REMOVED , SWAPPED",
100113,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100114,#1 L/H INTAKE HAS LARGE GOUGE.,Ok,L/H,INTAKE,GOUGE,REMOVED & REPLACED #1 L/H INTAKE PIPE WITH SERVICEABLE PI,,WITH SERVICEABLE PI,,INTAKE PIPE,REMOVED & REPLACED,
100115,L/H ENGINE #3 ROCKER COVER LEAKING.,Ok,L/H ENGINE #3,ROCKER COVER,LEAKING,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100116,#2 CYLINDER HAS LOW COMPRESSION.,Ok,#2 CYLINDER,,COMPRESSION PROBLEM,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,,,,"ROCKER COVER , INTAKE VALVE","REMOVED , STAKED",
100117,#4 ROCKER COVER IS LEAKING.,Ok,#4,ROCKER COVER,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
100118,L/H SIDE OF ENGINE FORWARD RUBBER SEAL LOOSE.,Ok,L/H SIDE FORWARD,RUBBER SEAL,LOOSE,SECURED BAFFLE SEAL.,,,,BAFFLE SEAL,RESECURED,
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,Ok,#1 & 3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED &REPLACED,
100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,Ok,R/H FRONT SIDE,BAFFLE,CRACKED,STOP DRILLED CRACK & FABRICATED PATCH WITH LIKE MATERIAL.,,WITH LIKE MATERIAL,,"DRILLED CRACK, PATCH","STOP , FABRICATED",
100121,CYLINDER #4 INTAKE IS LEAKING.,Ok,CYLINDER #4,INTAKE,LEAKING,REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REPLACED,
100122,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100123,#4 ROCKER COVER IS LEAKING.,Ok,#4,ROCKER COVER,LEAKING,REMOVED & REPLACED #4 ROCKER GASKET.,,,,ROCKER GASKET,REMOVED & REPLACED,
100124,R/H ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.,Ok,R/H ENGINE #4 CYLINDER,INTAKE GASKET,LEAKING,INSTALLED NEW #4 INTAKE GASKET.,,,NEW,INTAKE GASKET,INSTALLED,
100125,SCREW IS MISSING ON #3 CYLINDER BAFFLE.,Ok,#3 CYLINDER,BAFFLE SCREW,MISSING,INSTALLED NEW SCREW.,,,NEW,SCREW,INSTALLED,
